lr,feature_subsample,tree_depth,n_grid,Loss,MC ERR,#Output
0.1,0.1,1.0,10.0,0.05866529242375375,0.006030613443333755,10.0
0.1,0.1,1.0,20.0,0.057723040113767464,0.006663314042861695,19.8
0.1,0.1,1.0,30.0,0.05586207187114807,0.005895532662868494,26.3
0.1,0.1,1.0,50.0,0.05411004008676652,0.0047899664106773685,39.5
0.1,0.1,1.0,75.0,0.05330346611098976,0.004435077392430957,56.1
0.1,0.1,1.0,100.0,0.052914697325211944,0.004171841254450174,76.7
0.1,0.1,2.0,10.0,0.05866124879297263,0.006021282020719514,10.0
0.1,0.1,2.0,20.0,0.05733403352297524,0.006315720790276191,20.0
0.1,0.1,2.0,30.0,0.055716151835091696,0.005633216278070539,29.6
0.1,0.1,2.0,50.0,0.05414024473726795,0.004925691958055995,48.9
0.1,0.1,2.0,75.0,0.05342789777131481,0.004658705459530219,70.6
0.1,0.1,2.0,100.0,0.05319915589196955,0.004621014766658293,90.3
0.1,0.2,1.0,10.0,0.05866618111515566,0.00603105778903471,10.0
0.1,0.2,1.0,20.0,0.057750245021103666,0.006684752730759159,19.7
0.1,0.2,1.0,30.0,0.055790176391529465,0.005856059821468636,26.3
0.1,0.2,1.0,50.0,0.05416161665002407,0.004899698897022206,42.6
0.1,0.2,1.0,75.0,0.0533134471273516,0.004475794228368805,57.3
0.1,0.2,1.0,100.0,0.05292039151989395,0.0041507120383422235,72.4
0.1,0.2,2.0,10.0,0.05865382824444761,0.006004618992763255,10.0
0.1,0.2,2.0,20.0,0.0573518072155151,0.006360932785177563,20.0
0.1,0.2,2.0,30.0,0.05571605848915878,0.005671578628722842,29.6
0.1,0.2,2.0,50.0,0.054202647333970955,0.0049153615074214495,48.3
0.1,0.2,2.0,75.0,0.0534862993870263,0.004631807576128319,71.0
0.1,0.2,2.0,100.0,0.05314886309895443,0.004718370173258498,89.0
0.1,0.30000000000000004,1.0,10.0,0.05866618111515566,0.00603105778903471,10.0
0.1,0.30000000000000004,1.0,20.0,0.05768252659559673,0.0066503161092335795,19.9
0.1,0.30000000000000004,1.0,30.0,0.05583321365404824,0.0057900721763865445,26.3
0.1,0.30000000000000004,1.0,50.0,0.05410665715639118,0.004876680140532535,41.4
0.1,0.30000000000000004,1.0,75.0,0.05336922381203485,0.004590141292221871,59.7
0.1,0.30000000000000004,1.0,100.0,0.053026339397103675,0.004335964423792971,78.4
0.1,0.30000000000000004,2.0,10.0,0.05865671647274632,0.0060241704207975285,10.0
0.1,0.30000000000000004,2.0,20.0,0.057341497950008855,0.006321607610641019,20.0
0.1,0.30000000000000004,2.0,30.0,0.055721345954216316,0.005657877681665799,29.9
0.1,0.30000000000000004,2.0,50.0,0.054160686704062336,0.004910917945764738,49.1
0.1,0.30000000000000004,2.0,75.0,0.053480943334130025,0.004632266964037119,69.8
0.1,0.30000000000000004,2.0,100.0,0.05327264688342047,0.00463829849745071,89.2
0.1,0.4,1.0,10.0,0.05866591450773508,0.006030835616184233,10.0
0.1,0.4,1.0,20.0,0.05764157894494319,0.006567110814426439,20.0
0.1,0.4,1.0,30.0,0.055845842426030155,0.005912268909289752,26.8
0.1,0.4,1.0,50.0,0.05414615689976128,0.004889122563055466,42.9
0.1,0.4,1.0,75.0,0.05348357253714968,0.004631895143102364,60.6
0.1,0.4,1.0,100.0,0.05308131471633047,0.004458170421014614,75.0
0.1,0.4,2.0,10.0,0.05864671855724881,0.005989510794673924,10.0
0.1,0.4,2.0,20.0,0.05729180803388558,0.00627628345816178,20.0
0.1,0.4,2.0,30.0,0.05574744346217446,0.005736971619557806,29.8
0.1,0.4,2.0,50.0,0.05431468656204822,0.005002721567315982,48.3
0.1,0.4,2.0,75.0,0.05369338894190436,0.004860455477757498,69.4
0.1,0.4,2.0,100.0,0.0533066333229935,0.004746098332729162,86.4
0.1,0.5,1.0,10.0,0.05866591450773508,0.006030835616184233,10.0
0.1,0.5,1.0,20.0,0.057665974341111446,0.006641540168107407,19.9
0.1,0.5,1.0,30.0,0.055927065140621145,0.005981513299321618,27.1
0.1,0.5,1.0,50.0,0.05423076822781041,0.0049220929410108225,42.2
0.1,0.5,1.0,75.0,0.05343805104076049,0.004546832041509342,59.9
0.1,0.5,1.0,100.0,0.05308966484280473,0.004527800095761,74.3
0.1,0.5,2.0,10.0,0.05864894023737895,0.0059957316887853575,10.0
0.1,0.5,2.0,20.0,0.05734639689418754,0.006293057789735515,20.0
0.1,0.5,2.0,30.0,0.055801413068328934,0.005760967197313245,29.9
0.1,0.5,2.0,50.0,0.054346953116631846,0.00506039642006173,47.8
0.1,0.5,2.0,75.0,0.05370149788026107,0.004768979217231885,68.4
0.1,0.5,2.0,100.0,0.05348546435737909,0.004837201169457735,87.3
0.1,0.6,1.0,10.0,0.05866618111515566,0.00603105778903471,10.0
0.1,0.6,1.0,20.0,0.057683848361656506,0.006617656678000519,19.9
0.1,0.6,1.0,30.0,0.05592320941425283,0.0059559633770910015,27.2
0.1,0.6,1.0,50.0,0.05419918016301946,0.00493729105076304,41.7
0.1,0.6,1.0,75.0,0.053524354862356474,0.004686594857088317,57.9
0.1,0.6,1.0,100.0,0.0530795391368047,0.004518100958543818,76.7
0.1,0.6,2.0,10.0,0.058646718590814884,0.006001064192602302,10.0
0.1,0.6,2.0,20.0,0.05731272609792145,0.006314942575680398,20.0
0.1,0.6,2.0,30.0,0.055846094278090196,0.0058088825017259225,29.9
0.1,0.6,2.0,50.0,0.054353369748297256,0.005025071688617113,47.7
0.1,0.6,2.0,75.0,0.053695490504297505,0.004816866015821574,68.9
0.1,0.6,2.0,100.0,0.0534292709225071,0.004833913972839936,85.1
0.1,0.7000000000000001,1.0,10.0,0.05866618111515566,0.00603105778903471,10.0
0.1,0.7000000000000001,1.0,20.0,0.057719407149822356,0.006687308110966536,19.7
0.1,0.7000000000000001,1.0,30.0,0.05597827444624055,0.005964850287819316,27.0
0.1,0.7000000000000001,1.0,50.0,0.054238030688581976,0.004914184186786917,41.5
0.1,0.7000000000000001,1.0,75.0,0.053535639065455345,0.004700102301657483,58.0
0.1,0.7000000000000001,1.0,100.0,0.05312705953964851,0.004505181245466035,71.9
0.1,0.7000000000000001,2.0,10.0,0.05865476133882802,0.006004618824932891,10.0
0.1,0.7000000000000001,2.0,20.0,0.05735486217563074,0.006341603892803529,20.0
0.1,0.7000000000000001,2.0,30.0,0.05586705277758924,0.005899678331220978,29.7
0.1,0.7000000000000001,2.0,50.0,0.05440471855856186,0.005169241995487352,47.3
0.1,0.7000000000000001,2.0,75.0,0.05375371225866791,0.004891650354912667,67.4
0.1,0.7000000000000001,2.0,100.0,0.05356337751805831,0.005032148378391611,85.0
0.1,0.8,1.0,10.0,0.05866591450773508,0.006030835616184233,10.0
0.1,0.8,1.0,20.0,0.05764915539504358,0.006647094639923058,19.9
0.1,0.8,1.0,30.0,0.05595552821911529,0.005975662525463947,27.0
0.1,0.8,1.0,50.0,0.05428159653920754,0.004976793377654563,40.8
0.1,0.8,1.0,75.0,0.05351109341580575,0.00475022681541692,57.0
0.1,0.8,1.0,100.0,0.05325077900502252,0.004600263311775121,71.2
0.1,0.8,2.0,10.0,0.058644719002581745,0.005981734660992022,10.0
0.1,0.8,2.0,20.0,0.05736775881326735,0.006415920622436939,20.0
0.1,0.8,2.0,30.0,0.055909375143301986,0.005859204653181817,29.7
0.1,0.8,2.0,50.0,0.05452657521112233,0.005228872549812949,47.0
0.1,0.8,2.0,75.0,0.05383533117137218,0.0049578123928565145,67.4
0.1,0.8,2.0,100.0,0.05358637240845791,0.004985693148466952,82.3
0.1,0.9,1.0,10.0,0.05866591450773508,0.006030835616184233,10.0
0.1,0.9,1.0,20.0,0.057678804795830686,0.0066563147564517285,19.8
0.1,0.9,1.0,30.0,0.056030564765671934,0.006072976374633025,27.3
0.1,0.9,1.0,50.0,0.054357566828987756,0.005042980649716524,40.5
0.1,0.9,1.0,75.0,0.05361530381551185,0.004869282373005371,54.9
0.1,0.9,1.0,100.0,0.05335489465224781,0.004616536289128106,68.6
0.1,0.9,2.0,10.0,0.058651784113048264,0.005998842148181543,10.0
0.1,0.9,2.0,20.0,0.057438388405041355,0.006543116126830099,20.0
0.1,0.9,2.0,30.0,0.05591304882242755,0.005881497557326967,29.9
0.1,0.9,2.0,50.0,0.05454544839455422,0.005293459235033325,46.7
0.1,0.9,2.0,75.0,0.05396090874831526,0.0051175121099111655,66.4
0.1,0.9,2.0,100.0,0.05364775368416406,0.004929492541591364,82.6
0.1,1.0,1.0,10.0,0.058666803199136995,0.006031279961885188,10.0
0.1,1.0,1.0,20.0,0.05772237324672121,0.006701860652333155,19.8
0.1,1.0,1.0,30.0,0.05608102278787484,0.00605534966636404,27.1
0.1,1.0,1.0,50.0,0.054480751440815045,0.005171397112613716,38.5
0.1,1.0,1.0,75.0,0.05373217564112259,0.004910798965060007,53.0
0.1,1.0,1.0,100.0,0.05349018214116687,0.004823936332731419,69.0
0.1,1.0,2.0,10.0,0.05865302832247492,0.006001730429791063,10.0
0.1,1.0,2.0,20.0,0.05754305533015691,0.006627543007037015,20.0
0.1,1.0,2.0,30.0,0.0560030297232826,0.005959888295860322,29.6
0.1,1.0,2.0,50.0,0.05476059927269526,0.005542296901897244,46.3
0.1,1.0,2.0,75.0,0.054125393438204904,0.005242390052686433,64.6
0.1,1.0,2.0,100.0,0.05385351947543791,0.005310901481605929,83.1
0.3,0.1,1.0,10.0,0.057318244144007345,0.0051461334482715195,9.0
0.3,0.1,1.0,20.0,0.05472396343030143,0.00397577022772142,18.0
0.3,0.1,1.0,30.0,0.05373583037784472,0.003083050786388398,25.9
0.3,0.1,1.0,50.0,0.053157312826891276,0.0033989064203007987,38.9
0.3,0.1,1.0,75.0,0.05302642548655563,0.0035245024085113464,55.8
0.3,0.1,1.0,100.0,0.053093193317943585,0.0032680768331756404,69.4
0.3,0.1,2.0,10.0,0.057158766110462514,0.004842198046850482,9.9
0.3,0.1,2.0,20.0,0.05479345977961829,0.0038620739317045266,19.7
0.3,0.1,2.0,30.0,0.05394767741594873,0.003360251924534293,29.0
0.3,0.1,2.0,50.0,0.05362697435921737,0.003818504593040781,46.5
0.3,0.1,2.0,75.0,0.053564578248824525,0.004094412000613514,66.9
0.3,0.1,2.0,100.0,0.05355663682840711,0.003818072386904995,84.8
0.3,0.2,1.0,10.0,0.05738347415411631,0.005205676068370769,8.7
0.3,0.2,1.0,20.0,0.05473536110978698,0.004012096895587872,17.2
0.3,0.2,1.0,30.0,0.053711494694267045,0.0031362271696343835,25.2
0.3,0.2,1.0,50.0,0.05317231741204155,0.0033121230077715253,40.7
0.3,0.2,1.0,75.0,0.05310347112731871,0.0035830088475544844,54.0
0.3,0.2,1.0,100.0,0.05307481418723291,0.003349338743424115,68.6
0.3,0.2,2.0,10.0,0.05716356497887516,0.004910182973649962,10.0
0.3,0.2,2.0,20.0,0.054743681316687866,0.003807141234124463,19.5
0.3,0.2,2.0,30.0,0.0539412149348528,0.00344756818794318,28.8
0.3,0.2,2.0,50.0,0.05356839830657384,0.003885291048137137,46.1
0.3,0.2,2.0,75.0,0.05362797438709641,0.004136002662789977,68.8
0.3,0.2,2.0,100.0,0.0536581061440826,0.0037730265551717984,84.4
0.3,0.30000000000000004,1.0,10.0,0.05730549081523889,0.00516946178514679,8.9
0.3,0.30000000000000004,1.0,20.0,0.054730295332846346,0.003925560024878135,17.0
0.3,0.30000000000000004,1.0,30.0,0.053761608311667444,0.003247833513600467,25.0
0.3,0.30000000000000004,1.0,50.0,0.053313129051081334,0.003504172293981819,39.6
0.3,0.30000000000000004,1.0,75.0,0.05311443450775148,0.003632685876856058,56.0
0.3,0.30000000000000004,1.0,100.0,0.05312255659229308,0.0034522408135321996,69.8
0.3,0.30000000000000004,2.0,10.0,0.05719520237205118,0.004976612572027606,10.0
0.3,0.30000000000000004,2.0,20.0,0.054808268131729995,0.0037759260177389698,19.4
0.3,0.30000000000000004,2.0,30.0,0.05400251953169618,0.0034111674435378463,28.5
0.3,0.30000000000000004,2.0,50.0,0.053594635216895004,0.003770559487549556,45.4
0.3,0.30000000000000004,2.0,75.0,0.053583707900344765,0.004241802383802266,65.1
0.3,0.30000000000000004,2.0,100.0,0.053609137347346,0.0039826274810208315,84.0
0.3,0.4,1.0,10.0,0.05732748717826602,0.005226561614532907,9.1
0.3,0.4,1.0,20.0,0.0547632324537339,0.004015761952894614,18.4
0.3,0.4,1.0,30.0,0.05377501201403525,0.003248460828130324,26.0
0.3,0.4,1.0,50.0,0.05326429566290449,0.0034230325881798606,37.8
0.3,0.4,1.0,75.0,0.053214931221175245,0.00386065164447011,55.6
0.3,0.4,1.0,100.0,0.05322129935210222,0.0034796690502675227,68.6
0.3,0.4,2.0,10.0,0.05713934847087211,0.004824201478300267,10.0
0.3,0.4,2.0,20.0,0.05480048042170184,0.003683333511529664,19.4
0.3,0.4,2.0,30.0,0.053992818660917485,0.003460565161482884,28.5
0.3,0.4,2.0,50.0,0.05364033408298715,0.003923815089854258,45.8
0.3,0.4,2.0,75.0,0.05365599624057789,0.0041240210802375955,64.9
0.3,0.4,2.0,100.0,0.053654700239862664,0.004054412022382079,80.9
0.3,0.5,1.0,10.0,0.05735325898704826,0.0052532227564213935,9.1
0.3,0.5,1.0,20.0,0.05474669132615503,0.003948555457883159,17.6
0.3,0.5,1.0,30.0,0.05382197521788196,0.003401577433820022,26.0
0.3,0.5,1.0,50.0,0.053257710763922404,0.003356091408788791,39.4
0.3,0.5,1.0,75.0,0.05326150686510027,0.003628080906813512,53.6
0.3,0.5,1.0,100.0,0.0532023095174838,0.003508395483509101,69.0
0.3,0.5,2.0,10.0,0.05722710704890545,0.0049186260898849005,10.0
0.3,0.5,2.0,20.0,0.054847125854026416,0.003897677719633902,19.0
0.3,0.5,2.0,30.0,0.05403735593826046,0.0034636383378570113,29.0
0.3,0.5,2.0,50.0,0.0536693613211792,0.003888445303360791,45.3
0.3,0.5,2.0,75.0,0.053673897744164686,0.004077555801881157,63.3
0.3,0.5,2.0,100.0,0.05363480677074983,0.0039112449020230425,81.9
0.3,0.6,1.0,10.0,0.057254346390096425,0.005149243882986769,9.3
0.3,0.6,1.0,20.0,0.054751112980272444,0.003950665053491014,17.9
0.3,0.6,1.0,30.0,0.05382576710508944,0.003359216177533588,24.9
0.3,0.6,1.0,50.0,0.05329700370640034,0.003473734560155559,37.3
0.3,0.6,1.0,75.0,0.053191995704249075,0.0038388483933138977,54.6
0.3,0.6,1.0,100.0,0.05307200273954935,0.0034773566716462144,67.5
0.3,0.6,2.0,10.0,0.05727158614439691,0.0050199374181300015,10.0
0.3,0.6,2.0,20.0,0.05487848599958352,0.0038438553124744658,19.6
0.3,0.6,2.0,30.0,0.05408067141164026,0.003464045834920391,28.4
0.3,0.6,2.0,50.0,0.05363737998822018,0.0038588522558146354,45.3
0.3,0.6,2.0,75.0,0.05361362200494475,0.003992151210907515,63.6
0.3,0.6,2.0,100.0,0.053656264864161626,0.004032840305719959,80.3
0.3,0.7000000000000001,1.0,10.0,0.057298159379701716,0.005209675781894208,9.2
0.3,0.7000000000000001,1.0,20.0,0.054739537136760365,0.00398965685275144,18.1
0.3,0.7000000000000001,1.0,30.0,0.053801707903829724,0.0033329628560287406,24.4
0.3,0.7000000000000001,1.0,50.0,0.053332136226841374,0.0035177241171776277,38.0
0.3,0.7000000000000001,1.0,75.0,0.05323359806050315,0.003779438815307015,52.3
0.3,0.7000000000000001,1.0,100.0,0.053089202400883474,0.003472913625574243,64.6
0.3,0.7000000000000001,2.0,10.0,0.05723319416740709,0.004968170339370187,10.0
0.3,0.7000000000000001,2.0,20.0,0.05485076942336976,0.004003266868658378,19.4
0.3,0.7000000000000001,2.0,30.0,0.05408528300878838,0.003525810311865274,28.8
0.3,0.7000000000000001,2.0,50.0,0.053641587302771986,0.0038590297117450955,44.2
0.3,0.7000000000000001,2.0,75.0,0.053720267545361966,0.004197782194776812,62.8
0.3,0.7000000000000001,2.0,100.0,0.053750062503083576,0.00426793351023934,80.4
0.3,0.8,1.0,10.0,0.057311579162851164,0.005199678141835954,9.2
0.3,0.8,1.0,20.0,0.05477914021765003,0.004057088299686767,17.9
0.3,0.8,1.0,30.0,0.05384290932603455,0.0033181877411577847,24.3
0.3,0.8,1.0,50.0,0.053323742576651914,0.0034960397636338604,36.8
0.3,0.8,1.0,75.0,0.05320062537967829,0.0037552215747737815,51.8
0.3,0.8,1.0,100.0,0.05326410653804957,0.003617773095014381,64.4
0.3,0.8,2.0,10.0,0.05726061092306457,0.005106808379863001,10.0
0.3,0.8,2.0,20.0,0.05497795425992193,0.003995935004166517,19.9
0.3,0.8,2.0,30.0,0.0540659976606608,0.0036079046798949974,28.5
0.3,0.8,2.0,50.0,0.05367298016892215,0.003897820590909119,44.9
0.3,0.8,2.0,75.0,0.053590270119196384,0.004129885522726759,63.7
0.3,0.8,2.0,100.0,0.05376091650370215,0.0041669221113934335,80.0
0.3,0.9,1.0,10.0,0.057310023869969876,0.005213008774482537,9.3
0.3,0.9,1.0,20.0,0.054848692419184844,0.004217720739097809,17.2
0.3,0.9,1.0,30.0,0.05393984115906775,0.00338506092095006,23.8
0.3,0.9,1.0,50.0,0.053390280762934526,0.003589085803763021,35.8
0.3,0.9,1.0,75.0,0.053309635407566204,0.0037823740561818545,50.8
0.3,0.9,1.0,100.0,0.053255413603729186,0.003750921712766698,64.6
0.3,0.9,2.0,10.0,0.05727976292371434,0.005055263957700011,10.0
0.3,0.9,2.0,20.0,0.05490189231908488,0.0039215051877180065,19.6
0.3,0.9,2.0,30.0,0.054125960457023614,0.0036191979317073326,28.3
0.3,0.9,2.0,50.0,0.05376583241702643,0.00397775950302548,42.5
0.3,0.9,2.0,75.0,0.05372629505819633,0.004264375138171076,61.7
0.3,0.9,2.0,100.0,0.053786530542265974,0.004264190095403098,79.5
0.3,1.0,1.0,10.0,0.05730007033375717,0.005213008917631967,9.3
