lr,feature_subsample,tree_depth,n_grid,Loss,MC ERR,#Output
0.1,0.1,1.0,10.0,0.042166488387666665,0.015449210000000005,10.0
0.1,0.1,1.0,20.0,0.041516010687666666,0.016977874,19.5
0.1,0.1,1.0,30.0,0.04112549029877778,0.017363815999999994,28.7
0.1,0.1,1.0,50.0,0.040248492281,0.01690198,47.3
0.1,0.1,1.0,75.0,0.0392643933935926,0.014054913555555548,70.9
0.1,0.1,1.0,100.0,0.03892453322099999,0.01286398,91.9
0.1,0.1,2.0,10.0,0.04211477638766667,0.015331970000000004,10.0
0.1,0.1,2.0,20.0,0.041325862021,0.016754188,20.0
0.1,0.1,2.0,30.0,0.040495225854333336,0.017496558666666658,29.6
0.1,0.1,2.0,50.0,0.039389288120999996,0.015418249333333333,48.4
0.1,0.1,2.0,75.0,0.03880374232988889,0.012313018888888881,71.8
0.1,0.1,2.0,100.0,0.038706682861,0.011983358666666662,93.2
0.1,0.2,1.0,10.0,0.042160917054333336,0.015440930000000005,10.0
0.1,0.2,1.0,20.0,0.041511084421,0.01690547,19.8
0.1,0.2,1.0,30.0,0.04113173792840741,0.017462808222222216,29.1
0.1,0.2,1.0,50.0,0.04018544113433333,0.016765663333333337,47.8
0.1,0.2,1.0,75.0,0.03919039163951852,0.014354352666666658,70.6
0.1,0.2,1.0,100.0,0.038795816807666667,0.011943816,89.5
0.1,0.2,2.0,10.0,0.042116862521000005,0.01535683666666667,10.0
0.1,0.2,2.0,20.0,0.041238313821,0.016791171333333334,20.0
0.1,0.2,2.0,30.0,0.04042746549877778,0.018040470222222216,29.7
0.1,0.2,2.0,50.0,0.03926283913433333,0.015236315333333333,48.6
0.1,0.2,2.0,75.0,0.03875291998322222,0.012697127333333325,71.2
0.1,0.2,2.0,100.0,0.038670021421,0.011921768666666666,93.7
0.1,0.30000000000000004,1.0,10.0,0.04214657838766667,0.015429050000000005,10.0
0.1,0.30000000000000004,1.0,20.0,0.041470273887666664,0.01682388666666667,19.9
0.1,0.30000000000000004,1.0,30.0,0.04107725231359259,0.01749428066666666,29.2
0.1,0.30000000000000004,1.0,50.0,0.040337535934333334,0.017176423333333336,47.2
0.1,0.30000000000000004,1.0,75.0,0.039281280540259256,0.014094214222222212,70.2
0.1,0.30000000000000004,1.0,100.0,0.038802723621,0.011533293333333333,89.8
0.1,0.30000000000000004,2.0,10.0,0.042119381321,0.015396890000000005,10.0
0.1,0.30000000000000004,2.0,20.0,0.04124867555433333,0.01663969,19.8
0.1,0.30000000000000004,2.0,30.0,0.04048343180988889,0.01774989177777777,29.8
0.1,0.30000000000000004,2.0,50.0,0.03923454865433333,0.015398997333333336,48.9
0.1,0.30000000000000004,2.0,75.0,0.038772677761,0.012776448222222217,71.5
0.1,0.30000000000000004,2.0,100.0,0.038686990221,0.01196397,93.2
0.1,0.4,1.0,10.0,0.042164341721000004,0.015445876666666672,10.0
0.1,0.4,1.0,20.0,0.041444262287666664,0.016718696666666664,20.0
0.1,0.4,1.0,30.0,0.041076182254333335,0.017368712222222214,29.1
0.1,0.4,1.0,50.0,0.040377488601,0.017286459333333334,47.2
0.1,0.4,1.0,75.0,0.03944334148248148,0.014768328888888882,69.7
0.1,0.4,1.0,100.0,0.039025278901,0.012358496,90.5
0.1,0.4,2.0,10.0,0.04210416158766667,0.015383236666666671,10.0
0.1,0.4,2.0,20.0,0.04118525535433333,0.016655013333333333,19.9
0.1,0.4,2.0,30.0,0.04056598458025926,0.017636291555555548,29.7
0.1,0.4,2.0,50.0,0.03935076518766666,0.015882632666666667,48.4
0.1,0.4,2.0,75.0,0.03878664998618518,0.01254198644444444,71.9
0.1,0.4,2.0,100.0,0.03874438940766667,0.011789299333333331,93.2
0.1,0.5,1.0,10.0,0.04216185905433333,0.015450543333333339,10.0
0.1,0.5,1.0,20.0,0.04144944408766667,0.01674870333333333,19.9
0.1,0.5,1.0,30.0,0.041118173069148146,0.01756345066666666,29.0
0.1,0.5,1.0,50.0,0.040372092761,0.017368462666666667,47.6
0.1,0.5,1.0,75.0,0.03957290406618518,0.01487820488888888,70.3
0.1,0.5,1.0,100.0,0.03917722560766666,0.012221626666666667,89.1
0.1,0.5,2.0,10.0,0.042118430121,0.015347970000000006,10.0
0.1,0.5,2.0,20.0,0.041199448087666665,0.01678891466666667,19.9
0.1,0.5,2.0,30.0,0.04060557151359259,0.01779299199999999,29.7
0.1,0.5,2.0,50.0,0.03941918313433333,0.015736728666666668,48.9
0.1,0.5,2.0,75.0,0.0389827653284074,0.012788879555555552,71.8
0.1,0.5,2.0,100.0,0.038834062421,0.012269652666666667,92.8
0.1,0.6,1.0,10.0,0.042160950387666665,0.01544795666666667,10.0
0.1,0.6,1.0,20.0,0.041418187421,0.016706969999999998,20.0
0.1,0.6,1.0,30.0,0.04110476818025926,0.01752839777777777,29.2
0.1,0.6,1.0,50.0,0.04048403478766667,0.017594811333333335,47.1
0.1,0.6,1.0,75.0,0.03969474407803704,0.015243897333333326,69.1
0.1,0.6,1.0,100.0,0.03926907887433333,0.012823526666666665,87.7
0.1,0.6,2.0,10.0,0.04212337118766667,0.01535095666666667,10.0
0.1,0.6,2.0,20.0,0.04121712288766667,0.016821842666666666,20.0
0.1,0.6,2.0,30.0,0.04063670898025926,0.01784462688888888,29.7
0.1,0.6,2.0,50.0,0.03953842054766667,0.015742294,48.9
0.1,0.6,2.0,75.0,0.03904301403951852,0.012714571999999993,71.5
0.1,0.6,2.0,100.0,0.03889504592766667,0.01167818933333333,92.3
0.1,0.7000000000000001,1.0,10.0,0.04216759038766667,0.015451290000000003,10.0
0.1,0.7000000000000001,1.0,20.0,0.041412912287666664,0.016677443333333333,19.7
0.1,0.7000000000000001,1.0,30.0,0.0411378650247037,0.017595825333333325,29.5
0.1,0.7000000000000001,1.0,50.0,0.040589292121,0.01758977533333334,47.5
0.1,0.7000000000000001,1.0,75.0,0.039908773713592596,0.01529280355555555,69.8
0.1,0.7000000000000001,1.0,100.0,0.039504225861,0.013210776666666665,88.0
0.1,0.7000000000000001,2.0,10.0,0.04211888518766667,0.015347543333333338,10.0
0.1,0.7000000000000001,2.0,20.0,0.041245426620999996,0.016829723999999997,20.0
0.1,0.7000000000000001,2.0,30.0,0.040759169498777774,0.017633749555555547,29.9
0.1,0.7000000000000001,2.0,50.0,0.039613052307666666,0.015952774666666666,48.9
0.1,0.7000000000000001,2.0,75.0,0.03906020927507407,0.013105616222222217,71.6
0.1,0.7000000000000001,2.0,100.0,0.03907055811433333,0.012114461999999998,93.5
0.1,0.8,1.0,10.0,0.04216346705433334,0.015449290000000004,10.0
