es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.042171639721,0.015451210000000003,10.0
0.1,20.0,0.041149954821,0.010558468666666671,20.0
0.1,30.0,0.04067619655062963,0.009637944444444446,30.0
0.1,50.0,0.04093634798766667,0.011952714666666666,47.4
0.1,75.0,0.04074191090470371,0.01160138666666667,68.8
0.1,100.0,0.040858928461,0.012675167999999997,92.4
0.2,10.0,0.042094299321,0.01453662266666667,10.0
0.2,20.0,0.041136444221000004,0.010589128666666671,20.0
0.2,30.0,0.04073182206174074,0.009997061999999998,30.0
0.2,50.0,0.041026860867666666,0.012941812666666669,47.5
0.2,75.0,0.04084942116840741,0.011714069111111117,68.7
0.2,100.0,0.041094106461,0.013389051999999999,93.1
0.30000000000000004,10.0,0.042160192921,0.015040543333333337,10.0
0.30000000000000004,20.0,0.041050668820999996,0.009515645333333341,20.0
0.30000000000000004,30.0,0.040758845869148144,0.009584984444444444,30.0
0.30000000000000004,50.0,0.04117591809433334,0.013682713999999999,47.5
0.30000000000000004,75.0,0.040941305441000005,0.011932232222222228,68.6
0.30000000000000004,100.0,0.04105297212766666,0.014060850666666666,92.9
0.4,10.0,0.042067632921,0.014512152666666672,10.0
0.4,20.0,0.041163197621,0.011190078666666674,20.0
0.4,30.0,0.04084584860988889,0.010504290222222221,30.0
0.4,50.0,0.04117979454766667,0.013607676666666669,47.5
0.4,75.0,0.04094641353581482,0.01290921644444445,68.8
0.4,100.0,0.041256287941,0.014917595333333334,92.4
0.5,10.0,0.042051684121,0.01396261266666667,10.0
0.5,20.0,0.041213022954333337,0.011134678666666672,19.8
0.5,30.0,0.04088124345433333,0.010802175111111112,29.9
0.5,50.0,0.041151624121,0.013156886000000001,47.5
0.5,75.0,0.04104936849285185,0.012964265555555559,68.3
0.5,100.0,0.04136362539433333,0.014711791999999998,92.8
