lr,feature_subsample,tree_depth,n_grid,Loss,MC ERR,#Output
0.1,0.1,1.0,10.0,0.1846210666666667,0.08563466666666622,9.0
0.1,0.1,1.0,20.0,0.17715229999999998,0.08699300000000004,16.6
0.1,0.1,1.0,30.0,0.15834865185185185,0.05483422222222244,24.0
0.1,0.1,1.0,50.0,0.15098637866666667,0.027990133333333382,39.5
0.1,0.1,1.0,75.0,0.15005115733333335,0.020209066666666643,58.1
0.1,0.1,1.0,100.0,0.149938016,0.019162900000000014,75.6
0.1,0.1,2.0,10.0,0.18459920000000002,0.08581266666666622,9.0
0.1,0.1,2.0,20.0,0.16759346666666666,0.07741099999999987,16.6
0.1,0.1,2.0,30.0,0.1550208148148148,0.04754666666666692,24.0
0.1,0.1,2.0,50.0,0.15003239466666668,0.023839333333333483,40.8
0.1,0.1,2.0,75.0,0.15042974103703705,0.02009604444444442,61.6
0.1,0.1,2.0,100.0,0.151470144,0.02160810000000001,79.1
0.1,0.2,1.0,10.0,0.18459920000000002,0.08566599999999956,9.0
0.1,0.2,1.0,20.0,0.17493766666666669,0.08450566666666658,16.6
0.1,0.2,1.0,30.0,0.1585023259259259,0.05534088888888907,23.7
0.1,0.2,1.0,50.0,0.15078490133333333,0.026560800000000086,39.6
0.1,0.2,1.0,75.0,0.149949248,0.021401111111111086,55.9
0.1,0.2,1.0,100.0,0.14988056,0.01913390000000003,70.1
0.1,0.2,2.0,10.0,0.18452200000000002,0.08586333333333288,9.0
0.1,0.2,2.0,20.0,0.16725589999999999,0.07682166666666648,16.6
0.1,0.2,2.0,30.0,0.15453029629629628,0.04604511111111137,24.0
0.1,0.2,2.0,50.0,0.14999234133333333,0.02412080000000017,40.3
0.1,0.2,2.0,75.0,0.15034780681481483,0.019279066666666657,58.7
0.1,0.2,2.0,100.0,0.15136570133333332,0.020450033333333374,72.8
0.1,0.30000000000000004,1.0,10.0,0.18456426666666667,0.08574733333333288,9.0
0.1,0.30000000000000004,1.0,20.0,0.1769748,0.08550400000000001,16.6
0.1,0.30000000000000004,1.0,30.0,0.15853176296296295,0.05623044444444466,23.7
0.1,0.30000000000000004,1.0,50.0,0.15110506133333335,0.02820013333333337,37.3
0.1,0.30000000000000004,1.0,75.0,0.1499605285925926,0.020897911111111098,53.5
0.1,0.30000000000000004,1.0,100.0,0.15042163466666666,0.019415866666666698,67.6
0.1,0.30000000000000004,2.0,10.0,0.18451066666666668,0.08602533333333287,9.0
0.1,0.30000000000000004,2.0,20.0,0.16773670000000002,0.07824533333333333,16.6
0.1,0.30000000000000004,2.0,30.0,0.15447594074074072,0.04627688888888912,24.0
0.1,0.30000000000000004,2.0,50.0,0.15039139733333334,0.023872866666666857,40.7
0.1,0.30000000000000004,2.0,75.0,0.15094730666666667,0.02041008888888888,56.8
