lr,feature_subsample,tree_depth,n_grid,Loss,MC ERR,#Output
0.1,0.1,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.1,1.0,20.0,0.031160694946598937,0.0066967080378251016,4.1
0.1,0.1,1.0,30.0,0.031004951762989796,0.004334725768321505,5.0
0.1,0.1,1.0,50.0,0.030933314227922816,0.003134645390070928,7.2
0.1,0.1,1.0,75.0,0.030904526041949605,0.003431981087470448,10.7
0.1,0.1,1.0,100.0,0.030893968289388535,0.0036450106382978726,14.7
0.1,0.1,2.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.1,2.0,20.0,0.03115974411917577,0.006679327423167891,4.1
0.1,0.1,2.0,30.0,0.031004671542343615,0.004326366430260039,5.0
0.1,0.1,2.0,50.0,0.030931331287024473,0.003139956501182041,8.0
0.1,0.1,2.0,75.0,0.03088201191113794,0.0034914657210401963,12.4
0.1,0.1,2.0,100.0,0.030858267069530383,0.003924772104018917,17.9
0.1,0.2,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.2,1.0,20.0,0.031160507712556386,0.0066967080378251016,4.0
0.1,0.2,1.0,30.0,0.0310046567275288,0.004325874704491717,5.0
0.1,0.2,1.0,50.0,0.030933681282296337,0.0031383172576832223,7.1
0.1,0.2,1.0,75.0,0.030901365632178136,0.0034688576832151304,11.4
0.1,0.2,1.0,100.0,0.030881876336669854,0.0036761936170212756,14.5
0.1,0.2,2.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.2,2.0,20.0,0.03115909021846655,0.006685750591016591,4.1
0.1,0.2,2.0,30.0,0.03100376941468404,0.004319978723404247,5.0
0.1,0.2,2.0,50.0,0.030931680147544566,0.003182294562647764,7.9
0.1,0.2,2.0,75.0,0.030879736960783333,0.0032652576832151296,12.4
0.1,0.2,2.0,100.0,0.03084651437922305,0.003709024113475181,17.7
0.1,0.30000000000000004,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.30000000000000004,1.0,20.0,0.031160507712556386,0.0066967080378251016,4.0
0.1,0.30000000000000004,1.0,30.0,0.031004372409167886,0.004334725768321505,5.0
0.1,0.30000000000000004,1.0,50.0,0.030932399655818798,0.003141517257683222,7.0
0.1,0.30000000000000004,1.0,75.0,0.030903652938718718,0.0034356340425531935,10.7
0.1,0.30000000000000004,1.0,100.0,0.0308768426345422,0.0037163352245862882,14.6
0.1,0.30000000000000004,2.0,10.0,0.031929904639270326,0.018375418439716542,2.0
0.1,0.30000000000000004,2.0,20.0,0.031160045301208868,0.006683715130023682,4.1
0.1,0.30000000000000004,2.0,30.0,0.03100365562429791,0.004339274231678478,5.0
0.1,0.30000000000000004,2.0,50.0,0.030925409433596573,0.0030637517730496507,8.5
0.1,0.30000000000000004,2.0,75.0,0.030886721988364108,0.003431164066193855,12.2
0.1,0.30000000000000004,2.0,100.0,0.03084569974092518,0.0035990359338061474,17.7
0.1,0.4,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.4,1.0,20.0,0.03115982591586608,0.006679327423167891,4.1
0.1,0.4,1.0,30.0,0.031004931274416114,0.004334725768321505,5.0
0.1,0.4,1.0,50.0,0.03093269385912849,0.0031344278959810935,7.2
0.1,0.4,1.0,75.0,0.030899576809483097,0.0034772926713948007,11.2
0.1,0.4,1.0,100.0,0.030877120582532742,0.003619297635933806,14.9
0.1,0.4,2.0,10.0,0.03193015239340745,0.018377895981087702,2.0
0.1,0.4,2.0,20.0,0.031156333717284518,0.0066312092198582,4.2
0.1,0.4,2.0,30.0,0.03100392323659106,0.004338895981087462,5.0
0.1,0.4,2.0,50.0,0.030926594341397995,0.003150495035461001,7.7
0.1,0.4,2.0,75.0,0.030883064153848738,0.0033154817966903104,13.2
0.1,0.4,2.0,100.0,0.03085165343359657,0.004009615130023643,18.6
0.1,0.5,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.5,1.0,20.0,0.031160694946598937,0.0066967080378251016,4.1
0.1,0.5,1.0,30.0,0.031004315671579234,0.004335813238770677,5.0
0.1,0.5,1.0,50.0,0.030933773008064658,0.0031408505910165557,7.2
0.1,0.5,1.0,75.0,0.03089906682681958,0.0034607735224586296,11.1
0.1,0.5,1.0,100.0,0.030880253670003195,0.00364449219858156,14.4
0.1,0.5,2.0,10.0,0.03192844459198901,0.018360817966903305,2.0
0.1,0.5,2.0,20.0,0.03115830251161076,0.006669128841607606,4.2
0.1,0.5,2.0,30.0,0.031005868390255358,0.004336044917257675,5.1
0.1,0.5,2.0,50.0,0.03092949593950674,0.0031596581560283756,7.5
0.1,0.5,2.0,75.0,0.030883975636906265,0.003411213238770685,11.7
0.1,0.5,2.0,100.0,0.030863923712556383,0.0036370806146572123,16.3
0.1,0.6,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.6,1.0,20.0,0.031160694946598937,0.0066967080378251016,4.1
0.1,0.6,1.0,30.0,0.031003823945810915,0.004321061465721031,5.0
0.1,0.6,1.0,50.0,0.030933742861492558,0.003138717257683222,7.1
0.1,0.6,1.0,75.0,0.030896691110507524,0.0034732434988179696,11.0
0.1,0.6,1.0,100.0,0.030882054435960638,0.003704033806146571,14.4
0.1,0.6,2.0,10.0,0.03192847485203629,0.018363522458629072,2.0
0.1,0.6,2.0,20.0,0.031157392818939367,0.006656003546099336,4.2
0.1,0.6,2.0,30.0,0.031004015277568204,0.004319695035460985,5.0
0.1,0.6,2.0,50.0,0.030930169906409816,0.003093521040189132,7.8
0.1,0.6,2.0,75.0,0.030884824431232506,0.003356062411347516,12.6
0.1,0.6,2.0,100.0,0.030868704705464184,0.003623369267139482,16.2
0.1,0.7000000000000001,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.7000000000000001,1.0,20.0,0.03115982591586608,0.006679327423167891,4.1
0.1,0.7000000000000001,1.0,30.0,0.031004951762989796,0.004334725768321505,5.0
0.1,0.7000000000000001,1.0,50.0,0.030932843154636763,0.0031311361702127728,7.1
0.1,0.7000000000000001,1.0,75.0,0.0308944613989236,0.0034717607565011833,11.1
0.1,0.7000000000000001,1.0,100.0,0.03088004525392754,0.0036067052009456264,14.4
0.1,0.7000000000000001,2.0,10.0,0.03192966066763912,0.01837538061465744,2.0
0.1,0.7000000000000001,2.0,20.0,0.031158411258655677,0.006651507092198623,4.2
0.1,0.7000000000000001,2.0,30.0,0.03100453158962494,0.004319657210401883,5.2
0.1,0.7000000000000001,2.0,50.0,0.030930775561256153,0.0031298548463357034,7.5
0.1,0.7000000000000001,2.0,75.0,0.030886189260231716,0.003420708274231685,12.3
0.1,0.7000000000000001,2.0,100.0,0.030869708251563478,0.0035597288416075643,16.0
0.1,0.8,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.8,1.0,20.0,0.031160694946598937,0.0066967080378251016,4.1
0.1,0.8,1.0,30.0,0.031003905900105634,0.004319973995271859,5.0
0.1,0.8,1.0,50.0,0.030933308781114305,0.0031303361702127728,7.2
0.1,0.8,1.0,75.0,0.030896491696795942,0.0034451886524822714,11.1
0.1,0.8,1.0,100.0,0.030879973726740777,0.0035681101654846336,14.5
0.1,0.8,2.0,10.0,0.03192749140049965,0.018353687943262646,2.0
0.1,0.8,2.0,20.0,0.0311563469560552,0.006632741134751816,4.3
0.1,0.8,2.0,30.0,0.0310045810774106,0.0043217470449172495,5.2
0.1,0.8,2.0,50.0,0.030931060043525655,0.0031234534278959873,7.6
0.1,0.8,2.0,75.0,0.030890253941082784,0.0033324822695035513,12.6
0.1,0.8,2.0,100.0,0.03087972463927033,0.0037263647754137105,15.0
0.1,0.9,1.0,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,0.9,1.0,20.0,0.03115982591586608,0.006679327423167891,4.1
0.1,0.9,1.0,30.0,0.031004931274416114,0.004334725768321505,5.0
0.1,0.9,1.0,50.0,0.03093355653525142,0.0031385839243498886,7.2
0.1,0.9,1.0,75.0,0.030896608450145035,0.0034595442080378263,11.3
