es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.004886148029146852,0.012478545094606911,8.5
0.1,20.0,0.004524270659679049,0.010170944119045055,16.5
0.1,30.0,0.0048419454436068685,0.01121674217198199,24.5
0.1,50.0,0.0040334383063702125,0.007906284326999576,38.2
0.1,75.0,0.0033651874269142257,0.00607414139965063,56.1
0.1,100.0,0.003715878585842919,0.007023647834788128,75.4
0.2,10.0,0.004841180962423607,0.012581023786278674,8.5
0.2,20.0,0.004610637338957172,0.01058616946242836,16.5
0.2,30.0,0.004871360452957338,0.011194248146957386,24.5
0.2,50.0,0.004131258524238793,0.008230339463383607,38.1
0.2,75.0,0.0032737576190822954,0.006085470620213718,56.0
0.2,100.0,0.00344689891048267,0.006587197960987866,75.6
0.30000000000000004,10.0,0.004900367286273988,0.012037562564570402,8.5
0.30000000000000004,20.0,0.004502723551907801,0.009984188978723548,16.5
0.30000000000000004,30.0,0.004814797382529418,0.011206380540571001,24.5
0.30000000000000004,50.0,0.003954541745400358,0.007736547902976382,38.1
0.30000000000000004,75.0,0.003186840311124795,0.006074769402090346,55.9
0.30000000000000004,100.0,0.0034160068269066908,0.006873358236927347,75.4
0.4,10.0,0.00488291678181982,0.01216212875429373,8.5
0.4,20.0,0.00442299119899041,0.009515166775252904,16.5
0.4,30.0,0.004831762609621656,0.010889250536561673,24.5
0.4,50.0,0.004164595823964477,0.008215253055974614,38.1
0.4,75.0,0.003460310726005022,0.006759645546998707,56.0
0.4,100.0,0.0035318664753216044,0.006843972169223962,75.2
0.5,10.0,0.00482699418509152,0.011493836624935297,8.5
0.5,20.0,0.0044761596134109665,0.009473682811395188,16.5
0.5,30.0,0.00467355554153121,0.010815559333957163,24.5
0.5,50.0,0.004012842114966742,0.007921920813713621,38.2
0.5,75.0,0.0033201844760256125,0.006388980464490603,55.7
0.5,100.0,0.0034916439644701786,0.006740196341042766,75.3
