#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.002576972813777941,0.05649944685717702,9,0.002218924959448653,0.0025672354721875228
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.002377766648477514,0.055893232222811895,10,0.0016728832943392546,0.002327243834477892
20,20,0,0.002308810668181357,0.05508714335368999,16,0.0011711304295826748,0.0022431976626302625
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.0026961975168370597,0.055448475493530464,9,0.0017924817425493894,0.0025399504977824806
20,30,0,0.002370852363190404,0.05474497966826379,17,0.001661484067244226,0.002267316036916111
30,30,0,0.0024374412908658213,0.05466518871223202,19,0.0011176225821803293,0.0022275945396525083
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.002825887084115383,0.055525616492626016,10,0.0022316322945709795,0.0027667718577585195
20,50,0,0.0016745651475171671,0.05468275110067946,19,0.0005736988062579894,0.0016228957914682892
30,50,0,0.0024192523602004313,0.05464297994483522,20,0.001012475613128919,0.002206870053315934
50,50,0,0.0022510670424049635,0.054657271959396334,28,0.0006719937808806934,0.0020687972734089537
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.0030658314708370245,0.05567361957228605,10,0.0019580508442902963,0.0029590320966532756
20,75,0,0.00193693424327819,0.05485605672703897,17,0.0006789080661678404,0.0017883530048396078
30,75,0,0.002492008082861723,0.05484001838826141,26,0.0012491808752114772,0.0023143590693142243
50,75,0,0.003117408301627507,0.05483470223723848,32,0.0018088517801481533,0.002769760863506086
75,75,0,0.0023145788016733972,0.05478696908463168,36,0.0009229511913749573,0.0019789064202650015
100,75,0,,,,,
10,100,0,0.003044901742400297,0.05436506305080691,10,0.0021583782450422715,0.0029136344326623513
20,100,0,0.002386362786942746,0.0534902798229943,20,0.0015813157324283706,0.002259105305883015
30,100,0,0.0023953326705585414,0.05335186486372007,29,0.0009737306991775114,0.0021268817161324517
50,100,0,0.0030828742497068335,0.05339222535337604,46,0.0014881784408847293,0.0025177528828897668
75,100,0,0.0024644755234300843,0.05337873988085005,64,0.001100505054280253,0.0020603573351008816
100,100,0,0.0027656767403444736,0.05340051221772897,77,0.0011949379956795062,0.0022239529570431617
10,10,1,0.0023220786210300655,0.05652560901772299,9,0.002277229202951093,0.002315808164644505
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.0027675828406125923,0.055917600406634724,10,0.001848917260298549,0.002385601102432624
20,20,1,0.0025547349773134545,0.05520569531547829,16,0.001195050119224701,0.00244637082919833
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.0027029249295488326,0.05541917387371898,9,0.0018335937091216235,0.0026934762480382694
20,30,1,0.002060270142994707,0.0546638769705713,16,0.0015157234584881245,0.0020174563417679
30,30,1,0.002767832004046015,0.05459892784974448,23,0.0017156148232310015,0.0024825126367762065
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.0026606917275251427,0.055400038122005356,10,0.0017659458368527677,0.0025983552064126935
20,50,1,0.0020184106861213815,0.05456270415828855,19,0.0006437760220061166,0.001901980174209488
30,50,1,0.0024783040940044242,0.05455421131883037,23,0.0009945358458974003,0.002291809667569825
50,50,1,0.0018764996524170338,0.054545698567061096,33,0.0006883638184794554,0.0016802682188938832
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.0030306994266752338,0.055856007205806496,10,0.0017876230555908554,0.002880392597619947
20,75,1,0.001955621500811042,0.055029324978883395,20,0.0004668076931701821,0.0018468313140929064
30,75,1,0.0027870175884466787,0.054996742188103444,25,0.0010097348153574376,0.002553067726711782
50,75,1,0.0033971191723789333,0.05501955359879206,30,0.0016225771970608685,0.0029914808944156352
75,75,1,0.0025771970608681584,0.05497835583694412,39,0.0007859113028008445,0.0022276849470123463
100,75,1,,,,,
10,100,1,0.0029260507844914583,0.054237541205402855,10,0.002700308713494444,0.00290025816879858
20,100,1,0.0020356029630514863,0.05351143379852147,20,0.0006835798805510495,0.0019150114682087245
30,100,1,0.0022692559730704154,0.053395418631943255,29,0.0009415886162210375,0.002112531157009234
50,100,1,0.002971647692871363,0.05343164500190611,43,0.0014750226115816153,0.002618321267375037
75,100,1,0.002642677211263213,0.05340536781090821,58,0.0007891504274398697,0.0022570545355171043
100,100,1,0.002877501289420783,0.05344409837719857,71,0.0010368811714667997,0.002457879143832326
10,10,2,0.0023160986986195927,0.0564779191364992,8,0.002168843109260659,0.0023098770917459027
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.002649479373005199,0.055845691839648375,10,0.0018709682241872909,0.0024747142531113737
