#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.0030460229778517343,0.05866686973486518,10,0.0024114037120368356,0.0030112835599151013
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.003388373535853452,0.05878841165785873,10,0.0024308384598709823,0.003030694023193843
20,20,0,0.004128575806728642,0.058230639066833116,20,0.0028875550339734334,0.004086248472298045
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.0033652013365127456,0.05866133830663548,10,0.0024271010083644156,0.002908836180862982
20,30,0,0.0034423797101229637,0.05794834935454213,20,0.002243965884542647,0.003293289149804338
30,30,0,0.0030227261967942674,0.05783539474547541,30,0.001905352778047704,0.0028996145327048854
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.0038458376002569045,0.05857791838900891,10,0.0021430546938653464,0.0034197827012460197
20,50,0,0.003932359602633933,0.05808506533065234,20,0.001968889453659338,0.0037879623744983128
30,50,0,0.003737825251717392,0.058096385136902864,30,0.0017062711944645845,0.00322949815258066
50,50,0,0.004080325307779115,0.05809820901323807,48,0.001821633864300611,0.0035176819238451175
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.0033693125331698175,0.0586043795456754,10,0.002445788265897249,0.0032025502227637993
20,75,0,0.003770154207248998,0.05811096586959285,20,0.002257046964815631,0.003624032014175541
30,75,0,0.004432243741637245,0.05811194954606576,30,0.002612976929957667,0.004229764773790527
50,75,0,0.004410417024839003,0.05813059627301336,50,0.002333066728459198,0.004128269741340555
75,75,0,0.00449475884717065,0.058066650886315865,71,0.0023815040999843017,0.004069486604789498
100,75,0,,,,,
10,100,0,0.003350625275636981,0.058567752520911044,10,0.0024293434792683555,0.0031161007413598603
20,100,0,0.003704001315582734,0.058024817612366476,20,0.0023153512083180713,0.003621821578511268
30,100,0,0.00407220257983832,0.05804294788580673,30,0.0025250222378364632,0.003174727970131288
50,100,0,0.00393202323199859,0.05807707596743932,50,0.0025737586054820935,0.003434063358932462
75,100,0,0.004162374826519945,0.058039733262238685,74,0.00244509060828269,0.0035909579801333188
100,100,0,0.004193233717792514,0.058085651363048565,97,0.002498112586989183,0.0034255784239873304
10,10,1,0.004111944147524436,0.05873220038719997,10,0.0027275921094923787,0.0040131422640620265
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.0027107735777130433,0.058430961795770696,10,0.0021464184002212587,0.0026860812576554637
20,20,1,0.002924742676463686,0.05782243461328589,20,0.0010735829452612861,0.002851938879471055
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.004720027507642835,0.058789308646220305,10,0.0028883025242747466,0.00463117946779722
20,30,1,0.004594262264446863,0.05839243334255238,20,0.0030938623571359156,0.004549986344398952
30,30,1,0.005270180369409393,0.05833413688540724,30,0.003097848972076253,0.005179474744866921
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.0038421001487503404,0.05862814973725716,10,0.0025668816947100105,0.003471438370404417
20,50,1,0.003958521763179928,0.05800736371383081,20,0.002065315702528759,0.003861968190749641
30,50,1,0.004525680029301439,0.05800831416851256,30,0.0020928482619604672,0.004366838931835642
50,50,1,0.004305618884594933,0.05800823510064958,48,0.0019288239735089441,0.004134108105338884
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.004129510169605372,0.05872771544539209,10,0.0025900538940507242,0.003806049418344889
20,75,1,0.004115868471606373,0.0582473081005524,20,0.0024084137508315825,0.0040440967697618155
30,75,1,0.004682902156010895,0.05830167919543466,30,0.002359577717812444,0.004600856939832676
50,75,1,0.0047109081259669615,0.058302871857737644,50,0.0024768838624318846,0.0045620261365688
75,75,1,0.00471372367276873,0.05822469359126732,71,0.002370441243524865,0.004476441706142314
100,75,1,,,,,
10,100,1,0.0036088831747406154,0.058587187268745185,10,0.002065315702528759,0.003280401456065461
20,100,1,0.003759315597879875,0.05802687321069509,20,0.0016560647625597051,0.003650674048236802
