#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.002183045424985612,0.05854024487782271,0.0027301605809219166,0.0614289851259413
20,20,0,0.001983652387110279,0.05797025082037061,0.0035519453782261083,0.04801011201928766
30,30,0,0.0023522273965161985,0.05798716849843319,0.0032151147246006883,0.05814618923349004
50,50,0,0.0013847257831829628,0.0578873031297419,0.002857493326140353,0.0591380664488198
75,75,0,0.0017118524553810571,0.057981310749159694,0.0034272009965225663,0.07117586634465801
100,100,0,0.001962311539007781,0.05838512886732794,0.004302795947247021,0.09293414904462027
10,10,1,0.0024114037120368356,0.05866686973486518,0.0030112835599151013,0.09101954946430235
20,20,1,0.0014133172872081979,0.057871357853506854,0.002913367141198288,0.044928363534554025
30,30,1,0.0017718011775463875,0.05820960500120844,0.004624357410029381,0.07979614729973013
50,50,1,0.0017041283889341536,0.057970519730006505,0.0030516972277834613,0.070101792801652
75,75,1,0.002248151830230002,0.05826760285674183,0.0034561808619526743,0.08789169795055883
100,100,1,0.0014930745023583323,0.05802510763860339,0.002633039697049346,0.06246853528247036
10,10,2,0.0024114037120368356,0.05866686973486518,0.0030112835599151013,0.09101954946430235
20,20,2,0.0011913126677181374,0.05777997716417127,0.0030757382649920957,0.043575275299263104
30,30,2,0.003097848972076253,0.05833413688540724,0.005179474744866921,0.11460724435785177
50,50,2,0.001793229232850704,0.057986551901989085,0.003219521214878682,0.07311858972834362
75,75,2,0.0021896482559805443,0.05816885706241294,0.0034696911620953623,0.08828270117400679
100,100,2,0.0023513802408413748,0.058281942316173445,0.00366232694066273,0.09081632339546586
10,10,3,0.002183045424985612,0.05854024487782271,0.0027301605809219166,0.0614289851259413
20,20,3,0.0014095798357016305,0.0578123061197031,0.002962681013740901,0.043293112468772633
30,30,3,0.002963300717839852,0.05828219461491377,0.0037649163011615216,0.11065265646745205
50,50,3,0.0030179173425224797,0.058420323513802414,0.004133706833693572,0.1127924605366566
75,75,3,0.001822082358481398,0.05795159983688101,0.0027065997612228106,0.07362123463883828
100,100,3,0.002102017476323244,0.0582901108901862,0.003781234196806297,0.08839976779859801
10,10,4,0.0024114037120368356,0.05866686973486518,0.0030112835599151013,0.09101954946430235
20,20,4,0.00289241372093197,0.058289989796757403,0.0041015528690359964,0.10751376387653704
30,30,4,0.001938366933022379,0.05806170158692191,0.0034240780921965183,0.08453294143765668
50,50,4,0.003010890933690135,0.058310568017879975,0.0036410054534976683,0.1100536264289136
75,75,4,0.0020612792549016667,0.05809034466777793,0.0034950468553798064,0.08643016138015959
100,100,4,0.001847123283575395,0.058135476076572906,0.0033839604248548415,0.07902998648838828
10,10,5,0.002183045424985612,0.05854024487782271,0.0027301605809219166,0.0614289851259413
20,20,5,0.0015033898685164549,0.05789430580575717,0.0031129951992873483,0.06679049732319373
30,30,5,0.001927279160219562,0.05799223482158652,0.0032634001843772228,0.08355923506889111
50,50,5,0.003031820662126909,0.05841819466142427,0.004154461088782111,0.11321217508895585
75,75,5,0.0022889149679949563,0.058102381587154465,0.004260988492571117,0.08036229457647183
100,100,5,0.0023802333664720687,0.0581714438148915,0.0037991556974937743,0.0878752418847273
10,10,6,0.0027275921094923787,0.05873220038719997,0.0040131422640620265,0.09487729729811034
20,20,6,0.0019145095342387947,0.057887279396924826,0.003313185129200893,0.07211889429769741
30,30,6,0.003097848972076253,0.05833413688540724,0.005179474744866921,0.11460724435785177
50,50,6,0.002303017618346402,0.05821881208841316,0.004382513673981823,0.09174337238546137
75,75,6,0.0017892924505971198,0.058067926603096766,0.00385435936904936,0.07688788408577711
100,100,6,0.002434501162347419,0.05820615427452329,0.003908529286258658,0.08605325236041943
10,10,7,0.002596781306762544,0.058571938466598396,0.003885391264045424,0.07444736876185347
20,20,7,0.001771552014112616,0.05793908047480584,0.003465076936792403,0.07668965468034421
30,30,7,0.0019589229163084936,0.058157147792951835,0.003911797238814105,0.09073403841816262
50,50,7,0.0023257413235063273,0.05824973426719788,0.003762839861400583,0.08983851361859532
75,75,7,0.0019319136000877045,0.0580483948476324,0.00336922143469059,0.08493426352085179
100,100,7,0.0025397477967723367,0.058279928577301715,0.0037751109228145387,0.0975104339257868
10,10,8,0.0027275921094923787,0.05873220038719997,0.0040131422640620265,0.09487729729811034
20,20,8,0.0019339442820729413,0.057974885260238744,0.0032318194599798454,0.07147006679952712
30,30,8,0.0023816286817011896,0.057958647590714174,0.0032399354724481815,0.08490906568517306
50,50,8,0.0020295856661259816,0.05821466202226026,0.004021062260700149,0.09043343468026112
75,75,8,0.0015679356560348622,0.05807429189828485,0.0032940624008822132,0.08788484626755766
100,100,8,0.0016024697079555386,0.0580130416501596,0.0033574917352488408,0.07844448534881493
10,10,9,0.002183045424985612,0.05854024487782271,0.0027301605809219166,0.0614289851259413
20,20,9,0.0016005636076871894,0.058017716454503994,0.003425108485258674,0.07730258825860259
30,30,9,0.0019417306393782867,0.0581928778293546,0.0036884890147656155,0.08501816440812934
50,50,9,0.0013614040857819869,0.05767431623324688,0.0025461309762806407,0.05698909071213783
75,75,9,0.002025399720438626,0.058246130948673175,0.003973827972245067,0.07992583857846208
100,100,9,0.00226930580575717,0.0584057042853619,0.004127426302014505,0.08883713377594857
