#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0004001347939107714,0.0576683459531313,0.004185170278079862,0.0652704376179451
/,1,0.0004994206430790545,0.05765846615084684,0.004161819941268668,0.06445138334207488
/,2,0.0007855447406566931,0.05768597409528857,0.004478200673419934,0.06737557627606165
/,3,0.0006969473523470537,0.05767910941266715,0.004694364020887102,0.06317177984540422
/,4,0.0007709452633378515,0.05767795137019428,0.00475430375169798,0.06592130844800143
/,5,0.000470452972449452,0.05767502480597702,0.00439912558777107,0.07531943268629239
/,6,0.0005727685792130155,0.05768956202031406,0.0044208844056148455,0.0770650423450581
/,7,0.0005903335651868316,0.057689689892823734,0.004208607179978421,0.0826876123104038
/,8,0.000533198242449233,0.05767266566302673,0.00403136736862182,0.07790662047796873
/,9,0.0004351007446829105,0.057672785104827436,0.004072973697470893,0.0746261951100481
