#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.0031577727778987195,0.0021531458129330785,10,0.053139926446954346,0.0030119505978819503
20,0,0.0019279643596626127,0.0006645188778675585,20,0.051970258295273616,0.0018084949720159067
30,0,0.001549173649471847,0.0006627747338311614,30,0.051747335404712,0.00142626834103023
50,0,0.0016944110150170814,0.0005489568772845173,50,0.0516688655339697,0.0011603922506860068
75,0,0.0017568015388333665,0.0005968959219420784,75,0.05163592205835574,0.0011396550619268391
100,0,0.0019054275270778357,0.0005814727053916472,100,0.051633065420351176,0.001151014084151131
10,1,0.0031353480688594256,0.0025993975228171436,10,0.05316982605900688,0.00307469217954172
20,1,0.0018278006592866176,0.0010111675051016225,20,0.05202504933435988,0.001755863306781196
30,1,0.0018339674542722211,0.0007114861851334151,30,0.051840522528942404,0.001638892926441064
50,1,0.001904829534836799,0.0006229584171145386,50,0.051726302688722615,0.0014060333507488398
75,1,0.0018657856247648557,0.0006356657522368656,75,0.05172374452774808,0.0013904984355067461
100,1,0.002111622726695127,0.0006372354818696232,100,0.05170117524162625,0.001417111385880359
10,2,0.003355110217445562,0.002730208325546978,10,0.05330975624341275,0.003282801257486556
20,2,0.0018206995014241358,0.000961459400064285,20,0.052154402531002154,0.001762459272353389
30,2,0.001893268351509741,0.0007003984123306003,30,0.051944772509632246,0.0016340884654093538
50,2,0.0016650346461754544,0.0007455468265299256,50,0.05185018276137866,0.0013425513800303308
75,2,0.0018673802707409861,0.0007410120520352925,75,0.051812000209297285,0.0014361367957312215
100,2,0.0021439143077118424,0.0007442013439875618,100,0.05180493287537093,0.0015078788659581284
10,3,0.003190662351156614,0.0024685867200873093,10,0.053185523355334455,0.003118073812389042
20,3,0.0016136446879603265,0.0007658038136955167,20,0.05203861628332871,0.001526988876234917
30,3,0.0014951051843435025,0.0007564601849291004,30,0.051889740612560006,0.001347032188476713
50,3,0.0018553456768898476,0.0008503449667740557,50,0.05175379239204372,0.0013484316247937642
75,3,0.001995948602566877,0.0008208440162155553,75,0.051739712249455797,0.0013559708876567352
100,3,0.0021063155455558,0.0008196231153900777,100,0.051717258242949295,0.0013416467616971027
10,4,0.0030972260634924468,0.0024379396177334617,10,0.053186270845635764,0.0030211706558631105
20,4,0.0018300431301905076,0.0007054439718644658,20,0.05210469442596483,0.0017280962840891911
30,4,0.0016558155991258697,0.0007684200297501138,30,0.05190116890872229,0.0015055929904947815
50,4,0.001689402829998297,0.000724168603912364,50,0.05179816341632968,0.0014279596934274373
75,4,0.0019946529527112697,0.0007327398260340894,75,0.05178157702181592,0.0014908382386412907
100,4,0.002149520484971707,0.00071721694411015,100,0.051771031200245184,0.0015105522992096925
10,5,0.0032355117692354158,0.002933525687504206,10,0.05321960891307436,0.003168070590901872
20,5,0.0017313744104172054,0.001255970578781741,20,0.052073486705885005,0.0016559565653423442
30,5,0.001705648285880112,0.0007914676473739424,30,0.05188925889658805,0.001387326535403597
50,5,0.0016333410573997659,0.0005544883055142362,50,0.05179927568189803,0.0012454295234793854
75,5,0.0019371460321969025,0.0004910512952761095,75,0.05177655920247767,0.0012943984010429282
100,5,0.0022579813276922705,0.0005024629805428272,100,0.05175237683228561,0.0012886583072751776
10,6,0.003152540345789639,0.002384867806340214,10,0.053358642109118636,0.0030514502884534363
20,6,0.0018595689970924635,0.0010064956907184122,20,0.05213351017708045,0.0017576104112183711
30,6,0.0015718475219450203,0.0009861888708660668,30,0.05194301175470026,0.001336931308092217
50,6,0.0017799986545174668,0.0010325831022342483,50,0.05185685635478879,0.0012335113828162332
75,6,0.0018739581853925392,0.0009978497195665549,75,0.05182561317044688,0.0012494651509396349
100,6,0.0020477870549629523,0.0010095604009537976,100,0.05180739959336527,0.0012745656303937904
10,7,0.003344645353227164,0.0024013125929691075,10,0.05323126976177484,0.0032110328444607946
20,7,0.0019085296118285058,0.0008041126916378268,20,0.052046876051158236,0.0018305303588294142
30,7,0.0015573960427862918,0.0007611942901707512,30,0.0518244265711208,0.0014178713908422494
50,7,0.0016837219037083029,0.000774698948281146,50,0.0517460962319014,0.0011710257682579785
75,7,0.0017423998923613944,0.0007570581771701507,75,0.05173396355071181,0.0011273761052337011
100,7,0.001963918643155609,0.0007672240452680125,100,0.051717412225951366,0.0011713252780033408
10,8,0.003029951936374126,0.002417757379598001,10,0.05319075578744366,0.0029165984742869954
20,8,0.001861437722845757,0.0009483783197913016,20,0.05196838956952034,0.0017307104085929766
30,8,0.0018282366952954883,0.00049010447422778,30,0.05178281627768101,0.0015507982915983801
50,8,0.0019103609630665079,0.0004715168820684552,50,0.051686721582287466,0.0013983123345816086
75,8,0.0018355870165917831,0.0005102368796764845,75,0.05165840656661924,0.001280883241052252
100,8,0.00213442118088517,0.0005525822052458866,100,0.05164220573175563,0.001309352959202598
10,9,0.0031368430494619313,0.00292978823599764,10,0.05320331362450573,0.0030907956329157818
20,9,0.0017736076124413498,0.001358376750061669,20,0.05198453536002871,0.001691316018738159
30,9,0.001564621782365658,0.0008639742066013364,30,0.05179196888114821,0.0013958496492877592
50,9,0.0016922432931432724,0.0007019681419633582,50,0.05170634170771635,0.0012430738947056916
75,9,0.0018854197033460148,0.0007186371756826467,75,0.051669906621850475,0.001271046898231915
100,9,0.002155649905442478,0.0007117228903954975,100,0.05167300681711154,0.001267202464455549
