#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
/,0,,0.0010477538514349013,,0.05171429613834378,0.0012949770129886847
/,1,,0.0006512987930051868,,0.051671800618351645,0.0011792568665687396
/,2,,0.0005464403899128642,,0.05164251237979087,0.001180879125079243
/,3,,0.00046251228057834554,,0.05166047549955592,0.0013575815781019423
/,4,,0.00041966330538876,,0.0516603756434224,0.0012830959339910134
/,5,,0.0007039766918990244,,0.051706675290278066,0.0013180823670088787
/,6,,0.0005692022734689058,,0.05169309035893551,0.0014088243685052315
/,7,,0.0005117602487673675,,0.051664483397192595,0.001185352505953264
/,8,,0.0008583976305609922,,0.051659077853533596,0.0012111908922725412
/,9,,0.0007041214008252833,,0.05167226597882231,0.0013111620700797012
