#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0004704632857457276,0.05160823885929903,0.0011315525083879278,0.0230991892173194
/,1,0.0006235337563065722,0.051694009286447795,0.001432279533635538,0.023635843232030888
/,2,0.0007782976427775679,0.051793414459502786,0.0014940699655326727,0.026402445612559514
/,3,0.000801461133111046,0.051714042575023156,0.0013845492105204454,0.029002383790228972
/,4,0.0007898141806251896,0.05174975115697359,0.0014931449884194293,0.02233456557223006
/,5,0.0004873479408440637,0.05174795826082195,0.0013052495753778854,0.022259975817417333
/,6,0.0005330197410952786,0.05171845746999347,0.0012218226113971783,0.021768931559868306
/,7,0.0005369444322217185,0.05168808528174112,0.0011816460569701137,0.020752023931746445
/,8,0.0005410841155862183,0.05162886181787923,0.0012703832223158477,0.023588330729869243
/,9,0.0007095493188990922,0.051662938148184824,0.0012564240948901694,0.021225297866012252
