#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0010982732058696975,0.05172243452567467,0.0012939609503989018,0.03472090727744015
/,1,0.0009010221934050985,0.05169167311413094,0.0011859003656170862,0.0263175058343633
/,2,0.0005225456044714782,0.051645407153147097,0.0011871880633802867,0.018728712191768047
/,3,0.0005489581308708599,0.05166538122580557,0.001352919803545204,0.023848695371384246
/,4,0.00042989386558600596,0.05166330164733228,0.0013127344637720048,0.017976331675984208
/,5,0.0006364817860689346,0.051712888175200346,0.0013380597599169303,0.026201372829505062
/,6,0.0005676372882403779,0.05169354154349102,0.0014091657673544664,0.02503684146797474
/,7,0.0004848263225283727,0.051665418846118805,0.0011977207043766206,0.02294569904671942
/,8,0.0008699268073223423,0.05166126740666659,0.0012205680274424374,0.02227033829543512
/,9,0.0007392082209919464,0.05167221137008578,0.0013133461361598652,0.0276230947671593
