#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,0,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,0,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,0,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,0,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,0,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,1,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,1,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,1,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,1,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,1,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,1,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,2,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,2,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,2,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,2,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,2,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,2,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,3,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,3,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,3,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,3,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,3,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,3,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,4,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,4,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,4,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,4,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,4,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,4,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,5,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,5,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,5,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,5,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,5,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,5,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,6,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,6,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,6,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,6,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,6,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,6,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,7,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,7,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,7,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,7,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,7,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,7,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,8,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,8,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,8,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,8,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,8,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,8,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
10,9,0.004720027507642835,0.0028883025242747466,10,0.058789308646220305,0.00463117946779722
20,9,0.005684850614063412,0.003711663091171391,20,0.05852044105665229,0.005532866745952945
30,9,0.0059802961556572835,0.003962944414129559,30,0.05863806644192125,0.005797217674380421
50,9,0.006485151105164824,0.0041594845306882145,50,0.0587520716693701,0.006276307420950889
75,9,0.006811380789001312,0.004255312787316583,75,0.05881066751714451,0.0066002031623437875
100,9,0.00705081439068353,0.004298368228672233,100,0.05884137900748238,0.0067496484650556975
