#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.00637561212397448,0.03994284792665451,8,0.004776802643573377,0.006373212526511421
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.008536345943482234,0.03946621119010028,10,0.0056251198723792336,0.008527722022298087
20,20,0,0.006641231996353694,0.03888252085281677,20,0.0024637351868732928,0.0064976464722641455
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.012550151777575217,0.03984232923932543,10,0.00399134776663626,0.012421853141187477
20,30,0,0.011155375113947133,0.039147229011431174,20,0.005560399726526867,0.011001783238535276
30,30,0,0.00763622288058342,0.03893886844726628,29,0.003091839106654513,0.007368268059889136
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.00746862032816773,0.040552136167310855,10,0.004614997721057422,0.007464766616694843
20,50,0,0.011131192798541464,0.040215515337775745,20,0.007922523701002711,0.011006659490911437
30,50,0,0.008652953661501064,0.03990868310339917,30,0.005200685961713763,0.008261348705210475
50,50,0,0.008381107566089339,0.039868405100765725,44,0.004517458979033726,0.006746813836962158
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.006843331814038303,0.03957460954926162,10,0.0058936189608022015,0.006828156576971972
20,75,0,0.005959039653600738,0.039004931518268005,20,0.004821946216955348,0.005813738531347852
30,75,0,0.0065838043147979355,0.03893716004050036,30,0.005262351868732912,0.006083028902268276
50,75,0,0.007006215587967175,0.03889755923020967,45,0.0039027347310847805,0.005800406130254725
75,75,0,0.007224348070495287,0.038909722151307606,64,0.004397493163172299,0.005786577594835217
100,75,0,,,,,
10,100,0,0.007730835460346412,0.03968095093485871,10,0.006226344576116695,0.0077261894300607965
20,100,0,0.006212470373746589,0.0392068021654877,20,0.005119348222424811,0.005953615044941719
30,100,0,0.006692947280461865,0.03906507364325534,29,0.004919750835612281,0.0063259528973573205
50,100,0,0.006641345943482235,0.03895151478171376,48,0.004554056517775759,0.005822634967286081
75,100,0,0.007443229869340635,0.0389521165278902,66,0.004572515952598006,0.006288365358827262
100,100,0,0.00733625934366454,0.03895177963130356,79,0.004289357338195083,0.005992803558254083
10,10,1,0.00632205104831359,0.03942967108071103,9,0.0034154489516864247,0.006278543827855964
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.0074849010938924454,0.039274280014165906,10,0.005157520510483149,0.007476258626403689
20,20,1,0.0051968154056517895,0.03864643730678213,20,0.003679056517775769,0.00515342947431842
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.007781368732907935,0.03927956989566089,10,0.0033343664539653736,0.007772159322705187
20,30,1,0.009579472652689157,0.038952873724284416,18,0.005841849134001798,0.009265155312002364
30,30,1,0.006036218626557279,0.03874822745668591,25,0.0017572037374658132,0.005697998321268584
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.011167922971741118,0.04032121665956244,10,0.004631730628988134,0.01113690037958826
20,50,1,0.009019932999088428,0.039470895602133085,19,0.004698959434822222,0.008912159181766752
30,50,1,0.007423880127620785,0.03924383725107465,26,0.0025223032512914044,0.007116854774564503
50,50,1,0.008236601185050135,0.039213660178249767,39,0.0025011850501367393,0.007024886963925946
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.00778221194165907,0.03992024902054695,10,0.004510300820419338,0.00777876066587731
20,75,1,0.008048510938924346,0.03908304624023701,20,0.0044766864175022954,0.007744078726686553
30,75,1,0.008927828775448194,0.03906625595866099,29,0.0038532057125493808,0.00875164608097975
50,75,1,0.010758510938924336,0.03908928894762078,47,0.0037896991795806777,0.00935867018921501
75,75,1,0.009377500607718013,0.039005531818075555,65,0.004911622607110312,0.00781875498329842
100,75,1,,,,,
10,100,1,0.00967183910665452,0.03961378548362808,10,0.00855895852324523,0.009655574379891358
20,100,1,0.009502740656335471,0.03879684455381951,20,0.004298928896991811,0.008938183974116146
30,100,1,0.007773197964144638,0.03858411972853844,30,0.003924612579762994,0.007226421498226316
50,100,1,0.009755402461257971,0.03867490389748404,49,0.004376298997265272,0.007834574606275761
75,100,1,0.008011301883925853,0.03858182820215335,66,0.004608067456700102,0.007523118389375786
100,100,1,0.00941796399270739,0.038610306322278944,86,0.004337670920692802,0.007400273479389178
10,10,2,0.008100080674566993,0.03947068129037375,9,0.004602104375569717,0.008092654820786131
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.006779809936189615,0.03949658903877849,10,0.0031588878760255377,0.0067775996846841605
20,20,2,0.005225967639015501,0.038893055583901555,18,0.0033806312670920883,0.005211217613939815
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.01007558659981768,0.04017442085281678,10,0.006106206472196885,0.010063422443522272
20,30,2,0.010213293983591613,0.03950509614907931,19,0.005560399726526867,0.009713184471996079
30,30,2,0.007011775903980554,0.039404196604867825,24,0.003572895776359771,0.006936419257932392
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.011733351412944373,0.04053183288563354,10,0.004293666818596165,0.011675117177204543
20,50,2,0.007962353236098452,0.03991492021471285,18,0.003463561987237912,0.007762664852379057
30,50,2,0.007796221361288357,0.03993617513216449,24,0.006186083257368583,0.007531869663194961
50,50,2,0.0078804708295351,0.03981522422565178,38,0.003960619872379224,0.007084434113980736
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.010816601185050128,0.04007761091662716,10,0.005814501823154041,0.010786214133012338
20,75,2,0.008470139927073843,0.03913888489110301,20,0.004026460802187776,0.008244138386763189
30,75,2,0.008207385445153438,0.03900586834597995,30,0.0034466598298389536,0.007854725477181898
50,75,2,0.008608549225159532,0.03892390725208751,45,0.003693393345487694,0.0075231876575449575
75,75,2,0.007911678972956537,0.03890507415778993,58,0.003442720297781834,0.006356463330163105
100,75,2,,,,,
10,100,2,0.007658747948951697,0.039728409002315404,10,0.00446832041932544,0.00765417390732781
20,100,2,0.008978041476754788,0.03916524861033728,20,0.004121171376481328,0.00867560766505938
30,100,2,0.00804727119416591,0.038860369257556975,30,0.002550410209662721,0.006917487681319787
50,100,2,0.008479427073837751,0.03884586641343664,47,0.0027035551504102106,0.007236437477526479
75,100,2,0.009942096475235489,0.03889475036157804,61,0.002638453357642061,0.007627985672656585
100,100,2,0.009387376025524157,0.03884476093485871,75,0.0026198040109389254,0.0070827783626439995
10,10,3,0.0104579092980857,0.03995338119921605,10,0.007282140838650848,0.010434644771908396
20,10,3,,,,,
30,10,3,,,,,
50,10,3,,,,,
75,10,3,,,,,
100,10,3,,,,,
10,20,3,0.008764313126709215,0.03939651702419326,10,0.0033776663628076707,0.008757978085359936
20,20,3,0.006317167274384687,0.03865166260304467,20,0.003494578395624449,0.006189849822612414
30,20,3,,,,,
50,20,3,,,,,
75,20,3,,,,,
100,20,3,,,,,
10,30,3,0.014706651321786706,0.040223678373327264,10,0.0028616020966271806,0.01441213516009485
20,30,3,0.010743734275296268,0.03949133429857794,17,0.00300228669097536,0.01039875078925485
30,30,3,0.007051090701914323,0.03921538514938317,23,0.003401711485870556,0.0068731883137203185
50,30,3,,,,,
75,30,3,,,,,
100,30,3,,,,,
10,50,3,0.008183784412032827,0.04036145868326345,10,0.004915952597994545,0.008180052997656099
20,50,3,0.009103346855059253,0.03975745280359161,20,0.003457039653600739,0.008890111577564277
30,50,3,0.008997365390458829,0.03965809588573484,27,0.004105208903068977,0.00816134554044393
50,50,3,0.008306833637192349,0.03959523095309025,39,0.0037828144940747523,0.007587736120986338
75,50,3,,,,,
100,50,3,,,,,
10,75,3,0.009852011394712862,0.03937545458116683,10,0.004564995442114873,0.009828771161909508
20,75,3,0.005599650410209669,0.03867556356020054,20,0.00384211713764815,0.005517018290252863
30,75,3,0.008270988909146158,0.03856743457711536,30,0.0038681350653296887,0.007623648568619226
50,75,3,0.007710042388331811,0.03849596761671832,45,0.0030614129443938018,0.006913191130682575
75,75,3,0.008199560771801893,0.03848238493263041,63,0.0035107847158918327,0.006901383429251352
100,75,3,,,,,
10,100,3,0.010616578395624438,0.039861795055186874,10,0.007901367365542403,0.010572364807171506
20,100,3,0.010293725159525988,0.03935080458116682,20,0.004927917046490445,0.009834636703858963
30,100,3,0.008883931783652384,0.03907079475132787,29,0.005872348830142817,0.008339403071645431
50,100,3,0.007983497265268919,0.03901957363312671,48,0.004800182315405656,0.007042550359913497
75,100,3,0.009181245670009107,0.0390489813025281,61,0.004492297174111222,0.008163714330681115
100,100,3,0.009166541932543291,0.03902254212902461,77,0.004365701914311762,0.0076009041897782455
10,10,4,0.00872694302643574,0.03927243589383774,8,0.004395390610756592,0.008723339451886455
20,10,4,,,,,
30,10,4,,,,,
50,10,4,,,,,
75,10,4,,,,,
100,10,4,,,,,
10,20,4,0.013023091613491355,0.03952496825482224,10,0.0023964175022789438,0.012854334311473448
20,20,4,0.008008779854147684,0.0390662230861805,16,0.0028473587055606367,0.007754020711513668
30,20,4,,,,,
50,20,4,,,,,
75,20,4,,,,,
100,20,4,,,,,
10,30,4,0.009453930264357334,0.03939036433504103,10,0.002538603008204185,0.009441649182124107
20,30,4,0.00850451823154056,0.03877849541981768,18,0.003732687784867797,0.00840926502343179
30,30,4,0.005882403372835009,0.03863917250884837,26,0.001984273017319964,0.005570072018679234
50,30,4,,,,,
75,30,4,,,,,
100,30,4,,,,,
10,50,4,0.01126595578851413,0.040318898701494986,10,0.0041010665451230634,0.011209875620636378
20,50,4,0.009120928441203295,0.0395040071335825,20,0.0036483669097538514,0.008756945622857504
30,50,4,0.009390481768459441,0.03936010688543098,28,0.002840051656031601,0.008508958270179444
50,50,4,0.008419816317228808,0.03930399598499544,37,0.002641456244302647,0.007539039863901369
75,50,4,,,,,
100,50,4,,,,,
10,75,4,0.012797371467639018,0.039776234891103004,10,0.005842458979033746,0.012669745269775153
20,75,4,0.010939577484047407,0.03916624405245214,20,0.005406911121239767,0.010570528895212133
30,75,4,0.010071898966879359,0.039088220012140185,30,0.00486049832877545,0.009707006703486867
50,75,4,0.00911882999088423,0.038940138792652686,43,0.003805148131267095,0.008249521321688278
75,75,4,0.008878936645396532,0.0389480290853702,62,0.004290486934062601,0.007809591250193748
100,75,4,,,,,
10,100,4,0.009654632178669093,0.03958215512811304,10,0.0041661804922516095,0.009611847910740387
20,100,4,0.008108634001823158,0.03893388935783045,20,0.003438808113035561,0.007961542677051832
30,100,4,0.008019139927073845,0.03886575773117189,30,0.0034378942570647214,0.007389590071184391
50,100,4,0.008164358705560627,0.03886820249365542,46,0.0039027985414767557,0.007502510956742594
75,100,4,0.008702315253722254,0.03881377360476653,63,0.003466381039197812,0.007494690253183688
100,100,4,0.009619294895168641,0.03881055728855059,78,0.003591608933454877,0.007510509280328759
10,10,5,0.010500434366453966,0.03976164373340018,10,0.006460112579762975,0.010475795644920167
20,10,5,,,,,
30,10,5,,,,,
50,10,5,,,,,
75,10,5,,,,,
100,10,5,,,,,
10,20,5,0.011742180948040096,0.040255456404320863,10,0.0035886449407474793,0.011444017361899738
20,20,5,0.00715545897903372,0.039615265474512315,16,0.003428208751139474,0.006910554947965141
30,20,5,,,,,
50,20,5,,,,,
75,20,5,,,,,
100,20,5,,,,,
10,30,5,0.00805736235186873,0.03963427454470373,10,0.0032718755697356498,0.008053382688557693
20,30,5,0.008890279398359164,0.03907021602145852,19,0.004644264813126685,0.008769748144730801
30,30,5,0.0066773182923123625,0.038876518037056614,26,0.0034739418109996974,0.006376917218438156
50,30,5,,,,,
75,30,5,,,,,
100,30,5,,,,,
10,50,5,0.008118852780309946,0.0402602763678578,10,0.0034017114858705703,0.008115392687825154
20,50,5,0.00867413992707384,0.039470715109881496,19,0.0026582702825888884,0.008464573064052393
30,50,5,0.008666780461865704,0.0394169742914879,26,0.004819973412336679,0.008289471248830442
