#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.015643816317228793,0.04217909314087511,10,0.008978003646308115,0.01517924327256667
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.01024408523245214,0.04183316561124886,10,0.009101066545123064,0.010215808872662928
20,20,0,0.013248647675478582,0.041392544189188696,20,0.008822465815861442,0.012827080572890961
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.012818333181403845,0.04172189897496809,10,0.007030811303555164,0.012797209017432322
20,30,0,0.01178322835004558,0.041087198245706474,20,0.0047534434822242375,0.011517041282017889
30,30,0,0.010806740960194476,0.04078346668488403,30,0.005446946216955337,0.009360547714647451
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.008043062898814941,0.04145483562036464,10,0.005559933910665458,0.007947040287235944
20,50,0,0.009299972652689151,0.04062157222018231,20,0.004957379216043757,0.007903573028813313
30,50,0,0.007756110452749927,0.04048392349639015,30,0.005450960194469765,0.006740482177360815
50,50,0,0.008483775296262538,0.04034924559301732,47,0.004617019143117595,0.006444598544873144
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.008773073381950774,0.041150306449899726,10,0.004741449407474933,0.008745205849888346
20,75,0,0.008596241112123974,0.040609493277611666,20,0.004650861440291707,0.008309502358876137
30,75,0,0.008487448951686431,0.040543817682554446,30,0.003801005773321178,0.00778159155128078
50,75,0,0.008752293983591612,0.04042483913905196,49,0.0038198450319051973,0.006955914985608824
75,75,0,0.00895665284108175,0.040389026330381855,69,0.004090787754481931,0.006440994888738422
100,75,0,,,,,
10,100,0,0.009920466271649955,0.0416596925027712,10,0.0033581312670920706,0.009895920832445143
20,100,0,0.009835097082953513,0.04094223379721057,20,0.003639010938924341,0.00938778698615153
30,100,0,0.009456417350349442,0.04095209926869848,30,0.0037121270130659367,0.009001118413756304
50,100,0,0.010257385141294432,0.040701472849170466,50,0.0033613217866909763,0.008447672664162062
75,100,0,0.011167761926466124,0.0407455850379682,73,0.0036049407474931625,0.00869677147383581
100,100,0,0.011566979489516864,0.04074300237515041,95,0.0035177711941659067,0.008539463223232189
10,10,1,0.015643816317228793,0.04217909314087511,10,0.008978003646308115,0.01517924327256667
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.008758641750227898,0.04140168247542389,10,0.00709917958067458,0.008684680562868256
20,20,1,0.010209114402917042,0.0409607909986691,20,0.006940403372835015,0.009453692389316598
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.011432386052871474,0.041359944098030996,10,0.010081292160437572,0.011391757763675538
20,30,1,0.009964641294439386,0.04079589674160438,20,0.003689728805834095,0.009420732643578504
30,30,1,0.009367716347614711,0.04061079977513015,30,0.0049370229413552135,0.008234302232690094
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.011683852780309928,0.041960009275788517,10,0.009085113947128534,0.011622967918079383
20,50,1,0.012340192798541488,0.041273577917538745,20,0.008106877848678216,0.011761270362849708
30,50,1,0.01252280446672743,0.041216065094688545,30,0.00871744454573078,0.01181740376965018
50,50,1,0.011885201914311758,0.04106281642255241,48,0.008487575205104831,0.011139631535041855
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.01252924020054694,0.04189468201963537,10,0.007708632634457611,0.01238923483266204
20,75,1,0.010963310391978122,0.04118152618554239,20,0.007477889699179581,0.010101495804616452
30,75,1,0.012252356274688547,0.04125014960800769,30,0.007350423123670618,0.0100598305264819
50,75,1,0.011836163628076565,0.04113899226576117,50,0.00711109389243391,0.010036136195993268
75,75,1,0.013950879519902768,0.04113121479589385,70,0.007656333181403833,0.009519522232238186
100,75,1,,,,,
10,100,1,0.013039641294439379,0.04226695230222425,10,0.00909650865998177,0.012922339412676724
20,100,1,0.012773005013673665,0.04157276547451231,20,0.008888555150410211,0.012375777960857585
30,100,1,0.014606885293223952,0.041524607118389546,30,0.008696174415071405,0.014049560963229348
50,100,1,0.014328684138559705,0.041345753067948944,50,0.008495323609845031,0.012851826140700582
75,100,1,0.014737616074141608,0.04140464933453459,74,0.008575770282588878,0.013190846067926481
100,100,1,0.015192284867821334,0.041371690752543294,96,0.008542383773928897,0.013314732273669016
10,10,2,0.015643816317228793,0.04217909314087511,10,0.008978003646308115,0.01517924327256667
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.01004068960802188,0.0417835024389608,10,0.009101066545123064,0.010015692735041208
20,20,2,0.011109481768459441,0.0411931524389608,20,0.008520505925250686,0.010276979539101925
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.00995171969006381,0.041488266340510484,10,0.006302525068368279,0.009946596713299118
20,30,2,0.010346049680948047,0.04090052572975387,20,0.005541927985414768,0.010028806418848285
30,30,2,0.009963764661197201,0.040863300220790044,30,0.006641327863871164,0.009686465954268282
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.008647411121239741,0.04176009678718323,10,0.008273810391978125,0.008345057751194996
20,50,2,0.008106633090246127,0.04099529145445761,20,0.006626704649042847,0.007683034392313534
30,50,2,0.008135507292616227,0.04092543980349033,30,0.006935311455484654,0.007653301361170385
50,50,2,0.009641683226982677,0.04086514604880583,48,0.007271531449407474,0.008416064263159766
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.010787161804922521,0.041793379831850504,10,0.006972534184138561,0.010754141349083802
20,75,2,0.009994089790337292,0.04107108384278943,20,0.006878527803099363,0.009610880662857509
30,75,2,0.009661690823457924,0.040981934789816675,30,0.006291890003038589,0.008738761557589434
50,75,2,0.009355274840474008,0.04087449986831359,50,0.006693135824977212,0.007857199953359805
75,75,2,0.010901408234579166,0.04082849255138863,70,0.007102965663931936,0.0075363440381041365
100,75,2,,,,,
10,100,2,0.011405917502278947,0.04192949833686418,10,0.0067190123062899005,0.01123363154920492
20,100,2,0.008094864630811324,0.04116269437150411,20,0.006184589790337286,0.007947938798432589
30,100,2,0.008360475387420229,0.04096239456901246,30,0.0060404466727438455,0.008040956050610108
50,100,2,0.00959208432087511,0.04093973510988149,50,0.0061293254329990885,0.0075735806835916155
75,100,2,0.009298760103312076,0.04089120634861339,74,0.006122108781525372,0.00703535872079028
100,100,2,0.010325056061987239,0.04089786436238833,96,0.006069503190519599,0.007259421058297358
10,10,3,0.015643816317228793,0.04217909314087511,10,0.008978003646308115,0.01517924327256667
20,10,3,,,,,
30,10,3,,,,,
50,10,3,,,,,
75,10,3,,,,,
100,10,3,,,,,
10,20,3,0.012065876481312661,0.04164344592118505,10,0.00908739288969918,0.011963555415504878
20,20,3,0.009725079762989966,0.041189850023281675,20,0.008544434822242482,0.008798533084488264
30,20,3,,,,,
50,20,3,,,,,
75,20,3,,,,,
100,20,3,,,,,
