#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.01306721649954422,0.002549386964448509,10,0.03846647554743847,0.012905185475878432
20,0,0.014510315861440295,0.0020257999088423148,20,0.03803305822747493,0.013884862060910177
30,0,0.014694021422060149,0.0018094902765117004,30,0.0379474067132442,0.01405989359555781
50,0,0.014947672288058343,0.0016533067456700149,50,0.037909296021458525,0.01430854729198619
75,0,0.01506516393193558,0.0015927628380431583,75,0.0378959032269685,0.014308233901103813
100,0,0.01525598131267092,0.0015738855970829585,100,0.03789548557478578,0.01442406325270889
10,1,0.012738219234275299,0.004044373290793085,10,0.038489934982260714,0.01258303406579356
20,1,0.014290348678213306,0.0035800387420237187,20,0.03804150011443938,0.013617210815772319
30,1,0.014905714828319658,0.0033561326344576136,30,0.037938846245301326,0.01388605587121759
50,1,0.014895083409298088,0.0032257771194165964,50,0.03790891179174111,0.014151545986805668
75,1,0.015350646460042536,0.003172829687025231,75,0.037891975282068266,0.014193916278288345
100,1,0.015681902917046495,0.0031274407474931685,100,0.03789607869237921,0.014244403149726652
10,2,0.012572818140382866,0.003538448040109402,10,0.03853550882,0.012415672725697907
20,2,0.013739250227894257,0.003013721513217885,20,0.03807696729766636,0.013215755637882761
30,2,0.014265797477970217,0.002841091613491342,30,0.03802230831356832,0.013604404715832318
50,2,0.014661314038286235,0.0027111918869644545,50,0.0379458920105196,0.013912607223518938
75,2,0.01466823442722576,0.0026608272561531553,75,0.037925733126695026,0.013880041771492435
100,2,0.014829313126709206,0.002618552871467644,100,0.037924819394293534,0.013936309762432118
10,3,0.013164313126709213,0.0032080013673655553,10,0.03849995549274385,0.012953743962655058
20,3,0.014206747037374652,0.0026684617137648302,20,0.03803230321380128,0.013849305433176652
30,3,0.014580356882406546,0.0024992502278942596,30,0.0379753485242439,0.014066047404217784
50,3,0.015042736098450311,0.0023388126709206988,50,0.03791603430769371,0.014309546393050605
75,3,0.015099846399270735,0.0022752301731996456,75,0.03791721277827003,0.014374284619323689
100,3,0.015237234731084771,0.0022614425706472246,100,0.03790142641343665,0.014383349880809098
10,4,0.012775192798541479,0.0032626959890610886,10,0.0385137572247402,0.012628316034953853
20,4,0.014191924794895177,0.002694669553327274,20,0.03806187796311759,0.01375308665205671
30,4,0.014440297629899708,0.002545588726830753,30,0.037983253618946625,0.013860761989307465
50,4,0.01492123655423884,0.0023292411121239804,50,0.03794730145445761,0.014176093218988302
75,4,0.015182634305682162,0.002278572622303262,75,0.03794760910765319,0.014215520679037546
100,4,0.015376409753874203,0.0022707862351868786,100,0.037942018327748406,0.014252477719220582
10,5,0.012862635824977221,0.003317390610756622,10,0.03850529323203282,0.012714376392886254
20,5,0.014142526435733814,0.0027402484047402177,20,0.038060282019635364,0.01373157420875336
30,5,0.014649293375873585,0.00255622379216044,30,0.037978028661993304,0.01407486836970836
50,5,0.014889531905195992,0.002385303099361902,50,0.03790639808162261,0.014267673428210179
75,5,0.01523194454573078,0.0023393444241871877,75,0.03790307707078497,0.01430802830871892
100,5,0.015236778942570644,0.0023072493163172345,100,0.037901388063391064,0.014322893332225377
10,6,0.013087895624430268,0.00295703737465816,10,0.03851631283093892,0.01288910254251376
20,6,0.014400917502278935,0.0022408796718322715,20,0.038131780424375566,0.013812927890427231
30,6,0.01471155864478881,0.0020697690671528405,30,0.03800845973664134,0.014100897270182858
50,6,0.015258788969917962,0.0019510086599817751,50,0.037949733541969004,0.014273203066269904
75,6,0.01518445594044363,0.0019231295958675306,75,0.037958865078482736,0.014278649437474568
100,6,0.01543433591613492,0.001905771649954427,100,0.03794676750732908,0.01434453061962061
10,7,0.013223675022789434,0.0025126435733819523,10,0.03847781556567001,0.013030374998263053
20,7,0.01488971422060163,0.0019290086599817772,20,0.03808634856475844,0.014261223765324188
30,7,0.015106479641446364,0.0017556191127316935,30,0.037980073987628885,0.014494363985739427
50,7,0.015505452597994539,0.0016943915223336403,50,0.037941838920273474,0.014629239293388299
75,7,0.015462357793983585,0.0016751724399878504,75,0.037940122426806444,0.014689527805615088
100,7,0.01572254010938925,0.0016548518687329104,100,0.037934219467219685,0.014645894205718865
10,8,0.012625976754785785,0.0026721695533272576,10,0.03841422577533272,0.012485475466487865
20,8,0.014551318596171378,0.0019605697356426637,20,0.03803168835509572,0.013972844421233995
30,8,0.014783099209966562,0.0017484381646915828,30,0.03799369629088018,0.014069032819175223
50,8,0.015498943938012762,0.001586937101185051,50,0.03791998905701003,0.014253117963899766
75,8,0.015497120783956238,0.0015213795199027654,75,0.037924126903662515,0.01436828060051757
100,8,0.01590588103919782,0.0014879170464904288,100,0.037915752375150415,0.014366425687648406
10,9,0.012772544667274397,0.002506087055606212,10,0.03838080280359161,0.012622181399561887
20,9,0.014898396991795805,0.0019300843208751315,20,0.03802294861033728,0.014057433075678229
30,9,0.014910429808568817,0.0017221308113035568,30,0.03790861809782842,0.014120020004781767
50,9,0.015194308568824066,0.0016478372835004617,50,0.03789377948545124,0.014298908773392932
75,9,0.015571259343664535,0.001549614858705571,75,0.037883243423464,0.014333306377518697
100,9,0.015462526435733821,0.0015248883318140433,100,0.037887984371504105,0.014414289589683119
