#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0014790462812591528,0.0378995047553768,0.014099664771962618,0.05651847076884975
/,1,0.0030345967372038896,0.037897741691967114,0.014032885787439945,0.05630517063574235
/,2,0.0025338142825224353,0.03793943924686996,0.013658154090507716,0.056487211745817556
/,3,0.0021681504315602604,0.037917121638321144,0.014058838873507243,0.05668297929003657
/,4,0.00217343154543126,0.0379483202578598,0.014005947362057616,0.057218848142707696
/,5,0.0022637864642084103,0.03791512418061115,0.014102799860341783,0.056665095935349206
/,6,0.0018633270347267292,0.03795530284704571,0.014092149715392036,0.056959958629347766
/,7,0.001598415512242509,0.0379430772603981,0.014437379634102692,0.05651482708476283
/,8,0.0013976045148993504,0.03792696316580092,0.014080088978136906,0.05646696687675079
/,9,0.001438882813091335,0.037892721427592806,0.014132241693352353,0.05627992006308413
