#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.0050297014585232586,0.000994459890610761,9,0.036854190223828624,0.0050281230877224
20,0,0.0054453851412944385,0.0007727597994530558,17,0.03627273233868733,0.005407476725645423
30,0,0.005615371467639008,0.0007691514737161956,25,0.036151674068657956,0.005437479463203758
50,0,0.005991479033728351,0.0007648974475843214,41,0.03615057089839563,0.0055875618454175584
75,0,0.006232916286842894,0.0007614790337283508,61,0.036115159611046284,0.005601112673467593
100,0,0.006599824521422061,0.0007670624430264364,80,0.036110178911157705,0.005614331379933282
10,1,0.0053434981768459506,0.0019829535095715715,9,0.03679032741617138,0.0053418219060507
20,1,0.0053785027347310835,0.0015129216043755854,17,0.03619150521927074,0.0053549087350898165
30,1,0.005877489364934661,0.0015089334548769409,25,0.03608982250378406,0.00563166676878335
50,1,0.005895189152233367,0.001492980856882411,41,0.036019569476335465,0.005468615314485771
75,1,0.005979976450926762,0.0014740656335460458,61,0.03600311456293528,0.005543164709804459
100,1,0.00628736326344576,0.0014851185050136775,81,0.035994408345979945,0.005537116026691345
10,2,0.005298971285323621,0.001016055150410215,9,0.03687052933048314,0.005297314406099971
20,2,0.005493835460346397,0.001109964904284432,17,0.036275311873783044,0.00544483194417733
30,2,0.0058188597690671485,0.0011318047705864518,26,0.03614450597385394,0.005608070851894778
50,2,0.005844532816773017,0.0010672347310847834,42,0.036074662165487686,0.005520823599915489
75,2,0.006133075812822842,0.0010981523852932379,63,0.03605766017622404,0.0056364177374694634
100,2,0.0065870569735642665,0.0011038117593436703,83,0.03605409850094804,0.005611989222910044
10,3,0.005765877392889705,0.0012435528714676532,8,0.03672584500960802,0.005764039110235447
20,3,0.006337117137648136,0.0015347515952598082,16,0.03618438083458523,0.0062685712533022565
30,3,0.006362003190519598,0.0014563179884533588,24,0.03608909205711131,0.006205001363048484
50,3,0.006549969462169557,0.001495667730173203,40,0.03603317753467639,0.006154672410791169
75,3,0.006654134761470674,0.0015016689456092429,60,0.03602492537626456,0.006212111765262203
100,3,0.007311013217866911,0.0014825638103919808,80,0.03601260666867821,0.0062844783554206985
10,4,0.005385804466727452,0.002109614858705567,9,0.037114681108058344,0.005384111892518819
20,4,0.005532208295350961,0.0022799658158614493,17,0.0365007893122516,0.005487111149869288
30,4,0.005407785627468849,0.0021802620783956256,26,0.03631316423375469,0.005355926620909339
50,4,0.005622285779398364,0.002157472652689155,42,0.03625234469967183,0.005439212313359145
75,4,0.006044476602856269,0.0021598275600121595,63,0.03625620187986023,0.005561278056941029
100,4,0.006801706927985413,0.002144368732907934,84,0.036233656814530536,0.005679969692641785
10,5,0.005508890154968093,0.002495581130355525,9,0.036819749932123974,0.005507123569956434
20,5,0.0059827051048313646,0.0021463331814038393,17,0.03630221479082953,0.005916568873035383
30,5,0.006182452901853535,0.0022053957763597722,25,0.03616132046792869,0.006015689843337244
50,5,0.0063191909753874224,0.0021282155879671855,40,0.03611544703330902,0.005887475232088429
75,5,0.006545960954117283,0.002085599361896089,60,0.0360861728066302,0.005919144491557131
100,5,0.006851118960802187,0.0020911827711941684,79,0.03609960934871467,0.005960535261127004
10,6,0.006080922971741108,0.0026957155879671715,9,0.03699903571152233,0.006078788723709256
20,6,0.006190613035551505,0.0028592297174111067,17,0.036429539768040115,0.006123210472548333
30,6,0.006456330142813728,0.002795229413552108,26,0.036293635721650966,0.006196359248817151
50,6,0.006532764357338196,0.0028105742935277977,43,0.0362437276531814,0.006022175988648884
75,6,0.006762651929504702,0.0028307049529018437,64,0.03623473839358453,0.006102571337243025
100,6,0.0074547971741112115,0.002818664539653597,85,0.03622758252100274,0.006105337535235456
10,7,0.006139090701914325,0.0018771627164995508,9,0.03712953507341842,0.006136886839577784
20,7,0.0062804899726526895,0.0019371399270738476,18,0.036536822949443944,0.00622395620639598
30,7,0.006332805378304463,0.001920047857793984,26,0.0364056882284878,0.006229362799775894
50,7,0.006662805378304472,0.001978844576116685,43,0.03633894608526892,0.006240214973673705
75,7,0.006661589942266784,0.0019537762078395676,63,0.036327133661486884,0.006242854154574736
100,7,0.007023611212397451,0.001962436189608024,84,0.03631697046083865,0.006248650163053482
10,8,0.0054992812215132305,0.00173584685505926,9,0.03699143088016408,0.005497561569894876
20,8,0.005457741567912489,0.0017535086599817743,18,0.036344159412525064,0.0054224365869960925
30,8,0.005605161804922512,0.001789022181707689,26,0.036287345688226474,0.005513039789030338
50,8,0.005962732452142212,0.0017559015496809499,42,0.036185376331394715,0.005521239445868413
75,8,0.006262679276815554,0.0017467098146460103,63,0.036154524355298284,0.00557755549209209
100,8,0.006515827256153144,0.0017557876025524174,83,0.03615093434415679,0.005502422214377838
10,9,0.004957627620783957,0.001115995897903379,9,0.03680810590295351,0.004956069714055405
20,9,0.005272968550592524,0.0010975091157702846,18,0.036211751253910664,0.005263069754709481
30,9,0.005585075812822844,0.0011653729869340638,27,0.03611884609337183,0.005370274532356675
50,9,0.005926231996353691,0.0011615747493163204,43,0.036051574872871466,0.005201757265183888
75,9,0.0062133255849285834,0.0011534571558796725,64,0.0360280860082913,0.005257373183251785
100,9,0.0065295683682771175,0.0011316932543299913,85,0.036022211463573386,0.005335998500232029
