#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0008848652590438786,0.036087110353337025,0.005003269550011469,0.04331627840859532
/,1,0.0014952141311033163,0.03598558870406998,0.005540319068356594,0.04097533391593692
/,2,0.001103446471806457,0.03604900582289212,0.005526951984062705,0.04292240790419861
/,3,0.0014488287985795789,0.036004066356411006,0.006221171496250259,0.04316306628186954
/,4,0.002125314091957171,0.03623151131879904,0.00557553757136025,0.058263996762443364
/,5,0.0020942547528263384,0.03608320997803269,0.0058997707701381645,0.04081386151822089
/,6,0.0027749975931581497,0.036216176107490665,0.006011900051033872,0.04170149550320998
/,7,0.0019464476158300322,0.036312965955101556,0.006257133621505704,0.048772397483754906
/,8,0.00211844692854979,0.036155252060693845,0.005161898145714059,0.04048386178870124
/,9,0.0011222063977848105,0.036016411079489295,0.005416430106313323,0.04547774983329405
