#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0007643053775336811,0.03609650255854885,0.005597254587810404,0.0424641127923662
/,1,0.0014799356375535828,0.035986237649487364,0.0055754749390552645,0.040940596954262026
/,2,0.001097840463834065,0.03604823657699811,0.005530674853215187,0.04277052107652413
/,3,0.0014703563268340376,0.03600469203859689,0.006304466317468798,0.042397766432173085
/,4,0.002137414227100378,0.03623307607098275,0.005626723199493845,0.058073083399219794
/,5,0.002086679662584252,0.036085741812632806,0.005936077974334134,0.04095788036825958
/,6,0.002821181175507916,0.03621532554225939,0.00610137557907552,0.042335440744215455
/,7,0.0019568827773805237,0.0363118848480385,0.006249073522102704,0.04858430389585742
/,8,0.0017569648701873455,0.036150869620913746,0.005541885368770483,0.0397644371292352
/,9,0.0011417735548064118,0.036014750522634885,0.005372208555795295,0.045762644550957556
