#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,0,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,0,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,0,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,0,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,0,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,1,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,1,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,1,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,1,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,1,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,1,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,2,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,2,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,2,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,2,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,2,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,2,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,3,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,3,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,3,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,3,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,3,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,3,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,4,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,4,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,4,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,4,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,4,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,4,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,5,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,5,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,5,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,5,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,5,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,5,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,6,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,6,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,6,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,6,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,6,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,6,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,7,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,7,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,7,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,7,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,7,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,7,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,8,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,8,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,8,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,8,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,8,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,8,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
10,9,0.015643816317228793,0.008978003646308115,10,0.04217909314087511,0.01517924327256667
20,9,0.016831145396536018,0.008760934366453968,20,0.04156550795400182,0.0161460515474935
30,9,0.017111415831054397,0.00861945001519295,30,0.04149246891318343,0.01644992087775222
50,9,0.01820300501367365,0.008551385597082952,50,0.041389149330483134,0.016913078561324738
75,9,0.0182122970221817,0.008515302339714372,74,0.041379774544703735,0.016965825318500386
100,9,0.01833582634457612,0.008510250683682772,99,0.04138410615819507,0.017005942869190112
