#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.016303676243435195,0.1527430233755535,10,0.006268664401194526,0.01525294763384541
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.010195482785843818,0.1516628050664195,10,0.006982631380221761,0.010160785933556519
20,20,0,0.010754556688292092,0.15126602564102565,17,0.007160694058284423,0.010641335635906723
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.009505543541688179,0.1504404798681907,10,0.004985754985754994,0.009465462270430913
20,30,0,0.01112870284557018,0.1498270217622627,19,0.0056520955617341065,0.00998548455890981
30,30,0,0.010485531871074056,0.14961327742117567,27,0.006091602878751476,0.009121831938938445
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.014952974290323624,0.15069036831085023,10,0.013900902756324466,0.014940801820172118
20,50,0,0.010760563622009328,0.14986280592455295,18,0.007159835924896157,0.010381697157435036
30,50,0,0.010696632684584631,0.14987456950308353,24,0.007736072495108628,0.01045534121822457
50,50,0,0.010989084543301436,0.14980186386571925,36,0.006809974942505056,0.010517935230184629
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.011331651391892478,0.151877338413483,10,0.008587340816256506,0.011307993747253603
20,75,0,0.012414186661174392,0.15137681066144923,20,0.009988243572580947,0.011664776416128285
30,75,0,0.011884289293927925,0.15115677334218164,27,0.006410542454719152,0.010908274426835235
50,75,0,0.0120916143205299,0.15107293104040093,35,0.007977036350530336,0.010354492837841508
75,75,0,0.012155631071293818,0.1510667368429082,42,0.008601356994931324,0.01062203913796462
100,75,0,,,,,
10,100,0,0.00915370885250405,0.1516823705076717,10,0.006696872961933211,0.008250961975278687
20,100,0,0.012419335461504154,0.15198951790066245,20,0.007610355953729439,0.011094668188288855
30,100,0,0.01381051270609504,0.1518179174437541,29,0.0072944198446206416,0.01177834620286889
50,100,0,0.014835924896165848,0.15170203205986338,47,0.0070660419455600134,0.010696092641853281
75,100,0,0.016127987734413405,0.15179246902138469,54,0.007000881016945262,0.011186491264374147
100,100,0,0.01647195620087194,0.1517797592077713,65,0.0072569766244465015,0.011089774345353442
10,10,1,0.017448426183365364,0.15294554285518142,10,0.005990629183400256,0.016960446156469307
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.012302200254007332,0.1527656780970034,10,0.00886194350049774,0.012229447350863502
20,20,1,0.013238852847286136,0.15239661638005012,16,0.0071113513884598295,0.011269023973161959
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.008527271479078691,0.15054757491504478,10,0.008038993581162264,0.008513938866061223
20,30,1,0.009844506230048681,0.15037751433082758,19,0.007244791130333289,0.009231624889688397
30,30,1,0.013094257371365905,0.15032011235826495,27,0.0069176992871772015,0.0108980072795064
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.012826519754230643,0.15111154017780523,10,0.007564445817457852,0.012447624664464177
20,50,1,0.010845518827446478,0.15057617221020836,19,0.0076506882229773684,0.010296941522552769
30,50,1,0.013025606700305501,0.15036591761156687,26,0.006126500303207133,0.011759596408401164
50,50,1,0.013766004187690833,0.15032354031510656,35,0.005920777125596406,0.011482982639678042
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.011057048707650929,0.1521128102152198,10,0.010188617718738227,0.011047086911344319
20,75,1,0.011125270312017231,0.15178957282119934,20,0.006295695602924508,0.010757650666039797
30,75,1,0.012303916520784141,0.15168404863518653,28,0.006816153502900481,0.011101592586017372
50,75,1,0.012413242714447579,0.15159418185562767,38,0.006978169086602817,0.010859702679331071
75,75,1,0.012071648417029672,0.15158061610163354,51,0.006980972322337772,0.010508178885338617
100,75,1,,,,,
10,100,1,0.01080647375828139,0.15399486836233825,10,0.010010125973981385,0.010737027959532413
20,100,1,0.015770775409329214,0.15379434404283804,19,0.008613513884598212,0.013815949685496024
30,100,1,0.015364020183297567,0.15338033043856333,29,0.008914003592718444,0.013992380979484891
50,100,1,0.016167919541413462,0.15336001441664093,41,0.008505303264339405,0.01232825479746332
75,100,1,0.01749562351971991,0.15338783128716194,51,0.008556734058742079,0.013749288826823068
100,100,1,0.017740363162049765,0.15333192342017643,62,0.008559623107815878,0.012938240295233555
10,10,2,0.01240431812720962,0.151859145985652,10,0.006129646792297384,0.01205106410676823
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.014397761988123444,0.15284599938214394,10,0.010125115848007401,0.014101838996203157
20,20,2,0.011847818624926797,0.1527299153880479,15,0.007978495177290344,0.011013648496870755
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
