#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.008570178148491425,0.15359463495005662,0.015502688553516051,0.11221263114946226
20,20,0,0.008181014656918298,0.1512824159887413,0.017713410924277365,0.11851132117763953
30,30,0,0.006738635453494895,0.15075211577554284,0.010217951986307382,0.09217895319049273
50,50,0,0.0047432464902344386,0.14949060172313183,0.008245558431226192,0.09303744165306792
75,75,0,0.00883659996109794,0.1513681834651045,0.011632982486475764,0.10220630659279197
100,100,0,0.008254470874952801,0.15284431143376923,0.010316401513548863,0.12694172173518514
10,10,1,0.006516664950399865,0.15302208835341366,0.015016862858941361,0.08877377722921714
20,20,1,0.005778241169807429,0.15152449541756774,0.011308966283212978,0.11488068882128566
30,30,1,0.006553564686094807,0.1495329561360351,0.00867377802009512,0.08743574820985905
50,50,1,0.006439089692101743,0.1502107884529571,0.01150152066229385,0.09308740155482845
75,75,1,0.008213023032300126,0.15150490509044723,0.01240836103917203,0.10142463986450995
100,100,1,0.008195002231146813,0.15442052740878043,0.015656989506638207,0.14249028919909865
10,10,2,0.00753526928225724,0.15065844574880718,0.009853339393779246,0.09165361713834855
20,20,2,0.007787131431709735,0.15402981584457487,0.011687857303813663,0.13411845821416934
30,30,2,0.008317600887882016,0.14998990263046488,0.012550252344985302,0.08727820831085403
50,50,2,0.008232073593519372,0.1511015171798304,0.011242289328390373,0.12100421644641575
75,75,2,0.009474364695248217,0.15294829002620167,0.013386642067424397,0.1353176992180872
100,100,2,0.012208406274671329,0.15334908265540792,0.015422473560496822,0.1589845509241978
10,10,3,0.007113067655236337,0.15125913912058492,0.008848237384871152,0.10291693904792645
20,20,3,0.0073923900731129805,0.1527635542168675,0.014299294319840429,0.0986911432391087
30,30,3,0.00686134852801519,0.14979119707700697,0.010634271676111707,0.08372507397979584
50,50,3,0.00734236089657776,0.15092766622043727,0.009410839239486487,0.1155489265285489
75,75,3,0.006613691232165112,0.151717636738788,0.010573830826520575,0.1015251316245216
100,100,3,0.006523873270861224,0.1521569637524457,0.010332183439571485,0.09159877136625089
10,10,4,0.006412830810421181,0.15215640339134312,0.013043100748005085,0.09984589441605626
20,20,4,0.007077455119623799,0.15086759430885938,0.010890074379215256,0.09375352667603348
30,30,4,0.00750037185780157,0.14984813899472532,0.009760770664049085,0.09303635834681927
50,50,4,0.0076118147804894775,0.14955318367487042,0.009361639091802463,0.09750812203441628
75,75,4,0.007824917905239176,0.15081528621608942,0.01026122395396451,0.08748919152885488
100,100,4,0.007642965022483089,0.15347031974050046,0.0115081965980859,0.12947170197686822
10,10,5,0.006984347646998265,0.15164083685168017,0.009509167089783914,0.09304121704052896
20,20,5,0.006933288710397148,0.14983088336250988,0.009336018543584618,0.0797164037685946
30,30,5,0.005958592203572121,0.1494593473609538,0.009987481177461191,0.08598390090969263
50,50,5,0.008442487900319222,0.1501535200631586,0.010297219563162452,0.1177019341201325
75,75,5,0.008053982311010408,0.15247106717468165,0.008460426313129465,0.12456572791722788
100,100,5,0.011517437270449312,0.15314552655064703,0.011509472050892285,0.12316888549084931
10,10,6,0.007035835650293465,0.15291567981327017,0.014080182820445554,0.11757380775842799
20,20,6,0.005320856073868111,0.15089453969725056,0.010415169179289046,0.10023371249508141
30,30,6,0.006515234728086128,0.1496001193758891,0.011004584747432456,0.08828376691021537
50,50,6,0.005504754058970926,0.14947332921429307,0.008206653401132552,0.10127291972608067
75,75,6,0.008337051911349086,0.15312973527538454,0.011983647394795283,0.10767502993073412
100,100,6,0.008474153022345788,0.15352368190711563,0.013870128547588982,0.1366624108919091
10,10,7,0.006848762571654151,0.15177230288676075,0.016573969033278884,0.11935864842897295
20,20,7,0.005554268355473182,0.1512748644149247,0.011874015404415765,0.09976361118564865
30,30,7,0.004956006361628855,0.1497899003421092,0.01039762678694802,0.09670458627364863
50,50,7,0.004703772354374761,0.15010966601448533,0.009549783508675466,0.0970182919457847
75,75,7,0.006773876131305837,0.15160082075691175,0.009923859906328401,0.11155526462629012
100,100,7,0.0062167473312051596,0.152166729310404,0.010055468022974226,0.12068242144199239
10,10,8,0.006162255861051031,0.1519909552740878,0.012642267971538761,0.10346511507695828
20,20,8,0.005723320632959182,0.14952118302268907,0.008473613746711335,0.10832348650792131
30,30,8,0.005482614217553967,0.14997750737041232,0.013229950422057293,0.08271471001819869
50,50,8,0.006749905605327287,0.1493004805546974,0.009259595025318946,0.08392205492766532
75,75,8,0.007084177164498437,0.15136474177812864,0.01078973605863148,0.09579205187902474
100,100,8,0.006427333264682657,0.1519088327669653,0.012342250985844284,0.09314633342310095
10,10,9,0.0032978066110596247,0.15153786084508972,0.015093161635926455,0.09180502184605727
20,20,9,0.00423703360450349,0.1500137515875468,0.011125512412247785,0.07774544521719487
30,30,9,0.00770660991544526,0.14992022219933868,0.008745069664212797,0.10437220273490844
50,50,9,0.0036468952734013053,0.14927632924861844,0.010417232506030032,0.10074071664380504
75,75,9,0.006498701358139116,0.1518127835177367,0.010911681048044198,0.11503883157830036
100,100,9,0.007302200254007486,0.15248137936360828,0.012580071672101347,0.1262740441932908
