#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.01692496481653031,0.1627213984141695,8,0.015913225551779778,0.01613627627846865
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.017626059794734496,0.16167275941372325,10,0.011160024714241571,0.016635277014456853
20,20,0,0.014651340404352425,0.16064370730786393,19,0.011080647375828086,0.012302472660723552
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.01275100401606433,0.1595909278138194,10,0.010109669447018835,0.01238090672128084
20,30,0,0.011945645831188036,0.1585803255758075,19,0.010727096419867495,0.010747553284382544
30,30,0,0.011865982448311703,0.15833706144616452,28,0.010086785889998732,0.010393819054342649
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.013616002471424258,0.15768552843854047,10,0.008554731747502835,0.013406492599051967
20,50,0,0.014647907870799217,0.15719667130058698,19,0.006448443346033709,0.012902478498326283
30,50,0,0.014289923225666124,0.15713605609522607,27,0.006686003272348657,0.012335696755072631
50,50,0,0.016317063124292045,0.15711575532900832,42,0.006898019428139911,0.012704384068806134
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.01231163972127838,0.16074734836783028,10,0.010856245494799702,0.011182927702176609
20,75,0,0.011701935948923697,0.16006455308413142,20,0.010592369477911635,0.010738606333843026
30,75,0,0.01397584640556542,0.16000164952306853,27,0.010265277634755536,0.010864003332643177
50,75,0,0.01887086808773561,0.15991986063913774,47,0.010713795352349563,0.010973558125071264
75,75,0,0.01944724768017945,0.15997830791351544,63,0.010547832355061258,0.011054914560591858
100,75,0,,,,,
10,100,0,0.01852881611917655,0.162154000617856,10,0.00840713280472317,0.01816911880569857
20,100,0,0.017829866474444876,0.1608977147907871,20,0.006742783098204785,0.015911383275249495
30,100,0,0.01925279465440112,0.16072671502725053,30,0.006542122907584756,0.016542422881724674
50,100,0,0.0205957161981258,0.16049301136168606,50,0.006071980228606735,0.015395799262816286
75,100,0,0.020803327269190753,0.16049453655076146,71,0.006433368802846716,0.015295020134959212
100,100,0,0.022666220437304787,0.16048154755775237,90,0.006257422853808398,0.0154526087844339
10,10,1,0.020606357052139642,0.16297334637696084,9,0.016283939175505448,0.019013669092362247
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.014277623313767009,0.15820761679195414,10,0.010829643359763818,0.014193475218084792
20,20,1,0.012567792537672135,0.15752053084131398,18,0.008483077609583623,0.011999484218162038
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.012119417842308957,0.15641549102392477,10,0.006644526825249719,0.012030499534550753
20,30,1,0.01808344489067333,0.15627589417499058,19,0.010147427316101989,0.014627326966039864
30,30,1,0.014332829895079106,0.15589595800104497,29,0.006185711506996638,0.0127290334528711
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.01400387876291491,0.16118087735557618,10,0.012826519754230584,0.012972738571738989
20,50,1,0.013419060858819958,0.16033332046133253,19,0.013249150447945618,0.013235279771188083
30,50,1,0.013122861817640883,0.16034829727266137,27,0.013122861817640925,0.013109702232164127
50,50,1,0.01900336388288193,0.16027229945422716,42,0.013206501218549403,0.013193479090528051
75,50,1,,,,,
100,50,1,,,,,
