#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0077223013440112405,0.1469407007686508,0.02614221269835198,0.08868118935108474
/,1,0.006875769314083218,0.1469361013075544,0.027225561864047735,0.09014023036863172
/,2,0.007639108211678701,0.14703503367575158,0.028453429733381438,0.09217334916993834
/,3,0.01020948564156633,0.14715901719920585,0.02893199903685771,0.09211770457536166
/,4,0.009227271270105466,0.14725338151375203,0.029519280797507638,0.09603843985537111
/,5,0.009344813681561016,0.14731816853866156,0.02993485154434287,0.09507678443809603
/,6,0.009899171516786445,0.14724501771307436,0.028450324831502706,0.09835475387881136
/,7,0.009133932512043525,0.14722680989272435,0.027314464650550593,0.10744791289042667
/,8,0.006484828578670428,0.1469741491637828,0.02704165150136601,0.09248366675492944
/,9,0.007709221293069936,0.1471547963421913,0.026056904943277354,0.08802119096380387
