#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.01178646208766732,0.00691226444238495,10,0.1436749562351972,0.011620865564845479
20,0,0.010980245769402324,0.006226186798475977,20,0.1430387575944805,0.010253455761258063
30,0,0.010447201913065354,0.005947722513987587,30,0.1429663668920697,0.009818472899153744
50,0,0.011331823018570024,0.005897607524113555,50,0.14296697559468646,0.009657505710892222
75,0,0.011705969175848695,0.005786679481458623,75,0.14295070805539348,0.009812950392514796
100,0,0.01366062540761336,0.005765369168983634,100,0.14293255843888372,0.009900991326888658
10,1,0.011255277520337675,0.006366491607455468,10,0.14405322143273952,0.011235958123259228
20,1,0.00987625716541375,0.005554268355473179,20,0.14337900748292315,0.009771670468752979
30,1,0.010412018444146923,0.0052938248721381255,30,0.14317868816195456,0.00972795774230363
50,1,0.01186386571928742,0.005100229979748054,50,0.14318194830604472,0.009910307623918561
75,1,0.01322738246433026,0.005016647787732128,75,0.14317017662292092,0.01013769504802402
100,1,0.013823499124703929,0.004981206878797242,100,0.14317725002574402,0.009978899176394669
10,2,0.013802217416675602,0.006363059073902474,10,0.1444946452476573,0.013697172921425154
20,2,0.013750729413379847,0.005733618233618254,20,0.14376001870730787,0.013165939077721822
30,2,0.013477842995915276,0.0053458849643588735,30,0.14359600796347782,0.012815928260592665
50,2,0.014242268218171823,0.005217965880616491,50,0.1434987848831222,0.012649069369510683
75,2,0.014496733372235388,0.005136786462087693,75,0.14350741312829668,0.01268641505178705
100,2,0.015033982082174838,0.005111128273778884,100,0.14349531888236708,0.012628260682960643
10,3,0.012559640270483605,0.007118216455565872,10,0.14420013386880856,0.012522600441063812
20,3,0.012382864792503365,0.005787680637078242,20,0.14357191586860257,0.01191951499935537
30,3,0.0132776118719894,0.005228606734630836,30,0.14336541798723862,0.011955464437715967
50,3,0.01309992105172827,0.00488569663268459,50,0.14333126351560085,0.011675993213847281
75,3,0.014511150013158058,0.0047340358585338665,75,0.1433296536573645,0.011774902935888513
100,3,0.014712525314934945,0.0046724504857035025,100,0.14333386623416744,0.011761713752788013
10,4,0.010615110012700449,0.006647959358802751,10,0.14396672158720356,0.01060386426904429
20,4,0.010108811313630634,0.0052230288676071955,20,0.1432922501973707,0.009946100003392988
30,4,0.010194052563530428,0.004880776667925269,30,0.1431884899522115,0.00946625578133524
50,4,0.010943946727079271,0.004554457144818594,50,0.14314177393334016,0.009667809335416888
75,4,0.011836519868648372,0.0044097758555590024,75,0.1431084459395035,0.009732816888015918
100,4,0.013547180173686175,0.004339494731061,100,0.14310801239144613,0.009731558205952574
10,5,0.012436069062575305,0.009826485428895087,10,0.1442337726976281,0.012406785557238956
20,5,0.012077369306284908,0.00860750695088046,20,0.1436150799780318,0.01162039407936812
30,5,0.012478975731987776,0.00820289705831875,30,0.1434941761347384,0.011530417377065552
50,5,0.013025091820272583,0.007940651494868367,50,0.1434268939003879,0.011218659022801248
75,5,0.014566757056716902,0.007833842492477044,75,0.14342357387765686,0.01138846533341072
100,5,0.01497940479868189,0.0077533209762125485,100,0.1434329394501081,0.011206481885671657
10,6,0.011172896715065477,0.0061176329248618586,10,0.14440883190883191,0.011155090572134964
20,6,0.010422888133731522,0.00486690351148184,20,0.14373255843888375,0.010267092701455876
30,6,0.010271284568473359,0.00464850856417122,30,0.14359513076045874,0.009844742618975518
50,6,0.01108553873614116,0.004423334363093404,50,0.14348944839185804,0.00964905427896567
75,6,0.012106774677055811,0.004309545875810951,75,0.14345741103063725,0.00972840020240941
100,6,0.01348625270312015,0.0042368619778258365,100,0.1434580381354478,0.009772039806380894
10,7,0.010890570830330208,0.008374523735969537,10,0.14395745374661034,0.010849423557442237
20,7,0.01080819002505746,0.0071744241924964975,20,0.14323956080733188,0.010489492833844998
30,7,0.01099097243675558,0.006708028695980509,30,0.14310965609827725,0.009998725614255589
50,7,0.012426114715271335,0.0064481859060172364,50,0.14302962619709608,0.009973128661396258
75,7,0.012406091602878764,0.006339317383494105,75,0.14302657772590838,0.00980254640818592
100,7,0.01466120893831736,0.00628865890914084,100,0.14303177582123366,0.009970418826562546
10,8,0.01281793842034841,0.005038101122438476,10,0.14393479902516046,0.012466380967891743
20,8,0.011921189029622647,0.0043717605464593445,20,0.14341032935159442,0.011664208908223476
30,8,0.012876005446286566,0.004282371651849564,30,0.1432764009504304,0.01162966485782555
50,8,0.012767995057151676,0.004153193972471082,50,0.1432390793945011,0.011283137564606395
75,8,0.014399249419329725,0.004093982768681566,75,0.14324239712887635,0.011483737054873778
100,8,0.015061785603954263,0.004061631139944393,100,0.14322658926303503,0.01145742966640385
10,9,0.011816496756255826,0.008896268836027897,10,0.1438929221158137,0.011743042327227594
20,9,0.011369409260975516,0.008376669069440174,20,0.14321252960560188,0.010896985258999578
30,9,0.011009279282371574,0.008145116076842996,30,0.14312582714523808,0.01047860025058407
50,9,0.011718326296639573,0.008017540246455917,50,0.1430860570487076,0.010819571453424758
75,9,0.012020961338230425,0.007940937539331139,75,0.1430711609972654,0.010681230172734918
100,9,0.013693920983077602,0.007927865307383385,100,0.1430670897264271,0.01092620545083718
