#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
/,0,,0.005583065487246214,,0.1429224853384646,0.00953334144412123
/,1,,0.004282704906688137,,0.1431821554169393,0.010275841193996904
/,2,,0.004345076894407525,,0.1431031102127684,0.009649572946348403
/,3,,0.003338457537385661,,0.1431377451956524,0.008531975348894084
/,4,,0.004160109840756777,,0.14303228512438249,0.007554402824149329
/,5,,0.0070774228458976495,,0.14335246920298028,0.01037413016284385
/,6,,0.004872862729049899,,0.1433740825922983,0.00896962304712847
/,7,,0.00578023937841633,,0.14298051774584664,0.009323901334180387
/,8,,0.002881423957637194,,0.1431424928779146,0.0075893287289523865
/,9,,0.007889589473877258,,0.1430667064793318,0.010231428976750175
