#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.005583065487246213,0.1429224853384646,0.009533341444121228,0.10104843874018515
/,1,0.004282704906688137,0.1431821554169393,0.010275841193996889,0.056650943417439016
/,2,0.004345076894407526,0.1431031102127684,0.009649572946348398,0.060236671524711995
/,3,0.003338457537385657,0.1431377451956524,0.008531975348894077,0.07056584789332915
/,4,0.004160109840756771,0.14303228512438249,0.007554402824149336,0.05589086944683407
/,5,0.0070774228458976435,0.14335246920298028,0.01037413016284386,0.06003335904214418
/,6,0.0048728627290498955,0.1433740825922983,0.008969623047128453,0.12374142437667096
/,7,0.005780239378416332,0.14298051774584664,0.009323901334180387,0.11196067845329441
/,8,0.0028814239576371975,0.14314249287791464,0.007589328728952361,0.13302610232333412
/,9,0.007889589473877258,0.1430667064793318,0.010231428976750176,0.1059089993674518
