#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.005675345312755568,0.1429440746120098,0.009786395312356155,0.10081727790570172
/,1,0.00486696117612266,0.14317082886501156,0.010094306924952771,0.06307793316126724
/,2,0.0049993919912630245,0.14350428076020624,0.012621706911167527,0.06962800746625199
/,3,0.004450758687136128,0.14333511148545372,0.011703400899201815,0.06845660019924721
/,4,0.004132880743803226,0.14311441030436384,0.009756642902182673,0.058549656282840326
/,5,0.00756673329161592,0.14342550627443718,0.011256633610895517,0.05810900482405138
/,6,0.0042142997013382266,0.14345584170455888,0.009799174061153828,0.11516889321230067
/,7,0.0060971099324700715,0.14302453568233908,0.009857643419270918,0.11117451068470995
/,8,0.003974417084384964,0.14323475590484044,0.011425533891539911,0.12310729582019578
/,9,0.007843520800415935,0.1430916635511251,0.010637395705225748,0.10489157651654182
