#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.01821857137231015,0.03122198188312601,4,0.007949835606096281,0.01698862670270845
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.018617093315990377,0.0311616128685193,3,0.009780716878446496,0.01722850748031589
20,20,0,0.005483082588205524,0.030423412161316544,5,0.0022555935389946095,0.005307926114944037
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.01853610502511382,0.031224120652776355,2,0.009697199204300861,0.01714032961650852
20,30,0,0.006496004534959771,0.030433002205920143,4,0.002801672178480953,0.006065056932675927
30,30,0,0.002681298348440672,0.03023437724857013,5,0.0024752896864237276,0.002676631572849249
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.01852265767102481,0.031240247872430238,3,0.009688170266555387,0.017128897976968847
20,50,0,0.006403473931823531,0.030436436083839294,4,0.0028107011162264274,0.005970782409540431
30,50,0,0.002800523550319168,0.030256275090728715,5,0.0027642797292983527,0.0027741821991582273
50,50,0,0.002284033092017358,0.030155703268677343,7,0.00216869001319442,0.0021978971447659305
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.018568282622398263,0.03125707947729831,3,0.009661083453318965,0.017178972864714707
20,75,0,0.006381301806331532,0.030340776569564132,5,0.0021506321377034714,0.005957986106969371
30,75,0,0.003094580364109377,0.030255853526850528,6,0.0027665369637347214,0.003055508599047181
50,75,0,0.0028401612273720295,0.03017774348202922,9,0.0027570565791019716,0.002794652983507629
75,75,0,0.0031726982852382187,0.030125241585792203,12,0.0021567827013236947,0.002793259469743064
100,75,0,,,,,
10,100,0,0.01725494838617289,0.031089544655855162,2,0.007505424566586989,0.016014261128259696
20,100,0,0.0056161553630448315,0.0303564995681576,4,0.00284554016900762,0.0054430688197550925
30,100,0,0.0024901618196959685,0.030190590102255548,5,0.002137520967466683,0.0023892981587372904
50,100,0,0.0026758825866690103,0.030122248428894563,8,0.0024446553331085637,0.0025491080351958194
75,100,0,0.00258353768508922,0.03013640775634755,12,0.002487843751991084,0.0025209518928316437
100,100,0,0.0031352001782734697,0.03011732255903485,15,0.002406508071133936,0.0024607860166685797
10,10,1,0.016586766971120253,0.030930468860484183,6,0.002065281461125457,0.015657892207394233
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.01613985056147373,0.030850854120775335,2,0.004507817235089541,0.015375598089007741
20,20,1,0.0042531459604628315,0.030126517795725897,4,0.0025510751319681633,0.004208339437143551
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.018212888264331786,0.031163594752371942,3,0.009033572280008504,0.016996715007146813
20,30,1,0.006200034674962737,0.030415894450030602,5,0.0031413859611544213,0.00591158064044733
30,30,1,0.0025307680264183797,0.030234461561345762,7,0.0024218684714296715,0.002520703308082696
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.01842090602508473,0.031227245561726565,2,0.00964754004670075,0.017032545149800925
20,50,1,0.006328873134139285,0.03043512576725336,4,0.0026660900313163205,0.005901271696564967
30,50,1,0.0029388071748677603,0.03025674361362118,6,0.00269054340437698,0.0029180728099742104
50,50,1,0.0032506144960556447,0.030124851580506113,8,0.002119162127384217,0.0030038679628557005
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.01850056558930717,0.031235051430600128,2,0.009661083453318965,0.0171084205370811
20,75,1,0.006333899883167791,0.030445533859230697,4,0.0023218617797701145,0.005910724980438926
30,75,1,0.003035988321292728,0.030303219163503238,5,0.002929810254632048,0.003030526432773591
50,75,1,0.0029356662571627277,0.03020663467404431,8,0.0028581806818512834,0.0028647969993374624
75,75,1,0.0028225419917644492,0.03017356702200676,11,0.002212461150754119,0.002566689763200178
100,75,1,,,,,
10,100,1,0.01836002473032233,0.031215110925536724,3,0.008880080338335443,0.017124869941800274
20,100,1,0.006361146783952899,0.03040842076282054,5,0.0021074245083151015,0.005937301826673524
30,100,1,0.0034008678666191013,0.030253889786253402,6,0.003116344266352399,0.0033961464414612366
50,100,1,0.0029503879081392275,0.03019498030050051,9,0.0022103543986135062,0.002815504057241167
75,100,1,0.0024885097161935965,0.030194050544035293,13,0.0022654309188609016,0.002329564395925952
100,100,1,0.0027984760305716037,0.03016910543805573,16,0.0022302180616535507,0.0023269074702561197
10,10,2,0.01899570036861439,0.0312000787047158,5,0.013744156404254377,0.017861006844510804
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.018450250072757517,0.031177442325332642,3,0.010209591421356523,0.017061065380983828
20,20,2,0.005265235451963954,0.030413131338940406,4,0.0029741585078047646,0.005123463731070569
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.018444214772172333,0.031222654250830463,2,0.009767173471828287,0.017053985337409962
20,30,2,0.006515191027668895,0.030430720157913732,4,0.002795881011407513,0.006081109123831788
30,30,2,0.002791406564421789,0.030286121813304364,5,0.002217212549198922,0.002750923956120243
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.01758505691592435,0.03112542988076696,2,0.009521134918264113,0.016525450169878556
20,50,2,0.0054617829398539664,0.030394271424830577,4,0.0028861703888622553,0.005287912040685221
30,50,2,0.0045157415687487,0.030328125584326654,5,0.00303665268462016,0.0043257385779560025
50,50,2,0.0026338147806272455,0.030207868372729443,7,0.002369715149821127,0.002458612715261176
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.017661002449017454,0.031054674386001978,3,0.009735572189719127,0.016446813308455443
20,75,2,0.004652356280602588,0.030363489790970647,5,0.0023421768896974312,0.004560428712842294
30,75,2,0.004274153449037757,0.030284847516416878,6,0.0030426719764504754,0.004151531678995406
50,75,2,0.003250723355588734,0.03021745313444393,9,0.0030978989789936244,0.003121526295287603
75,75,2,0.002405244980374864,0.03015821210737771,12,0.0022976341301530934,0.002343970439981003
100,75,2,,,,,
10,100,2,0.018617989806262926,0.031229451568147357,4,0.00974911559633734,0.017222725965641714
20,100,2,0.00623558211514695,0.030397440357856673,7,0.0021246739416852334,0.005820158305123236
30,100,2,0.004388383919398161,0.030247425451037764,11,0.0022061905214723976,0.004321390251717574
50,100,2,0.0024182248788217355,0.030223597678772335,16,0.0021349627684387963,0.0022939657112718975
75,100,2,0.003250676930199563,0.030186034042637668,21,0.0022714502106912175,0.0024501524927228865
100,100,2,0.003175308512719398,0.030171411499194445,25,0.0022627222375372585,0.0023090213703962537
10,10,3,0.01759101217273548,0.03105324000156582,6,0.006638382398566147,0.01654084905008592
20,10,3,,,,,
30,10,3,,,,,
50,10,3,,,,,
75,10,3,,,,,
100,10,3,,,,,
10,20,3,0.017712246473348917,0.031005447464783308,4,0.01022287068351942,0.01665488389010239
20,20,3,0.004710756218360535,0.0303304941463125,5,0.00385580066026507,0.004647830806861005
30,20,3,,,,,
50,20,3,,,,,
75,20,3,,,,,
100,20,3,,,,,
10,30,3,0.018440436706023636,0.0311702992189106,4,0.009480504698409479,0.017028969920928404
20,30,3,0.0060441334156820644,0.030415535853921555,7,0.002866003359917457,0.00575400360336165
30,30,3,0.0027474065016677603,0.030220481649344825,9,0.0024339070550903038,0.002746558213582363
50,30,3,,,,,
75,30,3,,,,,
100,30,3,,,,,
10,50,3,0.01842090602508473,0.031114412655666897,3,0.009773945175137393,0.017032545149800925
20,50,3,0.005264739180562753,0.030373678563006302,4,0.002781357068553636,0.005091825282635531
30,50,3,0.002689919062937099,0.030222109206089726,5,0.0026536752419162937,0.0026647332307329985
50,50,3,0.0022587488645791,0.030118705883547363,7,0.002132705534002428,0.002239579689019696
75,50,3,,,,,
100,50,3,,,,,
10,75,3,0.018529701523166676,0.03112852277220743,2,0.009773945175137392,0.017136543166332965
20,75,3,0.005426067407743648,0.030379654631198478,4,0.0022056142062971333,0.005250423646439933
30,75,3,0.002733703007500712,0.0302161720925344,5,0.0027025819880376126,0.0027075230908634924
50,75,3,0.00272528560419123,0.030128263750553667,8,0.0026744417987308823,0.0026822946382022493
75,75,3,0.002696296950876456,0.030103282013874844,11,0.0020893666328241534,0.0025243643221845016
100,75,3,,,,,
10,100,3,0.018434097239095813,0.031194158667165666,4,0.009710742610919072,0.017050401078488188
20,100,3,0.006340879700290197,0.030393600658001615,6,0.0023433055069156158,0.005924418795381658
30,100,3,0.003270364496936394,0.03022532910031881,7,0.0030358362381219203,0.0032660839397681864
50,100,3,0.0024169249679264733,0.03016969837832291,9,0.0022794257723663847,0.002310424491847656
75,100,3,0.0023515900375597407,0.03016173147204787,12,0.0023451865356125907,0.002344453664820219
100,100,3,0.002439279593223935,0.03014415310412335,15,0.0023266019720864888,0.0023298193396941494
10,10,4,0.01705034849458295,0.030962428738702384,4,0.007875346869696119,0.016060721463743242
20,10,4,,,,,
30,10,4,,,,,
50,10,4,,,,,
75,10,4,,,,,
100,10,4,,,,,
10,20,4,0.01732635543725986,0.030985180381120588,2,0.008618241143716688,0.01626165610360034
20,20,4,0.0041804181870980775,0.030309339377192362,4,0.0025125980896432577,0.004135878465627066
30,20,4,,,,,
50,20,4,,,,,
75,20,4,,,,,
100,20,4,,,,,
10,30,4,0.018466755099026285,0.031176805176888898,3,0.009726543251973653,0.017077218430759898
20,30,4,0.0059731586009754084,0.0304108236769262,5,0.0027870001546445576,0.005686967079587934
30,30,4,0.0026086746319828407,0.030216961857774546,6,0.002467013160157043,0.0026080067319016347
50,30,4,,,,,
75,30,4,,,,,
100,30,4,,,,,
10,50,4,0.01720148714929053,0.030953623923525065,2,0.009010999935644819,0.016151593426337034
20,50,4,0.004061841339791843,0.030302337147813167,4,0.002895199326607729,0.004042659246865223
30,50,4,0.004800313195279844,0.030258152384049553,5,0.0030531657152663497,0.004588115415607453
50,50,4,0.00251462639888504,0.030129189440795144,7,0.0022573048748899733,0.0023531665989229454
75,50,4,,,,,
100,50,4,,,,,
10,75,4,0.01762418231282138,0.031087636412274907,2,0.009613681530155224,0.016566426185745674
20,75,4,0.004860149918787454,0.030358631133868257,4,0.0025103408552068895,0.004762195345222672
30,75,4,0.003163482045060348,0.03024466981069984,5,0.003092331134050584,0.0031464328640966807
50,75,4,0.00306564133793489,0.030151519988925308,8,0.0030193472206079984,0.003024146187972834
75,75,4,0.0024892621276723873,0.030127595683868025,11,0.0023451865356125907,0.0023653641723467857
100,75,4,,,,,
10,100,4,0.01718216458216473,0.031002962906027814,5,0.009564022372555115,0.0162171384884133
20,100,4,0.004461075673063888,0.03030935618638498,7,0.0024302090327158053,0.004415598342768406
30,100,4,0.0032427493947891147,0.030182696718855373,9,0.002331579093974929,0.003239544024552818
50,100,4,0.0025204471821549924,0.03014178909929639,13,0.0022667852595227205,0.002355053053397587
75,100,4,0.0025255731854636676,0.03012966751557802,18,0.0024378836297994596,0.0024690876799893283
100,100,4,0.0025509198470459447,0.030120520403872232,20,0.0023573003604211015,0.002407747167103294
10,10,5,0.016763231476028095,0.03095553536885628,5,0.006751508264839889,0.015876023495501997
20,10,5,,,,,
30,10,5,,,,,
50,10,5,,,,,
75,10,5,,,,,
100,10,5,,,,,
10,20,5,0.01859568961073186,0.0311513640636529,3,0.009992896915465144,0.017244116959495074
20,20,5,0.006148678589346912,0.030330294036876655,5,0.0035181520069695873,0.005887902178856071
30,20,5,,,,,
50,20,5,,,,,
75,20,5,,,,,
100,20,5,,,,,
10,30,5,0.018298342997816314,0.03118487999284425,2,0.009024279197807716,0.01709990956896644
20,30,5,0.006372224842321468,0.030411845035486773,4,0.003168472774390844,0.005948640690778227
30,30,5,0.0027045910867734358,0.030214849769382306,6,0.00237822860565988,0.002692382401960161
50,30,5,,,,,
75,30,5,,,,,
100,30,5,,,,,
10,50,5,0.01719586807633196,0.031073113269858788,3,0.008880080338335443,0.016141925481366677
20,50,5,0.005183398697079322,0.03026184380281265,5,0.0028941747662961847,0.005016762748618948
30,50,5,0.0037649789917105934,0.030179564339152892,6,0.002929810254632048,0.0036204268724840966
50,50,5,0.0024295334632603925,0.0301202500240069,10,0.00229342062587187,0.0023340652148710075
75,50,5,,,,,
100,50,5,,,,,
10,75,5,0.017143279316591136,0.031018862801362575,3,0.009193835924990672,0.016077318840654678
20,75,5,0.0043745403486259654,0.030257987293764978,5,0.002428055855186077,0.004329619683378142
30,75,5,0.0033978021900612633,0.030212020488771994,7,0.0028362390824293927,0.003363660208128248
50,75,5,0.00277885409973006,0.030130175452024975,8,0.0027588623666510667,0.0027731971822247516
75,75,5,0.0032173178868059368,0.03008662590765014,11,0.00211045336473611,0.002504959105038197
100,75,5,,,,,
10,100,5,0.0183876398324694,0.031230312839159245,4,0.009591109185791539,0.017157161623251548
20,100,5,0.006247436598126447,0.03044067280081508,7,0.0020938811016968898,0.005830039866775248
30,100,5,0.0033112108349817653,0.030321738091134375,8,0.0028289230814548022,0.0032636183449729346
50,100,5,0.003085405746694796,0.03022786727773061,12,0.002181461797827989,0.002954870200164009
75,100,5,0.002480819110355066,0.03023677812422768,16,0.0022238978052317197,0.0024403102972546083
100,100,5,0.0030201148404038806,0.03020701349721512,19,0.0021909421824607383,0.002546808617110072
10,10,6,0.01721107639345655,0.031063536832696827,5,0.00698626064622222,0.016132491090204242
20,10,6,,,,,
30,10,6,,,,,
50,10,6,,,,,
75,10,6,,,,,
100,10,6,,,,,
10,20,6,0.017215286695986657,0.030991958487931643,3,0.008938768433681027,0.016163406706445317
20,20,6,0.004193577383599237,0.030306840410557496,5,0.002844731726886804,0.00415595923337494
30,20,6,,,,,
50,20,6,,,,,
75,20,6,,,,,
100,20,6,,,,,
10,30,6,0.018302505274081983,0.031148783452368194,2,0.009615938764591592,0.017097686576768134
20,30,6,0.005765749172907394,0.03039384158976238,4,0.0028423023983355864,0.005489227280995054
30,30,6,0.002512157848884515,0.030201601991103992,5,0.002512157848884414,0.002511961586552496
50,30,6,,,,,
75,30,6,,,,,
100,30,6,,,,,
10,50,6,0.017483305269984255,0.031116157609947497,2,0.009514363214955008,0.016428144943919504
20,50,6,0.0053363943673514335,0.03037958179136383,4,0.0029042282643532034,0.005162878204592108
30,50,6,0.003313259955604227,0.030244411536121306,5,0.0029268006087168896,0.0032855752567846753
50,50,6,0.0025587945535654622,0.03015760472454553,7,0.002335856633275598,0.002398462014879525
75,50,6,,,,,
100,50,6,,,,,
10,75,6,0.01842090602508473,0.031227245561726565,2,0.00964754004670075,0.017032545149800925
20,75,6,0.006245355459993647,0.03042968439147378,4,0.002356848913533827,0.0058223006837516585
30,75,6,0.003141309919568389,0.030295200911815083,5,0.002986993527020051,0.0031240358526985713
50,75,6,0.0030186908616584196,0.030228372642104286,8,0.002972396744331532,0.002976376876861996
75,75,6,0.0023911700830950436,0.03017819444865385,11,0.002305459209532504,0.002335653345543857
100,75,6,,,,,
10,100,6,0.018419625324695297,0.031215607196937622,3,0.009712999845355442,0.01703203485474822
20,100,6,0.006084715609272125,0.03043682989920905,5,0.0021412830248606295,0.005786692282690351
30,100,6,0.003382425781011265,0.030286746154744203,7,0.003072704400582607,0.003377604348345053
