#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.009126118891899614,0.0312810445833355,0.017254126397963802,0.049677321323960084
20,20,0,0.0029741585078047646,0.030393572642680597,0.005123463731070569,0.07240809900350798
30,30,0,0.0025678362983148385,0.030186280545445126,0.0026925899841999364,0.04903372144112472
50,50,0,0.0021697241787588723,0.03012301569649787,0.0028391990045230275,0.048202892501464485
75,75,0,0.0021567827013236947,0.030125241585792203,0.002793259469743064,0.04762365262038345
100,100,0,0.0023981563037193724,0.030181697092179535,0.002455340261864928,0.07258362624428003
10,10,1,0.007322324432785821,0.031283532343841965,0.01778406395755281,0.06035097482822869
20,20,1,0.0023997363678248296,0.030197511020500663,0.004607093428371639,0.0441255274933954
30,30,1,0.0022578427690535564,0.030219422937022896,0.002362504649500414,0.05801486526069119
50,50,1,0.002119162127384217,0.03012568006558804,0.0030038679628557005,0.048202892501464485
75,75,1,0.002212461150754119,0.03017356702200676,0.002566689763200178,0.06248495899238421
100,100,1,0.002184039207361726,0.030150572774912912,0.002603083233834072,0.04775831851919574
10,10,2,0.007421642747986038,0.03125910618566458,0.016853242027810567,0.055137665198238046
20,20,2,0.002187876505903553,0.030536664496753754,0.006319482453451646,0.0720131627120569
30,30,2,0.0021593409003515785,0.030242991025939366,0.003182051022163868,0.07387082600941704
50,50,2,0.002292969178984596,0.03017122702230773,0.002370300485774023,0.06101638107791442
75,75,2,0.0022976341301530934,0.03015821210737771,0.002343970439981003,0.07212725541855533
100,100,2,0.0023602347651883802,0.03018755911400203,0.002399114014419857,0.071960629659334
10,10,3,0.0047942218640530335,0.030925070708342745,0.01560376374705185,0.059945555233825595
20,20,3,0.005454462936690835,0.030491813568678205,0.006321122176869752,0.07091611745737314
30,30,3,0.0023263122136234025,0.030244646331192702,0.003104642605219453,0.048682666959578125
50,50,3,0.0020803376950786776,0.030123170148964835,0.0022433645139814666,0.06096372290568243
75,75,3,0.0020893666328241534,0.030103282013874844,0.0025243643221845016,0.0581552870533098
100,100,3,0.0023929646645157246,0.03015451822860262,0.002480969754379231,0.07295223344990091
10,10,4,0.01194965502734137,0.031050572943004836,0.017159332316903367,0.06443594718847327
20,20,4,0.00269769131342548,0.030369249740972108,0.0045188347840102285,0.07253974443408685
30,30,4,0.002713804125200005,0.030187212254978436,0.002713592109252752,0.048419376098418204
50,50,4,0.0022324752960899185,0.030128688430802807,0.0023267643889449204,0.07158312097216007
75,75,4,0.0023451865356125907,0.030127595683868025,0.0023653641723467857,0.06248495899238421
100,100,4,0.0023254733548683047,0.030118952346332925,0.0023437448335329094,0.06561519478617148
10,10,5,0.008902652682699129,0.03098657634454507,0.016188127944054224,0.059945555233825595
20,20,5,0.0028940266853136804,0.03028158179712698,0.004796161380172815,0.047546685403283384
30,30,5,0.0024549745764964105,0.03024669865356676,0.002686855538731744,0.05567450205038069
50,50,5,0.002250081724693593,0.030126393671845022,0.0022953224924062415,0.04827310339777393
75,75,5,0.00211045336473611,0.03008662590765014,0.002504959105038197,0.05510111306385476
100,100,5,0.002149634792275193,0.030200248069337923,0.002539149337288931,0.06973412288689465
10,10,6,0.00428176561197789,0.03091906422351632,0.015869835312474448,0.055820774751025086
20,20,6,0.002793771857953661,0.030219546271138525,0.005259863576582569,0.03824012682502975
30,30,6,0.002364685199041668,0.03024105396660035,0.0025927916457156096,0.06412906414762688
50,50,6,0.002335856633275598,0.03015760472454553,0.002398462014879525,0.06101638107791442
75,75,6,0.002305459209532504,0.03017819444865385,0.002335653345543857,0.0678209871118758
100,100,6,0.0022884547101118596,0.030192185868281412,0.002382645685131803,0.06783561438194029
10,10,7,0.002932459703562666,0.031095986578813982,0.015378322069654584,0.05222605478486306
20,20,7,0.0027802284513354513,0.030405611226341226,0.0055506534445421175,0.07183763547128388
30,30,7,0.0021758299178654982,0.03026873203651656,0.0025666766051758634,0.06450937316930158
50,50,7,0.002314187182686461,0.030113121133359178,0.0023764835248277112,0.05452187316930282
75,75,7,0.00213483149664889,0.030111098213731553,0.002722799278528002,0.058085076157000495
100,100,7,0.0020528938866087123,0.030136079024570724,0.0027643697784309963,0.05810262888107791
10,10,8,0.009875520724773977,0.031162454929025345,0.016887923797023977,0.06457247544505713
20,20,8,0.002284937586667401,0.0302513764784423,0.005069671382219461,0.04391197739567326
30,30,8,0.002759701225406166,0.030187656231113434,0.003800672124471911,0.03622559918082056
50,50,8,0.0021494090688315556,0.030150412183088456,0.0025315898922726823,0.054609636789689456
75,75,8,0.002201927390051066,0.030165007503644026,0.00227387862426742,0.0634913151728173
100,100,8,0.002263850854755443,0.03019588337837573,0.002345174054766307,0.07235544083127662
10,10,9,0.011207289042231429,0.030991439804273928,0.017038068059706365,0.06261822995840065
20,20,9,0.0018682617149666737,0.0301604699634874,0.004642232695909621,0.043912403322636226
30,30,9,0.0024677655716358322,0.030216099519512332,0.002701826864383792,0.04836086701816044
50,50,9,0.0022166746550353385,0.03018201961255948,0.002277253732684035,0.06101638107791442
75,75,9,0.0020842502347683855,0.030103842619125312,0.0027776993180415816,0.04334078793204453
100,100,9,0.002234055360195378,0.03018095025174744,0.002293830647663063,0.06643139645576311
