#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,0,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,0,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,0,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,0,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,0,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,0,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.018211439472017817,0.031219298815810148,2,0.007778549933387571,0.016847658477875616
20,75,0,0.006545487596256383,0.030428788701638915,4,0.0027541221743347002,0.006121303486924316
30,75,0,0.005237688387024815,0.03037581993407931,5,0.0030291285698322698,0.004833344201366275
50,75,0,0.003885303995048912,0.030291587244906253,8,0.002804458502265718,0.003524355175518064
75,75,0,0.0025533579804123165,0.030232348266960665,11,0.0021811608332364817,0.002306435317469573
100,75,0,,,,,
10,100,0,0.017985467892680185,0.03119378086055078,2,0.004916376668072235,0.016593344627063935
20,100,0,0.0060497284755087226,0.030405451939230284,4,0.003678307592856379,0.005802640071851745
30,100,0,0.0052793031453043475,0.03025496984358182,5,0.003862248186288115,0.005122130269215284
50,100,0,0.0028399611179362335,0.03018535301953308,8,0.0018410804500765383,0.0027260029972619817
75,100,0,0.003050007187930979,0.03016213600261087,11,0.0017662907490848595,0.0026015142108669047
100,100,0,0.0021867654983157036,0.030150778711535528,14,0.001865234459421167,0.001993216720621672
10,10,1,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,1,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,1,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,1,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,1,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,1,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,1,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,75,1,0.006245355459993651,0.03043276207459712,4,0.0023376624208247005,0.0058223006837516906
30,75,1,0.0041558167330545195,0.030334850328621474,5,0.0030426719764504815,0.00404824838637674
50,75,1,0.002421426629795321,0.030247444448093536,8,0.002375132512468418,0.002383909758359953
75,75,1,0.002514315829040595,0.03021986604868513,11,0.002476042097902498,0.002475848657113615
100,75,1,,,,,
10,100,1,0.017835561912097064,0.031137250745361382,2,0.008099077223351908,0.016472392064685093
