#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,0,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,0,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,0,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,0,0.0021811608332364817,0.030232348266960665,0.002306435317469573,0.06969327768006561
100,100,0,0.001865234459421167,0.030150778711535528,0.001993216720621672,0.06924860867014575
10,10,1,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,1,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,1,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,1,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,1,0.002476042097902498,0.03021986604868513,0.002475848657113615,0.06734121265377124
100,100,1,0.0034657649575399797,0.03018319919364878,0.005071229350021304,0.048027365260691235
10,10,2,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,2,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,2,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,2,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,2,0.002476042097902498,0.03021986604868513,0.002475848657113615,0.06734121265377124
100,100,2,0.002554131203272446,0.03018427837583194,0.0025982644004534598,0.07266261350262737
10,10,3,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,3,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,3,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,3,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,3,0.002870004748196691,0.030206149918274396,0.0028697805290757382,0.06959966315165322
100,100,3,0.002246707079167454,0.030204278465480964,0.0028406935748146217,0.07142514645546477
10,10,4,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,4,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,4,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,4,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,4,0.002753294521708033,0.03021165471006827,0.002794206404549363,0.07401124780203497
100,100,4,0.002554131203272446,0.030199681007222996,0.0025982644004534598,0.07341738063742642
10,10,5,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,5,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,5,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,5,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,5,0.002857364235353027,0.030214225502649985,0.002857141003772141,0.06782098711187583
100,100,5,0.002554131203272446,0.03018427837583194,0.0025982644004534598,0.07266261350262737
10,10,6,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,6,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,6,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,6,0.0021354142153260764,0.030155254255120802,0.002281191231472511,0.05025656121851206
75,75,6,0.002267556881507358,0.030215099452595727,0.0028941769553693644,0.06677952548329684
100,100,6,0.0028709500651716412,0.030204831343839084,0.002918954605661949,0.07361046060227408
10,10,7,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,7,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,7,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,7,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,7,0.002303051492800384,0.030220849968104313,0.002333275001471779,0.0706762302283173
100,100,7,0.002554131203272446,0.030199681007222996,0.0025982644004534598,0.07341738063742642
10,10,8,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,8,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,8,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,8,0.0030150744839337698,0.03024972819302797,0.003515359289056069,0.07240809900350825
75,75,8,0.002476042097902498,0.03021986604868513,0.002475848657113615,0.06734121265377124
100,100,8,0.0024261460107303486,0.030198320327094238,0.0024586648133376686,0.07289957527766938
10,10,9,0.009647540046700738,0.03122724556172656,0.017032545149800928,0.05941520012336788
20,20,9,0.0021706270725334272,0.030422184289818174,0.0058298086039038815,0.07201316271205725
30,30,9,0.002235334459709326,0.03030609540312782,0.003124647095490853,0.07395858962980242
50,50,9,0.002288906156999139,0.030217467478288292,0.002370636822070751,0.0717762009370099
75,75,9,0.002476042097902498,0.03021986604868513,0.002475848657113615,0.06734121265377124
100,100,9,0.0028779811103096034,0.030174617124286682,0.0033085508077492945,0.04558753661394257
