#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0020158896440356597,0.029764219694334352,0.002415309650327566,0.04243048867038993
/,1,0.002593381704510598,0.02978677556603357,0.0028349462407189887,0.04496010116877995
/,2,0.0025160691723051815,0.02979943728672602,0.0026862593403815505,0.034656333517382704
/,3,0.0019355303334645405,0.029767101919619326,0.0024867905136267627,0.025735422610503423
/,4,0.0016018871759848948,0.029764195412640068,0.0019266546519414657,0.031972643263948275
/,5,0.0016350499503457148,0.029745846934738616,0.0020573012832151016,0.032216528608541885
/,6,0.0017843682545268674,0.02973808297411076,0.0022458099455249076,0.03308685256792547
/,7,0.002086220346424245,0.029741400473304903,0.00235582980612971,0.032441256825935495
/,8,0.0022218637445472244,0.029764172046052643,0.0023542976206234246,0.03246182530531432
/,9,0.0023602869462858393,0.029759665286120212,0.0029141440786306003,0.039485319839159524
