#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
/,0,,0.0025099122442018827,,0.029808799203494808,0.0027088865209069384
/,1,,0.0025457508131553515,,0.02982285861721697,0.002903651946294044
/,2,,0.0020020969602198746,,0.029819201624256886,0.002730467785954046
/,3,,0.0013376577847023442,,0.02977387770464668,0.002141404204104623
/,4,,0.0015112814094068675,,0.02980020807566486,0.0026176270811686334
/,5,,0.0016578876213165176,,0.029750332385410094,0.0021209552574720835
/,6,,0.002226665497383519,,0.029801733747799118,0.0025175879044417285
/,7,,0.00219818322085877,,0.029760714748195867,0.0022793221665329743
/,8,,0.001700153608429783,,0.02974168592547716,0.002782159329530784
/,9,,0.001327105313945797,,0.029856705265503884,0.0025655330386399706
