#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0025099122442018757,0.029808799203494808,0.00270888652090694,0.03939668801511218
/,1,0.002545750813155351,0.02982285861721697,0.002903651946294043,0.041047201221073346
/,2,0.0020020969602198746,0.029819201624256886,0.002730467785954046,0.032317703038607856
/,3,0.0013376577847023442,0.02977387770464668,0.002141404204104623,0.0238794006947925
/,4,0.0015112814094068675,0.02980020807566486,0.0026176270811686334,0.02658387484228828
/,5,0.0016578876213165176,0.029750332385410094,0.002120955257472083,0.023147257290436648
/,6,0.0022266654973835186,0.029801733747799118,0.0025175879044417285,0.02893314695090275
/,7,0.00219818322085877,0.029760714748195867,0.0022793221665329743,0.030059522798115978
/,8,0.001700153608429783,0.02974168592547716,0.002782159329530784,0.026997059857796043
/,9,0.001327105313945797,0.029856705265503884,0.0025655330386399706,0.04394996634534451
