#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.002200997527055466,0.02981704020684369,0.003103564287873219,0.039183638897015156
/,1,0.0025514471122867546,0.029823314255543337,0.0029142025557324864,0.040968142565697946
/,2,0.002008431470152019,0.029820038538367587,0.0026881408871168365,0.03240759326513348
/,3,0.0013443272808411916,0.02977417066133743,0.0021918540520547867,0.023773533550015376
/,4,0.001527102585255245,0.029799331152368345,0.002569668810200331,0.026703995197000924
/,5,0.001665989416080467,0.029748880642680362,0.0021005564078213925,0.023362152267103507
/,6,0.0019505701472964751,0.029809775443108002,0.002582679029727803,0.03170040425066335
/,7,0.0021116171472047103,0.02975919630327375,0.0021987410303862453,0.03024788907402856
/,8,0.001607302991006236,0.029740870994909383,0.0028229569719324696,0.026410700247709435
/,9,0.001249002153860071,0.02985945834908847,0.002567411797606581,0.043751802731279786
