#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,0,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,0,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,0,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,0,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,0,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,1,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,1,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,1,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,1,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,1,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,1,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,2,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,2,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,2,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,2,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,2,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,2,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,3,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,3,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,3,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,3,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,3,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,3,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,4,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,4,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,4,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,4,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,4,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,4,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,5,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,5,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,5,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,5,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,5,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,5,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,6,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,6,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,6,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,6,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,6,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,6,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,7,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,7,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,7,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,7,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,7,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,7,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,8,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,8,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,8,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,8,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,8,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,8,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
10,9,0.01842090602508473,0.009647540046700738,2,0.03122724556172656,0.017032545149800928
20,9,0.006257842288790585,0.0021706270725334272,4,0.030422184289818174,0.0058298086039038815
30,9,0.003181315797983755,0.002235334459709326,5,0.03030609540312782,0.003124647095490853
50,9,0.0025118440772890094,0.002288906156999139,7,0.030217467478288292,0.002370636822070751
75,9,0.0023887623663629226,0.002303051492800384,11,0.03019851301647221,0.002333275001471779
100,9,0.002522001632252648,0.0022904862211045977,14,0.030195233070735482,0.0023508155662956827
