#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.026881819863140456,0.15861244682818568,10,0.009459959312002929,0.025250696424288187
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.035768448307749195,0.16662058442759384,10,0.013778435361568305,0.02724921759456481
20,20,0,0.033955982985019464,0.1660466756056963,16,0.011309413722951705,0.02671806344893242
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.027936008877381097,0.16049149250970962,10,0.01279822452376546,0.02675383664384718
20,30,0,0.027630848899574567,0.16105314869613466,16,0.021194747549472884,0.025711618711862894
30,30,0,0.032957277603107,0.1596489632780552,23,0.014653843782750737,0.0244667672041101
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.03280932125023111,0.16294386905862768,10,0.01847604956537819,0.030950639703210853
20,50,0,0.0337248011836509,0.16230985296837433,19,0.019206584057702956,0.030942183223495644
30,50,0,0.03427039023488077,0.16218970264882968,28,0.016799210899451314,0.03175964148704727
50,50,0,0.03341964120584432,0.1617988348437211,38,0.016186425004623622,0.030875615732965423
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.04022563343813571,0.170008784908452,10,0.020029591270575152,0.0386901469842338
20,75,0,0.03956907712224903,0.1684805576105049,20,0.017283151470316234,0.03700801974138474
30,75,0,0.04085444793785834,0.16886623307235477,30,0.019511744035509506,0.03705054861665401
50,75,0,0.040887738117255386,0.16861474015165528,41,0.017832439430368028,0.03692635355797886
75,75,0,0.040525245052709435,0.16816645911678277,54,0.017944639664632233,0.03558242016725586
100,75,0,,,,,
10,100,0,0.031653412243388246,0.17038237469946366,10,0.015424449787312717,0.030681644884670168
20,100,0,0.03882929535786947,0.1717957046421306,20,0.018013685962640996,0.0358637882294043
30,100,0,0.036982923370938864,0.17074651172348598,29,0.017212255717896537,0.03234441363333056
50,100,0,0.03835028666543366,0.17082284076197518,46,0.017436656186425002,0.033642176926129065
75,100,0,0.03935762283459716,0.17095336497955327,55,0.017296097651192867,0.033927072264144674
100,100,0,0.04062049195487328,0.17097880062881451,66,0.017776955798039576,0.03360815560462369
10,10,1,0.02544849269465501,0.15793184760495654,10,0.013380802663214375,0.02335644117285224
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.03754392454226,0.1632397817643795,10,0.022174958387275723,0.03430377907426613
20,20,1,0.03508415017569816,0.1623172507860181,19,0.018013685962641,0.031554541587133104
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.03140373589791004,0.16032134270390233,10,0.012187904568152363,0.026366816877518358
20,30,1,0.030377288699833596,0.1606000323654522,18,0.01998335491030144,0.02414314156676731
30,30,1,0.03038037112385177,0.1596452643692333,23,0.01601627519881633,0.02432917911738264
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.03191233586092106,0.16104632883299425,10,0.01914185315331974,0.030959887662925217
20,50,1,0.03378028481597928,0.16142858794155723,20,0.02009432217495836,0.030011085446844717
30,50,1,0.035654398619074046,0.16094152641637383,29,0.015387460699093747,0.032986892263669645
50,50,1,0.03591825411503609,0.1605960976511929,40,0.015909006842981313,0.03239779517747386
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.033197706676530554,0.16544433142223042,10,0.01057887923062695,0.03182071346876506
20,75,1,0.03567597558720185,0.16522736730164603,20,0.010893286480488243,0.032116421668989335
30,75,1,0.03580543739596826,0.16526678379877938,29,0.011602244004685278,0.03186007344332756
50,75,1,0.03993711855002777,0.16595611244682817,39,0.01101904938043277,0.03402055692211056
75,75,1,0.03926515011404975,0.1657533896389454,52,0.011052339559829835,0.03294140710821426
100,75,1,,,,,
10,100,1,0.03471425929350837,0.16345431847604958,10,0.019844645829480274,0.03327873351544656
20,100,1,0.03964305529868692,0.16338438598113555,20,0.01879045681523948,0.03392654638005098
30,100,1,0.04180999938351523,0.16377324661447096,29,0.015966956414524364,0.035267129530901054
50,100,1,0.04337710375439245,0.1634639356389865,45,0.01724801183650822,0.034125544552601125
75,100,1,0.04413538006288147,0.16348899985615356,57,0.016243141606559375,0.03417952342017657
100,100,1,0.04429813205104492,0.16347992879600518,70,0.017105603846865165,0.034346265827858824
10,10,2,0.03212502311818014,0.16245931200295913,7,0.01267800998705379,0.029239377708116947
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.0345663029406326,0.1584164046606251,10,0.014536711670057306,0.034254665333996404
20,20,2,0.03370168300351404,0.15770748566672832,15,0.008562973922692785,0.033125389568784275
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.026289994451636798,0.159792398742371,10,0.010865544664324014,0.025434777000568204
20,30,2,0.02548085814684673,0.1596253698908822,18,0.017518956907712203,0.024228112747691766
30,30,2,0.028071635534184097,0.15863998314941535,24,0.0119197336785648,0.026756521781317762
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.032245237654891776,0.16153458479748473,10,0.009829850194192706,0.029445336522865195
20,50,2,0.030548363232846324,0.1614406093952284,19,0.011235435546513755,0.027279522164668023
30,50,2,0.031782874052154624,0.16113674660419622,26,0.009407558103692724,0.028003564416473975
50,50,2,0.031531348252265584,0.16064196412058443,38,0.011152210098021075,0.026637758901577116
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.03185685222859257,0.1645972813020159,10,0.009866839282411676,0.03019717877832354
20,75,2,0.034321250231181905,0.16334184852968373,20,0.007568892176807832,0.031796902540789616
30,75,2,0.03195240737315818,0.16245931200295913,29,0.009675728993280291,0.028610484032764515
50,75,2,0.03315886813390047,0.16241995561309414,35,0.00900129461808765,0.02947896345168039
75,75,2,0.035927501387090804,0.16213227297947108,52,0.008782442512792024,0.02882682368295538
100,75,2,,,,,
10,100,2,0.0373034954688369,0.17001248381727388,10,0.01126317736267798,0.03578738833270169
20,100,2,0.03576844830774924,0.16894477066765304,20,0.01278897725171072,0.032625969150799995
30,100,2,0.04049688675174167,0.16943956393974888,30,0.011777942173725396,0.036569915486975545
