#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.011623820972813052,0.15814638431662656,0.026245175734057984,0.1747700417418524
20,20,0,0.009917699278712758,0.16456156371370445,0.028702524400882733,0.11419419586464649
30,30,0,0.016256704272239672,0.16712075909828822,0.03494180960741378,0.15257567554199805
50,50,0,0.018080266321435164,0.16316506380617718,0.028640054026737832,0.13706914750050816
75,75,0,0.016738795388693637,0.16551902677598995,0.02816627457811347,0.1315372541140859
100,100,0,0.016284446088403914,0.16936729702237838,0.03218704541617966,0.1351417412083573
10,10,1,0.011244682818568512,0.15573839467357128,0.026778930587915563,0.10814450738454028
20,20,1,0.016164231551692224,0.1640474153874607,0.03102975485942395,0.14998033135180625
30,30,1,0.016312187904568134,0.16301743624519655,0.025742044551756195,0.15818372455758312
50,50,1,0.014270390234880697,0.16201603476974294,0.033185089958733545,0.15806392312345235
75,75,1,0.017841070217619107,0.16513098658118075,0.03438675056860191,0.11940601671780261
100,100,1,0.015243203255039757,0.1609822776031071,0.03122360353863235,0.14010066285890052
10,10,2,0.013269835398557455,0.16151239134455334,0.02937607640493899,0.18841791042356987
20,20,2,0.0074440540040687855,0.15745873404845573,0.02789207645622524,0.15247901737335556
30,30,2,0.02000801430244743,0.16013557528306926,0.022078281299652596,0.17624552179416625
50,50,2,0.008457555021268725,0.16026112446828186,0.026765215147665392,0.10444879227230702
75,75,2,0.009649220146723356,0.16303605614121613,0.029584639651143118,0.12153913520212373
100,100,2,0.009468281856852221,0.16762843998520438,0.03490594251658355,0.14655677950042134
10,10,3,0.005992232291474,0.15838681339004995,0.027954091540541234,0.11302012405235341
20,20,3,0.014962086184575542,0.16281475402256335,0.02957420474391059,0.13433200887701838
30,30,3,0.01004253745145181,0.15443144688983415,0.022845228523663604,0.10778161700170258
50,50,3,0.009380432772332154,0.16014941742186053,0.02651415370445347,0.10093493506148542
75,75,3,0.011096726465692607,0.16252912479707377,0.03134883061872007,0.13751807034177788
100,100,3,0.011666358424264838,0.16468961993711856,0.03205514878064293,0.1100088114123259
10,10,4,0.012123173663769162,0.15654845570556683,0.028302686401376124,0.14055793204812356
20,20,4,0.012395968189384113,0.1607877519881635,0.026080419218183833,0.14909691962118127
30,30,4,0.016321435176622875,0.16666045044489652,0.032974607377463126,0.1294596200587346
50,50,4,0.019302755687072303,0.16322069539485853,0.02867208827133213,0.16138562789864774
75,75,4,0.017181431477714046,0.16803869058627705,0.026400608388708002,0.13860339862387328
100,100,4,0.01673293878305899,0.16611155446643242,0.028809135030611784,0.1288760922690851
10,10,5,0.014250046236360243,0.15982568892176807,0.028838097675592603,0.14883404360333416
20,20,5,0.017149066025522443,0.16331688089513594,0.035099618141950555,0.15515416415190808
30,30,5,0.03632636705505207,0.18349171855413762,0.037305415396219316,0.2048415827857827
50,50,5,0.021581283521361187,0.16364784538561125,0.027850198433908534,0.12378266023501557
75,75,5,0.0259601750816842,0.1743133551157964,0.03520413516969988,0.17385818693708205
100,100,5,0.025107268355835016,0.17713826058812648,0.040984326363440134,0.1949440632968802
10,10,6,0.022147216571111496,0.1621633992972073,0.03679024983059537,0.11503464710012824
20,20,6,0.021892916589606033,0.16528192620676904,0.028496594584729626,0.1705264363476961
30,30,6,0.022063991122618806,0.16813754803444095,0.03285249535932273,0.20951372135149243
50,50,6,0.023419641205844263,0.16387747364527464,0.03017535695984226,0.1889396038091725
75,75,6,0.020616484803649558,0.1717629821424902,0.035167115805870314,0.1400710887054232
100,100,6,0.01976049565378213,0.1699054882559645,0.030751865703326806,0.1693249489701465
10,10,7,0.02100055483632325,0.1595223783983725,0.02321868169799005,0.16631212453669936
20,20,7,0.024704087294248167,0.1685277186979841,0.03032545273903633,0.2033267872099894
30,30,7,0.018349670180630027,0.16073192158313296,0.02885440531420202,0.11911509809929414
50,50,7,0.02284631033845014,0.16994398002589234,0.03940257281048331,0.1539965924889928
75,75,7,0.025198199864373307,0.17183840700326736,0.04032066374783899,0.19167739644900092
100,100,7,0.016877196227112992,0.17070681986314037,0.035629041122601034,0.16894277516746084
10,10,8,0.01237285000924724,0.1584422970223784,0.02641683720499641,0.1521161476863272
20,20,8,0.014943591640466035,0.16477240151655262,0.023108630943796574,0.21102747896628388
30,30,8,0.015735774613155767,0.1594853893101535,0.024876536268993797,0.14817700773575262
50,50,8,0.019498797854632866,0.16690229332346956,0.028313794828564172,0.17381642652865983
75,75,8,0.02032427100671965,0.16824010850132545,0.031568473972006496,0.13739954426307116
100,100,8,0.01987516182726095,0.17116459681893842,0.036993771422532226,0.1301013864163902
10,10,9,0.011633068244867734,0.16537775106343627,0.03596425604883779,0.15963653884011786
20,20,9,0.013061771777325665,0.16186875809136306,0.027905099793459353,0.152981020810987
30,30,9,0.02317674619320632,0.16280454349300288,0.028921230815142602,0.20206424908338505
50,50,9,0.019413722951729235,0.16391002404290733,0.025729491756904987,0.1762491696210275
75,75,9,0.016715368966154952,0.16730226249922941,0.027939955226134506,0.1488695767648561
100,100,9,0.02361938228222673,0.1814301044941742,0.04021068340938348,0.17367758639743947
