#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.05036064361013494,0.18550721287220268,10,0.031052339559829813,0.04704505880393148
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.048844090993156966,0.18760449417421857,10,0.034889957462548526,0.04588441421620363
20,20,0,0.047114851118919915,0.18744116423155172,20,0.03235620491954871,0.0433819263374347
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.04096541520251525,0.18345431847604957,10,0.0321435176622896,0.03934067126252694
20,30,0,0.047447752912890655,0.18470767061216942,20,0.03814499722581836,0.04316079306333265
30,30,0,0.04656309721965357,0.18342842611429627,30,0.03197706676530422,0.042492677969431174
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.0425836878120954,0.18619890882189752,10,0.03389125208063618,0.038487014190655956
20,50,0,0.04559367486591453,0.1869492093582393,20,0.0342842611429628,0.040219497661427905
30,50,0,0.044682818568522284,0.18647262807471796,30,0.030032057209789752,0.04067657327666054
50,50,0,0.046258553726650664,0.18622835213611985,48,0.030242278527834277,0.04152336542495184
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.05486406510079528,0.1937742740891437,10,0.04659700388385423,0.05139698340707561
20,75,0,0.054341594229702195,0.19368399759570923,20,0.04460421675605694,0.050502393993851265
30,75,0,0.05318106158683189,0.19307887923062697,30,0.04299673263054064,0.04975306327975458
50,75,0,0.05762345108193083,0.19390950619567227,50,0.043020159053079335,0.05079693510383092
75,75,0,0.057894087910733,0.1932050798347821,71,0.04291597312126253,0.05030926991578071
100,75,0,,,,,
10,100,0,0.05619567227667832,0.20208572221194748,10,0.04467357129646751,0.053534058776374994
20,100,0,0.055025892361753224,0.2013934483077492,20,0.045094322174958366,0.05227958398116386
30,100,0,0.05774304913383886,0.2016504839405709,30,0.04594969484002218,0.05327616815270763
50,100,0,0.05945071203994822,0.20144359164046607,50,0.04589421120769373,0.05291867039507942
75,100,0,0.0618124653227298,0.20144368411318658,74,0.04677270205289436,0.0527772723199836
100,100,0,0.06312095431847603,0.20140232568892177,97,0.046211392639171435,0.052766942756177895
10,10,1,0.0573330867394119,0.1962858331792121,10,0.03802478268910669,0.05326064293915152
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.038135749953763495,0.17410347697429257,10,0.02202700203439983,0.03644280996802341
