#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.03444733415996926,0.191407478460574,0.06080557750724901,0.16590705546726844
/,1,0.03440888456159027,0.18993411960235473,0.059968187258259475,0.1611819363558314
/,2,0.032257575991425654,0.18883471411914152,0.059560664449270426,0.16318774109159714
/,3,0.033726440482947394,0.18962739280574828,0.06027877647274483,0.16316671688626724
/,4,0.0367406471039372,0.1912204646447101,0.06169579047631879,0.17294400436505503
/,5,0.038073214045705725,0.1925316485389205,0.06284464420467764,0.17179032280504805
/,6,0.03807673426667231,0.19453762598867186,0.06404438120285234,0.17909334487059325
/,7,0.040288665090938265,0.19550682220176027,0.06367317442356994,0.17541393306769681
/,8,0.03883517288408242,0.1946121244936497,0.06340673750281495,0.17475777458378325
/,9,0.036052299665016614,0.19295791768156093,0.061853121557043055,0.16535547876373705
