#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
/,0,,0.009441131228255925,,0.14870373546314294,0.021375506178273364
/,1,,0.015188354496168725,,0.15049809757878826,0.027523934574576074
/,2,,0.011143854880991408,,0.1481033238230572,0.015475509406287394
/,3,,0.011058190451477996,,0.14879627980525817,0.020510415875863035
/,4,,0.012570214704957049,,0.14891343036555796,0.023599000955066216
/,5,,0.013053607150070668,,0.1486518154199179,0.018903240891043775
/,6,,0.01886708341864173,,0.1503609917058811,0.022429810676628536
/,7,,0.014493015406572793,,0.15137570700932046,0.02381958925007939
/,8,,0.015621645980823114,,0.1485126693120118,0.01790888584603799
/,9,,0.011802486349310293,,0.14845474972985556,0.021504801742813478
