#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.009441131228255928,0.14870373546314294,0.021375506178273336,0.07188845891209393
/,1,0.015188354496168715,0.15049809757878824,0.02752393457457604,0.09267430878879816
/,2,0.011143854880991408,0.1481033238230572,0.015475509406287394,0.11714028087423127
/,3,0.011058190451477991,0.14879627980525814,0.02051041587586302,0.1097604877050657
/,4,0.012570214704957056,0.14891343036555796,0.023599000955066188,0.08509765115449289
/,5,0.013053607150070673,0.1486518154199179,0.018903240891043765,0.0948000916461163
/,6,0.018867083418641715,0.1503609917058811,0.022429810676628515,0.10040224258823127
/,7,0.014493015406572784,0.15137570700932046,0.023819589250079355,0.11049502772663461
/,8,0.01562164598082311,0.14851266931201176,0.01790888584603798,0.08134446034526858
/,9,0.011802486349310297,0.14845474972985553,0.021504801742813457,0.08039386120430381
