#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.00984704050587464,0.1469969839903558,0.014399503035337822,0.08517915982013005
/,1,0.01289594426099683,0.14728625059501038,0.017635092015903964,0.07090556168762731
/,2,0.010946238115151892,0.14797761806917706,0.014980513029960486,0.11743517899588798
/,3,0.01006573471517384,0.14764016929436055,0.01609172853203122,0.11316760833234088
/,4,0.015479325400590986,0.1466840164483513,0.01656965173635437,0.08077615109267738
/,5,0.014281927163683289,0.14775499199395997,0.015170625522146777,0.0866482146583341
/,6,0.014536477140130559,0.14837980816308974,0.017135268094203192,0.09084854701197338
/,7,0.015558539099593807,0.14840102652674475,0.016003576626740623,0.08828231860873348
/,8,0.014102794704418279,0.14728699314725843,0.014907931092026941,0.06930942898417455
/,9,0.012516368061277325,0.1472751362998222,0.015371564887865093,0.09006578121289234
