#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,0,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,0,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,0,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,0,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,0,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,1,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,1,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,1,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,1,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,1,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,1,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,2,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,2,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,2,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,2,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,2,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,2,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,3,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,3,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,3,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,3,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,3,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,3,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,4,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,4,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,4,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,4,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,4,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,4,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,5,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,5,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,5,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,5,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,5,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,5,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,6,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,6,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,6,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,6,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,6,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,6,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,7,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,7,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,7,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,7,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,7,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,7,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,8,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,8,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,8,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,8,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,8,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,8,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
10,9,0.0841594229702237,0.061392639171444385,10,0.22258877381172554,0.07650676209996397
20,9,0.08764102089883477,0.060555761050490084,20,0.22501652949879783,0.07925599261262115
30,9,0.08949818136982937,0.06029529622094814,30,0.22537117522553068,0.08003266977074704
50,9,0.09121324209358228,0.0600758276308489,50,0.22573047900869242,0.08065224107144191
75,9,0.09225695086616104,0.060145490413661275,75,0.22595472535602,0.08079958152483108
100,9,0.09305529868688732,0.06008045126687627,100,0.22606576197521733,0.08095836157765639
