#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.00882383966244727,0.0018320587201125184,9,0.0067211673699015565,0.008794004608716655
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.008544303797468357,0.001959695850914206,9,0.006425808720112525,0.008482103609553267
20,20,0,0.004729254571026725,0.001363792194092827,17,0.0030907172995780587,0.004704956876370678
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.008510900140646989,0.0022677127285513363,9,0.006657876230661049,0.008494550250365546
20,30,0,0.005689170182841062,0.0017108386075949367,17,0.0036972573839662353,0.005635354429928609
30,30,0,0.004057665260196903,0.0016480455930614158,23,0.0029307313642756684,0.0038911678731203317
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.008577707454289749,0.0021805116033755275,9,0.008493319268635731,0.008572719131102562
20,50,0,0.005594233473980312,0.001586366033755274,16,0.0030801687763713083,0.005560184401596501
30,50,0,0.004636075949367105,0.0015137277308954523,23,0.00415787623066104,0.004507922150694282
50,50,0,0.004048171589310828,0.0014398786919831224,34,0.002027426160337552,0.003546983550924481
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.008384317862165978,0.0024864187763713086,8,0.006088255977496493,0.008370236530545985
20,75,0,0.0059528832630098465,0.001811049578059072,16,0.0029957805907172997,0.005834470831687688
30,75,0,0.0061269338959212384,0.0018641731129864043,24,0.004530590717299578,0.00569589515338133
50,75,0,0.003863924050632912,0.0017556452180028125,32,0.002782700421940927,0.0035916254889961363
75,75,0,0.0026740506329113968,0.0017041473277074543,42,0.0010506329113924003,0.002547122770612382
100,75,0,,,,,
10,100,0,0.00890295358649789,0.002410117791842476,8,0.007881504922644172,0.008810907129653654
20,100,0,0.0057208157524613204,0.0017918864275668074,16,0.0031170886075949267,0.0056372050046728924
30,100,0,0.005400843881856532,0.0017162593764650726,24,0.0043090717299578045,0.005062720232618011
50,100,0,0.00389381153305204,0.0016325509845288326,36,0.0024704641350210953,0.0036916001342551237
75,100,0,0.0033319268635724317,0.0016280573136427565,49,0.002308016877637127,0.003103232918653298
100,100,0,0.0031121659634317862,0.0016123224331926862,59,0.0017521097046413485,0.0028108669894896603
10,10,1,0.010388537271448684,0.002085223277074544,9,0.010181082981715902,0.010365724683897995
20,10,1,,,,,
30,10,1,,,,,
50,10,1,,,,,
75,10,1,,,,,
100,10,1,,,,,
10,20,1,0.008658579465541502,0.0020841684247538683,10,0.0071009142053445945,0.00864224019271957
20,20,1,0.004890998593530239,0.0014566191983122364,18,0.0026371308016877636,0.0048586525782124005
30,20,1,,,,,
50,20,1,,,,,
75,20,1,,,,,
100,20,1,,,,,
10,30,1,0.009041842475386792,0.002272635372714487,9,0.007480661040787633,0.009014792274566604
20,30,1,0.0055239099859353,0.0017025755977496484,16,0.0034968354430379646,0.005471025145253569
30,30,1,0.00443389592123769,0.0016275345757149552,24,0.0026758087201125182,0.004221342807446067
50,30,1,,,,,
75,30,1,,,,,
100,30,1,,,,,
10,50,1,0.008458157524613234,0.002364055907172996,8,0.007797116736990165,0.008446795362599322
20,50,1,0.00531118143459915,0.0016892141350210972,16,0.0029641350210970465,0.005204860692812722
30,50,1,0.005982770745428988,0.0017099302625410223,22,0.005522151898734176,0.005973871509787063
50,50,1,0.004004571026722929,0.0015716227144866384,34,0.0015632911392405053,0.0036897943695031227
75,50,1,,,,,
100,50,1,,,,,
10,75,1,0.008711322081575257,0.0022821290436005628,8,0.0061937412095640024,0.008692531315177613
20,75,1,0.005629395218002811,0.0015812675808720114,16,0.0025,0.0055264502057827845
30,75,1,0.005007032348804504,0.0015399818330989216,22,0.003806258790436005,0.004858069687622284
50,75,1,0.0034138537271448644,0.0014679236990154708,33,0.002322784810126581,0.0031842231331546365
75,75,1,0.002294655414908578,0.0014277385138302858,43,0.0008822081575246215,0.0020806730863035814
100,75,1,,,,,
10,100,1,0.00829465541490857,0.0024108210267229256,8,0.006721167369901556,0.00825774495528118
20,100,1,0.005072081575246125,0.0017685038677918426,16,0.00334915611814345,0.0050446748853672655
30,100,1,0.0057805907172995726,0.0017261046647913734,24,0.004702883263009843,0.005326505538013345
50,100,1,0.004177215189873415,0.0016365312939521795,37,0.0022383966244725727,0.0036961636275242185
75,100,1,0.004019690576652599,0.0016480104313173934,48,0.0027468354430379704,0.0036616883610495836
100,100,1,0.0038815049226441625,0.0016292211673699015,58,0.002060126582278479,0.003544971980822824
10,10,2,0.0086023206751055,0.0018471782700421944,9,0.0058983825597749735,0.008586547038904093
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.00881504922644164,0.002103507383966245,8,0.006257032348804509,0.008763887360081267
20,20,2,0.005430731364275664,0.0014727936005625877,15,0.0033913502109704534,0.005364269549543885
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.008521448663853739,0.0020265031645569625,9,0.006932137834036577,0.008505509320269502
20,30,2,0.0059142053445850875,0.0014754307313642756,16,0.00314873417721518,0.005831321595405216
30,30,2,0.0040172292545710185,0.0013755420768870135,24,0.0028041490857946554,0.0036581534239281243
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.009069971870604794,0.0026583597046413504,8,0.006130450070323496,0.00903725959975386
20,50,2,0.0054026019690576604,0.0020118231364275665,16,0.003422995780590707,0.005322625927585469
30,50,2,0.0055256680731364406,0.001986184364744491,22,0.004692334739803094,0.005263241075811492
50,50,2,0.003857243319268636,0.0019192879746835437,33,0.0024282700421940917,0.0035757077737219385
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.008514416315049239,0.002213563642756681,8,0.006024964838255986,0.00849653522282999
20,75,2,0.005747187060478194,0.0015925193389592122,16,0.0033913502109704542,0.005580544594681943
30,75,2,0.005230309423347409,0.0015879190107829348,23,0.004868143459915612,0.005045236846304898
50,75,2,0.004042545710267232,0.0015137886779184244,33,0.002837552742616032,0.003727843248075227
75,75,2,0.002988396624472571,0.001461015588373183,47,0.0015569620253164528,0.0025796718877870895
100,75,2,,,,,
10,100,2,0.0084704641350211,0.002303929324894515,8,0.007354078762306619,0.008411557704047699
20,100,2,0.005603023909985927,0.0016538765822784812,16,0.0028059071729957803,0.005479578071878942
30,100,2,0.005100210970464152,0.0016622274964838257,24,0.004273909985935301,0.004815100575577498
50,100,2,0.0035281293952180047,0.0015739574542897327,37,0.002120253164556961,0.0032591169935624682
75,100,2,0.003176511954992969,0.0015530643459915612,45,0.001872011251758084,0.0029506605778891136
100,100,2,0.003019338959212378,0.0015430256680731365,58,0.0013449367088607571,0.002541828094381839
10,10,3,0.00936533052039382,0.0021221431082981716,9,0.005144163150492268,0.009316468028108663
20,10,3,,,,,
30,10,3,,,,,
50,10,3,,,,,
75,10,3,,,,,
100,10,3,,,,,
10,20,3,0.008245428973277073,0.0018876142756680736,9,0.0056452180028129465,0.008208725058252854
20,20,3,0.005123066104078757,0.0013601002109704641,17,0.00310126582278481,0.005091763490884992
30,20,3,,,,,
50,20,3,,,,,
75,20,3,,,,,
100,20,3,,,,,
10,30,3,0.008458157524613234,0.001985715541490858,9,0.007396272855133623,0.008445350068736607
20,30,3,0.005748945147679318,0.0014427303094233475,16,0.0032172995780590714,0.005669128330685864
30,30,3,0.0041508438818565335,0.0013518665025785278,24,0.003296413502109705,0.004062648625167151
50,30,3,,,,,
75,30,3,,,,,
100,30,3,,,,,
10,50,3,0.009590365682137851,0.002281425808720113,9,0.007459563994374129,0.009557955383090335
20,50,3,0.005242616033755268,0.0016257471870604783,17,0.0030907172995780587,0.005201784539687104
30,50,3,0.005842123769338973,0.0016406616268166902,23,0.0055643459915611804,0.005772044831359608
50,50,3,0.004924402250351621,0.0015521571729957804,35,0.0016023206751054836,0.00461222188188235
75,50,3,,,,,
100,50,3,,,,,
10,75,3,0.008298171589310828,0.002433324542897328,9,0.005666315049226448,0.00826938505450431
20,75,3,0.0056768635724331875,0.001964354781997187,17,0.0036867088607594836,0.005549018849303838
30,75,3,0.0058720112517580934,0.0019776283403656818,25,0.00534634317862166,0.005633594775113492
50,75,3,0.004488748241912798,0.0018919602672292546,35,0.00312025316455696,0.0043571058686346425
75,75,3,0.003524964838255974,0.0018417469526488517,49,0.0016413502109704613,0.0031709758593559245
100,75,3,,,,,
10,100,3,0.00888185654008438,0.002521580520393812,8,0.007797116736990163,0.008788905768199892
20,100,3,0.005349859353023905,0.001957322433192686,16,0.003343881856540084,0.005303436750748656
30,100,3,0.005036919831223642,0.00192394807782466,24,0.004006680731364274,0.004894201861568488
50,100,3,0.0039152601969057645,0.0018369672995780589,37,0.0023987341772151883,0.003465669593758972
75,100,3,0.00323206751054852,0.0018296138068448198,46,0.0018888888888888848,0.0029584955189295744
100,100,3,0.0033090717299578062,0.001814101617440225,57,0.0016086497890295337,0.0028429215626447476
10,10,4,0.007811181434599167,0.0025704553445850915,9,0.005265471167369909,0.007801570146822939
20,10,4,,,,,
30,10,4,,,,,
50,10,4,,,,,
75,10,4,,,,,
100,10,4,,,,,
10,20,4,0.008336849507735585,0.0018598364978902955,9,0.006235935302391008,0.008304105050293076
20,20,4,0.005237341772151895,0.0012922380450070324,17,0.0032383966244725736,0.005146819557575212
30,20,4,,,,,
50,20,4,,,,,
75,20,4,,,,,
100,20,4,,,,,
10,30,4,0.008465189873417735,0.0019603990857946555,9,0.0065523909985935385,0.008449552649275025
20,30,4,0.005237341772151891,0.0013978990857946552,17,0.0030959915611814253,0.005166277640014214
30,30,4,0.0042405063291139225,0.0013238543131739334,25,0.002213431786216597,0.004054187663813441
50,30,4,,,,,
75,30,4,,,,,
100,30,4,,,,,
10,50,4,0.009024261603375546,0.0021260109001406476,8,0.008324542897327718,0.009009271723033858
20,50,4,0.004956047819971865,0.0015468090717299578,16,0.003022151898734167,0.004900562405754038
30,50,4,0.006060126582278494,0.0015613132911392405,21,0.005276019690576651,0.006004980627285832
50,50,4,0.0036856540084388187,0.0014599349507735582,33,0.0026434599156118124,0.0035277668935463254
75,50,4,,,,,
100,50,4,,,,,
10,75,4,0.008414205344585089,0.0024505537974683547,8,0.005708509142053454,0.008354517912462039
20,75,4,0.005898382559774962,0.0018114011954992965,16,0.0038238396624472475,0.005770218262903833
30,75,4,0.0052514064697609135,0.001760914791373652,23,0.004896272855133613,0.005180978542056047
50,75,4,0.004545358649789029,0.0017274876933895916,36,0.003913502109704639,0.004232106438582215
75,75,4,0.0032521097046413496,0.0016587183544303796,46,0.0023586497890295322,0.0029205167975064838
100,75,4,,,,,
10,100,4,0.008076652601969055,0.002497318917018284,8,0.006109353023909995,0.008041211574024586
20,100,4,0.006142756680731369,0.0019091508438818568,16,0.002953586497890295,0.006041689876782092
30,100,4,0.00470464135021097,0.0018212757852789495,24,0.0035144163150492244,0.004582285269766162
50,100,4,0.003734177215189875,0.001775842123769339,37,0.002976793248945147,0.00345473897559155
75,100,4,0.0033938115330520388,0.0017566367791842475,45,0.0023530239099859305,0.0032489906159473415
100,100,4,0.0027457805907173,0.0017469145569620251,58,0.002015822784810125,0.0026159557332405504
10,10,5,0.008588255977496498,0.0018492879746835444,9,0.006130450070323496,0.008571910416881625
20,10,5,,,,,
30,10,5,,,,,
50,10,5,,,,,
75,10,5,,,,,
100,10,5,,,,,
10,20,5,0.008531997187060493,0.0019136339662447256,10,0.006214838255977506,0.00851588748585845
20,20,5,0.004432137834036567,0.0013252900843881855,17,0.00305379746835442,0.004415843184039547
30,20,5,,,,,
50,20,5,,,,,
75,20,5,,,,,
100,20,5,,,,,
10,30,5,0.00889943741209564,0.002193521448663854,10,0.006573488045007042,0.008808806922183105
20,30,5,0.005722573839662443,0.0016099244022503513,18,0.003644514767932479,0.005620285145065125
30,30,5,0.004588607594936706,0.0014977877402719173,26,0.0025861462728551336,0.0042854954691163155
50,30,5,,,,,
75,30,5,,,,,
100,30,5,,,,,
10,50,5,0.008285864978902966,0.002371088255977497,9,0.006573488045007041,0.008271196342345558
20,50,5,0.00563466947960618,0.0017034546413502109,16,0.003212025316455686,0.005525616645731458
30,50,5,0.005536216596343191,0.001656601617440225,21,0.0050439521800281295,0.005404813394451492
50,50,5,0.0032974683544303813,0.0015461937412095637,31,0.0023945147679324884,0.003105938961759568
75,50,5,,,,,
100,50,5,,,,,
10,75,5,0.008699015471167372,0.002232199367088608,8,0.006953234880450079,0.008666673422757187
20,75,5,0.005771800281293948,0.00159164029535865,16,0.0037183544303797363,0.005626590279741869
30,75,5,0.005961673699015486,0.001597529887482419,23,0.005608298171589311,0.005959810244762638
50,75,5,0.004211673699015466,0.001497501758087201,35,0.0039472573839662425,0.004082714548741647
75,75,5,0.0026526019690576623,0.0014479166666666666,46,0.0021026722925457063,0.002484462938381672
100,75,5,,,,,
10,100,5,0.008639240506329115,0.0023777689873417727,8,0.006636779184247548,0.008580154640789426
20,100,5,0.005812236286919831,0.001711893459915612,16,0.003027426160337552,0.00566941036565653
30,100,5,0.005355133614627278,0.0017073517346460384,23,0.004435654008438816,0.005208883159744869
50,100,5,0.004001758087201128,0.0016101740506329113,32,0.0019767932489451463,0.0036800272966331787
75,100,5,0.003330168776371308,0.0016065101969057662,41,0.0023670886075949325,0.0030753726334892557
100,100,5,0.0031610407876230635,0.0015898892405063288,51,0.0016339662447257366,0.002703646381658841
10,10,6,0.008602320675105501,0.0016502725035161749,9,0.007185302390998603,0.00858721825327139
20,10,6,,,,,
30,10,6,,,,,
50,10,6,,,,,
75,10,6,,,,,
100,10,6,,,,,
10,20,6,0.008683192686357259,0.002023338607594937,8,0.007607243319268645,0.008669026942665957
20,20,6,0.0050580168776371255,0.0013964926160337553,15,0.0028375527426160335,0.004986032949844588
30,20,6,,,,,
50,20,6,,,,,
75,20,6,,,,,
100,20,6,,,,,
10,30,6,0.008971518987341788,0.0022286831926863577,10,0.0076705344585091505,0.008947610368136575
20,30,6,0.005754219409282695,0.001581267580872011,17,0.003138185654008429,0.005583147961176686
30,30,6,0.004764416315049226,0.0014703615799343647,24,0.0028815049226441616,0.004570122155071792
50,30,6,,,,,
75,30,6,,,,,
100,30,6,,,,,
10,50,6,0.008774613220815767,0.0021938730661040795,9,0.008113572433192696,0.008756912743946813
20,50,6,0.0056891701828410655,0.0015269426863572435,16,0.003069620253164557,0.005617842979628216
30,50,6,0.005244374120956412,0.0014621571729957804,22,0.004713431786216596,0.005015696535020907
50,50,6,0.003077707454289735,0.0013466438115330521,33,0.0018544303797468353,0.0029429489085028787
75,50,6,,,,,
100,50,6,,,,,
10,75,6,0.009389943741209576,0.0023960530942334743,8,0.00684774964838257,0.009339031456094738
20,75,6,0.005193389592123777,0.0017449454992967653,15,0.0028375527426160335,0.005146294413658165
30,75,6,0.005778832630098466,0.0017724009610876699,23,0.0053744725738396615,0.0057770267022271915
50,75,6,0.0036687763713080163,0.0016723822081575242,34,0.002791139240506327,0.0034991541801636396
75,75,6,0.0027324191279887535,0.0016294075246132207,45,0.00107911392405064,0.002562133995998041
100,75,6,,,,,
10,100,6,0.00851617440225035,0.0023767141350210974,8,0.006383614627285522,0.008460922272719117
20,100,6,0.005719057665260191,0.001669699367088608,16,0.0025158227848101167,0.0055506231017483434
30,100,6,0.005260196905766517,0.0017092270276605713,23,0.004829465541490855,0.004992972855836603
50,100,6,0.003698663853727145,0.0015874876933895921,34,0.0015126582278481003,0.0033763655710191986
75,100,6,0.003250703234880453,0.0015805936474449131,43,0.001430379746835439,0.0027921842805009958
100,100,6,0.0030263713080168784,0.001575634669479606,54,0.0013192686357243338,0.0026144645033523025
10,10,7,0.008751758087201125,0.001824323136427567,8,0.007100914205344594,0.008688961491309037
20,10,7,,,,,
30,10,7,,,,,
50,10,7,,,,,
75,10,7,,,,,
100,10,7,,,,,
10,20,7,0.009069971870604793,0.0018081487341772152,8,0.005202180028129402,0.009038616296055648
20,20,7,0.005212728551336139,0.0012002900843881854,16,0.003166315049226428,0.005149745515617143
30,20,7,,,,,
50,20,7,,,,,
75,20,7,,,,,
100,20,7,,,,,
10,30,7,0.00859177215189875,0.0017385284810126581,9,0.006172644163150501,0.008576431978643441
20,30,7,0.005036919831223622,0.0011990594233473977,16,0.0031645569620253164,0.005005096386162737
30,30,7,0.003982067510548516,0.001080300632911392,24,0.0024595639943741214,0.0036886989262555413
50,30,7,,,,,
75,30,7,,,,,
100,30,7,,,,,
10,50,7,0.009859353023909993,0.00240414029535865,9,0.0068266526019690665,0.009736067138610869
20,50,7,0.005792897327707448,0.001712948312236287,17,0.0027795358649788924,0.005719193617592073
30,50,7,0.006527777777777791,0.001703601148616971,21,0.004488396624472573,0.006420696292610754
50,50,7,0.0030949367088607613,0.0015767985232067508,30,0.002208509142053446,0.0029811129526152538
75,50,7,,,,,
100,50,7,,,,,
