#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.0067211673699015565,0.0018320587201125184,0.008794004608716655,0.03448399461610511
20,20,0,0.0030907172995780587,0.001363792194092827,0.004704956876370678,0.027221882996458845
30,30,0,0.0029307313642756684,0.0016480455930614158,0.0038911678731203317,0.024386378112130118
50,50,0,0.002027426160337552,0.0014398786919831224,0.003546983550924481,0.017224578931796505
75,75,0,0.0010506329113924003,0.0017041473277074543,0.002547122770612382,0.03858066584826986
100,100,0,0.0017521097046413485,0.0016123224331926862,0.0028108669894896603,0.05359082155322415
10,10,1,0.010181082981715902,0.002085223277074544,0.010365724683897995,0.04112490058673056
20,20,1,0.0026371308016877636,0.0014566191983122364,0.0048586525782124005,0.027736427696078363
30,30,1,0.0026758087201125182,0.0016275345757149552,0.004221342807446067,0.027288797499286904
50,50,1,0.0015632911392405053,0.0015716227144866384,0.0036897943695031227,0.01625112445806192
75,75,1,0.0008822081575246215,0.0014277385138302858,0.0020806730863035814,0.02091567672738565
100,100,1,0.002060126582278479,0.0016292211673699015,0.003544971980822824,0.05493443178107511
10,10,2,0.0058983825597749735,0.0018471782700421944,0.008586547038904093,0.03448399461610511
20,20,2,0.0033913502109704534,0.0014727936005625877,0.005364269549543885,0.020272446115556605
30,30,2,0.0028041490857946554,0.0013755420768870135,0.0036581534239281243,0.0141053140007501
50,50,2,0.0024282700421940917,0.0019192879746835437,0.0035757077737219385,0.030011619587741355
75,75,2,0.0015569620253164528,0.001461015588373183,0.0025796718877870895,0.026415320474747882
100,100,2,0.0013449367088607571,0.0015430256680731365,0.002541828094381839,0.05638050122023348
10,10,3,0.005144163150492268,0.0021221431082981716,0.009316468028108663,0.04685169169198906
20,20,3,0.00310126582278481,0.0013601002109704641,0.005091763490884992,0.013756535811651593
30,30,3,0.003296413502109705,0.0013518665025785278,0.004062648625167151,0.013476766016705053
50,50,3,0.0016023206751054836,0.0015521571729957804,0.00461222188188235,0.020702852879534762
75,75,3,0.0016413502109704613,0.0018417469526488517,0.0031709758593559245,0.03625378988821734
100,100,3,0.0016086497890295337,0.001814101617440225,0.0028429215626447476,0.0592413072147545
10,10,4,0.005265471167369909,0.0025704553445850915,0.007801570146822939,0.05093684261093436
20,20,4,0.0032383966244725736,0.0012922380450070324,0.005146819557575212,0.033099878208958634
30,30,4,0.002213431786216597,0.0013238543131739334,0.004054187663813441,0.01713179467977074
50,50,4,0.0026434599156118124,0.0014599349507735582,0.0035277668935463254,0.03383952206846977
75,75,4,0.0023586497890295322,0.0016587183544303796,0.0029205167975064838,0.040082073813165996
100,100,4,0.002015822784810125,0.0017469145569620251,0.0026159557332405504,0.0667237525754726
10,10,5,0.006130450070323496,0.0018492879746835444,0.008571910416881625,0.03420344686329612
20,20,5,0.00305379746835442,0.0013252900843881855,0.004415843184039547,0.021090345224049623
30,30,5,0.00295182841068917,0.001282949484294421,0.003866219131949316,0.025282471140037708
50,50,5,0.002061181434599155,0.0014971642053445851,0.00346645568292524,0.02150078658305909
75,75,5,0.0023305203938115294,0.0016562148382559773,0.002518014839770732,0.04648796849650856
100,100,5,0.0013681434599156093,0.0015400509845288326,0.0025414588514396396,0.052855416674433595
10,10,6,0.005792897327707462,0.0017979518284106893,0.008688278706419097,0.035374698250265534
20,20,6,0.002584388185654008,0.001614495428973277,0.005341401040802336,0.028406632995587943
30,30,6,0.0025492264416315056,0.0015423259493670886,0.004138980745829639,0.023167247976371944
50,50,6,0.0020189873417721512,0.0014484440928270042,0.003644788218724706,0.044862524037768144
75,75,6,0.0013407172995780654,0.001517836966713549,0.002875188165868979,0.036866584233927885
100,100,6,0.0009208860759493654,0.0016265629395218002,0.0023512285112339574,0.03127028789225071
10,10,7,0.007248593530239108,0.0018120165260196908,0.008328085260381566,0.0347645423689141
20,20,7,0.00279535864978903,0.0015167457805907174,0.00483595526349447,0.011025565806607936
30,30,7,0.0020938818565400833,0.001619564580403188,0.0039014905357859352,0.018362171854166692
50,50,7,0.0018248945147679317,0.00129695323488045,0.0030512476385794345,0.020328194663085938
75,75,7,0.0011663150492264478,0.0013028346225972807,0.0021581723416964176,0.033426809976704934
100,100,7,0.0015418424753867776,0.0016158315752461323,0.002665400318006619,0.039804541611791755
10,10,8,0.007986990154711682,0.0024357858649789034,0.009082385799286741,0.039149938306757635
20,20,8,0.003154008438818565,0.0014785952883263013,0.00537880021022083,0.0284105556865354
30,30,8,0.002093881856540084,0.0013082659399906236,0.0037131902121203837,0.018721492876400726
50,50,8,0.0016772151898734168,0.001697501758087201,0.0035820781670229274,0.02331741441603073
75,75,8,0.0010337552742615995,0.0016843161040787623,0.0025196844661558014,0.029967996358287854
100,100,8,0.001241561181434597,0.0016823294655414908,0.0024745338552613965,0.05863157520140474
10,10,9,0.008948663853727144,0.002640778832630098,0.00894657821094287,0.06371990384094722
20,20,9,0.002953586497890295,0.0011906206047819974,0.0050088158045409545,0.021855912990196017
30,30,9,0.0031206047819971874,0.0012460296530707922,0.0038528617249577626,0.02056760800320563
50,50,9,0.0016856540084388182,0.0014649279184247538,0.003189413396627902,0.026855103364941443
75,75,9,0.002279887482419123,0.001479468471636193,0.0028398125515295795,0.032605681746012964
100,100,9,0.0010327004219409259,0.0014307612517580873,0.0024569624425016204,0.037829601283021035
