#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
10,10,0,0.009901547116736997,0.005081707102672293,8,0.00887306610407877,0.009793359604576795
20,10,0,,,,,
30,10,0,,,,,
50,10,0,,,,,
75,10,0,,,,,
100,10,0,,,,,
10,20,0,0.00891877637130803,0.005428753516174402,8,0.007895569620253165,0.008721014275756625
20,20,0,0.008185654008438816,0.004505142405063291,16,0.005288326300984526,0.0073656924389694884
30,20,0,,,,,
50,20,0,,,,,
75,20,0,,,,,
100,20,0,,,,,
10,30,0,0.011647327707454283,0.005778261251758086,8,0.00723980309423347,0.010505418860754012
20,30,0,0.011353727144866384,0.005180775316455695,16,0.008737693389592117,0.010135969484229596
30,30,0,0.01114803094233474,0.00492535454758556,24,0.007464838255977497,0.009432844505293688
50,30,0,,,,,
75,30,0,,,,,
100,30,0,,,,,
10,50,0,0.011647327707454283,0.00540414029535865,8,0.005161744022503513,0.010505418860754012
20,50,0,0.009349507735583684,0.005124868143459915,16,0.007979957805907165,0.008887756759993662
30,50,0,0.009221167369901546,0.0047268078996718236,24,0.006206047819971871,0.007992329445455406
50,50,0,0.00898663853727145,0.004683029184247538,37,0.006239803094233472,0.008057054046784582
75,50,0,,,,,
100,50,0,,,,,
10,75,0,0.008744725738396615,0.0045352936005625885,8,0.004484880450070331,0.008681929010250694
20,75,0,0.005529184247538672,0.0038256417018284103,16,0.00444444444444444,0.005481585353177632
30,75,0,0.007758438818565411,0.0037893958040318794,24,0.005587201125175809,0.007598746653153051
50,75,0,0.006084388185654004,0.0036976705344585093,39,0.005402953586497887,0.005695033879977471
75,75,0,0.005656118143459912,0.003635070909517111,55,0.004455696202531641,0.004818377303331513
100,75,0,,,,,
10,100,0,0.009240506329113916,0.004432269690576653,8,0.007143108298171596,0.009152738940733863
20,100,0,0.005784106891701835,0.0038367176511954998,16,0.004623769338959209,0.005759395187740352
30,100,0,0.007427918424753879,0.003892654125644631,24,0.00471870604781997,0.007254018784939401
50,100,0,0.006795358649789029,0.0037459124472573836,39,0.0048241912798874815,0.005220532921317931
75,100,0,0.006454992967651194,0.0037690418424753866,57,0.004812939521800278,0.0050157096834335235
