#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.012136075949367072,0.003799226441631506,9,0.0042990066807313656,0.011018143429957992
20,0,0.01068565400843882,0.0018319268635724334,18,0.0036830608298171587,0.009434470748303758
30,0,0.010757735583684945,0.0015436005625879055,27,0.0035616649085794655,0.00969068041777637
50,0,0.010247187060478202,0.0016054852320675065,45,0.003518936357243319,0.010146582485027788
75,0,0.010944092827004228,0.0015175808720112487,67,0.0034952865682137844,0.010280528763705452
100,0,0.010954992967651195,0.0015896624472573819,89,0.0035058737693389602,0.010327596826990434
10,1,0.012136075949367072,0.003799226441631506,10,0.004328542545710268,0.011445421341780655
20,1,0.01068565400843882,0.0018741209563994372,19,0.0037020481715893112,0.009950784420131606
30,1,0.010757735583684945,0.0016772151898734188,28,0.0035957718002812946,0.010165868534968939
50,1,0.010898382559774964,0.001681434599156114,46,0.003523535513361463,0.01060395757853422
75,1,0.011228902953586499,0.0015738396624472542,69,0.0035164304969526497,0.010711824916169222
100,1,0.011502109704641349,0.0016656118143459893,90,0.0035019356540084393,0.010793428979581594
10,2,0.012167721518987323,0.003799226441631506,9,0.004303577707454291,0.01079931349101303
20,2,0.010706751054852321,0.002368143459915603,18,0.0036714574542897334,0.009267969498502966
30,2,0.010761251758087198,0.0026054852320675113,27,0.0035922556258790443,0.009375425017030325
50,2,0.010247890295358653,0.002626582278481009,45,0.0035424665963431786,0.009394603408592788
75,2,0.010126230661040788,0.002659634317862163,67,0.0035249255743084857,0.009516505012136734
100,2,0.010137834036568217,0.0027014767932489426,90,0.0035192774261603374,0.00952061931808338
10,3,0.012318917018284086,0.003799226441631506,9,0.004351397679324895,0.011264845025428804
20,3,0.010889592123769344,0.002220464135021088,18,0.00371804676511955,0.009819488094034632
30,3,0.010887834036568208,0.0025070323488045024,27,0.00362226031411158,0.010080951631176
50,3,0.010382208157524614,0.002630801687763709,45,0.0035387535161744018,0.010080673240280757
75,3,0.01040400843881857,0.0026736990154711646,68,0.0035363929910923594,0.010197319825591845
100,3,0.010689170182841072,0.002707805907172993,89,0.003524783755274262,0.010249250674537502
10,4,0.012206399437412077,0.003820323488045008,10,0.0043580784106891715,0.010994926314438581
20,4,0.010777074542897327,0.0021149789029535774,19,0.003729122714486639,0.009404934154579405
30,4,0.010638185654008434,0.002471870604781998,28,0.0036165172292545716,0.009592284195812576
50,4,0.01034985935302391,0.0025084388185653973,46,0.0035425650492264416,0.00992839449522167
75,4,0.010255625879043606,0.0024542897327707426,68,0.0035302514064697614,0.009993630058774964
100,4,0.01049085794655415,0.0025369198312236267,90,0.0035277021800281293,0.010030886878137784
10,5,0.011974331926863554,0.003799226441631506,9,0.004322916666666667,0.010716498205848071
20,5,0.010625879043600564,0.0027478902953586406,18,0.00369360935302391,0.009242198858521684
30,5,0.010624120956399431,0.00309071729957806,27,0.0036165172292545716,0.0089974018046702
50,5,0.010078410689170187,0.002989451476793245,45,0.003557431434599157,0.009371722923231435
75,5,0.010049578059071727,0.003008438818565398,67,0.0035459476090014073,0.009455748486994887
100,5,0.010194796061884677,0.0030601265822784787,90,0.0035424841772151903,0.00955515830720369
10,6,0.012136075949367072,0.003799226441631506,10,0.004296896976090016,0.011412223152484963
20,6,0.01068565400843882,0.0018319268635724334,19,0.0036529975386779194,0.00993597774519296
30,6,0.010757735583684945,0.001239451476793249,28,0.003562954172526958,0.010195737793781945
50,6,0.010868143459915613,0.0013829113924050615,46,0.0035043934599156123,0.01052285579992926
75,6,0.011325949367088611,0.0012879746835443052,68,0.003484034810126584,0.010663340765976886
100,6,0.011405063291139246,0.0012890295358649784,90,0.0034885038677918423,0.010763190838818744
10,7,0.012122011251758071,0.003799226441631506,10,0.004320455344585092,0.011038213064593717
20,7,0.01072081575246132,0.0018213783403656823,19,0.0036995868495077362,0.009513383369399846
30,7,0.010564345991561176,0.001754571026722926,28,0.003578308134083451,0.009631944225444994
50,7,0.010316104078762309,0.002567510548523203,46,0.0035200052742616035,0.00975893262327834
75,7,0.010425808720112522,0.0024936708860759465,68,0.003509182489451477,0.009807805488032
100,7,0.010418424753867799,0.0025812236286919805,89,0.003507378691983122,0.0098384424262301
10,8,0.012287271448663834,0.003820323488045008,9,0.004332410337552744,0.011475428121459687
20,8,0.010868495077355841,0.0018846694796061886,18,0.00371242088607595,0.010019993998184054
30,8,0.010884317862165958,0.0013818565400843892,27,0.003601632090951712,0.010308997424781348
50,8,0.010525668073136431,0.0015675105485232026,45,0.0035305116033755276,0.010427030602961676
75,8,0.010797819971870612,0.001478199718706045,68,0.0035255631739334286,0.01060471467795984
100,8,0.010871308016877634,0.0015748945147679297,90,0.0035121677215189874,0.010612894251457507
10,9,0.012122011251758071,0.003799226441631506,10,0.0043120165260196915,0.011244689359673148
20,9,0.01072081575246132,0.0018319268635724334,19,0.0036941367791842477,0.009653434995532645
30,9,0.010564345991561176,0.0015365682137834045,28,0.003578190928270042,0.009776740620251698
50,9,0.0102528129395218,0.0015675105485232028,46,0.0035087253867791836,0.010016486271382113
75,9,0.010525668073136431,0.0015232067510548496,68,0.003503312822315987,0.010091262047825306
100,9,0.010668776371308017,0.0016002109704641326,91,0.0034897767229254573,0.010164633578243732
