#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0017158487778603853,0.003493929135574374,0.010213814366915732,0.04717919080463169
/,1,0.001700619216896459,0.0035011014776273187,0.010665065637162999,0.04848804448577713
/,2,0.002717915166387965,0.0035202133498204273,0.00945769573636421,0.046832576819517795
/,3,0.002683584664700673,0.0035209572407488535,0.010096891417912748,0.046775489029585435
/,4,0.0026551590225398977,0.0035265753408356706,0.009889442967135752,0.04769044192392371
/,5,0.003218609066815441,0.0035395930932908396,0.009442820653593182,0.04679726453138397
/,6,0.0012127898335175628,0.0034916145629199195,0.010621987400739715,0.04871646566295601
/,7,0.002644552081853454,0.0034973862821874474,0.009652452002284559,0.047364507695676704
/,8,0.0016627159097603284,0.0035113643867406004,0.010468878933298967,0.04738659758413208
/,9,0.0016670771877206998,0.0034949013443659623,0.010051583721657821,0.048130671827973745
