#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0009920301543779816,0.0010727698147706883,0.002478516925063884,0.024203302969257788
/,1,0.001147034760811576,0.001069580503462347,0.002296154317849644,0.013957032091371217
/,2,0.0012469452729887546,0.001054843757504096,0.002213942424530104,0.01546112439455396
/,3,0.0009346677589051215,0.0010729298741607243,0.002039184804999667,0.011660571449954972
/,4,0.0016709606777525789,0.0011069276168894121,0.0022544873142291,0.012919433946250865
/,5,0.0018054758751617733,0.0010821826312728052,0.0026215621113365836,0.01771131617606961
/,6,0.0010029830515046957,0.0010659715314238244,0.0023858002910719356,0.02118989895479161
/,7,0.0015040721041937619,0.0011115453659661,0.0022595418804391633,0.011419187592123972
/,8,0.0008819965979184113,0.0010646688837616912,0.0022529721417486473,0.014807583881028994
/,9,0.0016657299236703005,0.0010672097042433556,0.0023487201245366847,0.014468600971507133
