#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0009813146027317337,0.0010723707769378474,0.002473631756809332,0.02438151631475251
/,1,0.0009489039397377396,0.001076367609578109,0.002276465696885891,0.02481824104116691
/,2,0.0012348714854857393,0.0010527025824139617,0.0019877179850590035,0.01847493983551013
/,3,0.0008891998436065436,0.001078068971338998,0.0020430889544700037,0.01654160303918839
/,4,0.0015526912649114113,0.0011131478366256848,0.0022290177727713398,0.021075879387092652
/,5,0.001695426016735088,0.0010744857605453325,0.0024152225897997475,0.018715700831629233
/,6,0.0009356829455429479,0.0010721642563963215,0.002378980789250508,0.025762070726887208
/,7,0.0013757643368440867,0.0011047015598814498,0.0021204945943628863,0.018391862885107815
/,8,0.0007243188706537896,0.0010707128518909223,0.00192312879145648,0.020901044000663546
/,9,0.0015075963201774528,0.0010661709659344567,0.002271923345799576,0.019632170146631614
